Molecule_Name,inchikey,repeat_0,repeat_1,repeat_2,repeat_3,repeat_4
OCNT-0000422,RADKZDMFGJYCBB-UHFFFAOYSA-N,2,0,1,2,4
OCNT-0001882,TXCGAZHTZHNUAI-UHFFFAOYSA-N,3,3,1,1,4
OCNT-0007477,XBJWOGLKABXFJE-UHFFFAOYSA-N,3,0,2,0,0
OCNT-0010068,PVNIIMVLHYAWGP-UHFFFAOYSA-N,4,0,1,0,2
OCNT-0014841,TYMRLRRVMHJFTF-UHFFFAOYSA-N,4,2,0,4,2
OCNT-0018684,AQHHHDLHHXJYJD-UHFFFAOYSA-N,4,0,1,4,1
OCNT-0020887,OEHAYUOVELTAPG-UHFFFAOYSA-N,1,0,2,1,0
OCNT-0021749,NGOGFTYYXHNFQH-UHFFFAOYSA-N,2,0,4,4,3
OCNT-0021943,QZAYGJVTTNCVMB-UHFFFAOYSA-N,0,2,1,0,3
OCNT-0021946,VOXZDWNPVJITMN-ZBRFXRBCSA-N,4,0,1,2,1
OCNT-0022006,GZUITABIAKMVPG-UHFFFAOYSA-N,4,0,2,0,0
OCNT-0022012,HWHLPVGTWGOCJO-UHFFFAOYSA-N,3,4,3,2,2
OCNT-0022066,IENZQIKPVFGBNW-UHFFFAOYSA-N,0,1,2,3,4
OCNT-0022107,VRBKIVRKKCLPHA-UHFFFAOYSA-N,3,2,1,1,1
OCNT-0022119,RGCVKNLCSQQDEP-UHFFFAOYSA-N,1,0,1,1,1
OCNT-0022125,JWZZKOKVBUJMES-UHFFFAOYSA-N,3,4,2,3,4
OCNT-0022126,XMXHEBAFVSFQEX-UHFFFAOYSA-N,4,4,0,4,2
OCNT-0022127,LNEPOXFFQSENCJ-UHFFFAOYSA-N,0,1,4,1,3
OCNT-0022128,CEUORZQYGODEFX-UHFFFAOYSA-N,2,4,3,2,4
OCNT-0022129,ZUXABONWMNSFBN-UHFFFAOYSA-N,0,1,0,2,0
OCNT-0022130,WXPNDRBBWZMPQG-UHFFFAOYSA-N,3,1,1,4,1
OCNT-0022137,RAPZEAPATHNIPO-UHFFFAOYSA-N,3,1,0,2,1
OCNT-0022139,XJGVXQDUIWGIRW-UHFFFAOYSA-N,2,1,0,1,3
OCNT-0022141,KLBQZWRITKRQQV-UHFFFAOYSA-N,0,0,4,4,2
OCNT-0022142,KLPWJLBORRMFGK-UHFFFAOYSA-N,4,2,4,0,1
OCNT-0022215,HXGBXQDTNZMWGS-RUZDIDTESA-N,1,2,3,0,4
OCNT-0022234,YRCWQPVGYLYSOX-UHFFFAOYSA-N,0,3,3,0,1
