epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,49,,0.844402551651001,,
0,52,,,0.8208795785903931,0.8208795785903931
0,52,0.9306600093841553,,,
1,99,,0.4799765646457672,,
1,105,,,0.6542049050331116,0.6542049050331116
1,105,0.6859421133995056,,,
2,149,,0.41680628061294556,,
2,158,,,0.6366028785705566,0.6366028785705566
2,158,0.5232577919960022,,,
3,199,,0.44438663125038147,,
3,211,,,0.6421802639961243,0.6421802639961243
3,211,0.39639440178871155,,,
4,249,,0.2314906120300293,,
4,264,,,0.7298729419708252,0.7298729419708252
4,264,0.2685904800891876,,,
5,299,,0.08858592063188553,,
5,317,,,0.7597437500953674,0.7597437500953674
5,317,0.16451886296272278,,,
6,349,,0.11672287434339523,,
6,370,,,0.7202550172805786,0.7202550172805786
6,370,0.137051060795784,,,
7,399,,0.07327812910079956,,
7,423,,,0.7076005935668945,0.7076005935668945
7,423,0.08922874182462692,,,
