epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,15,,,0.8282328844070435,0.8282328844070435
0,15,0.9882657527923584,,,
1,31,,,0.7697204947471619,0.7697204947471619
1,31,0.8933815360069275,,,
2,47,,,0.8183831572532654,0.8183831572532654
2,47,0.7189655303955078,,,
3,49,,0.7418242692947388,,
3,63,,,0.8885200023651123,0.8885200023651123
3,63,0.490283340215683,,,
4,79,,,0.9828773736953735,0.9828773736953735
4,79,0.2410236895084381,,,
5,95,,,0.9614052772521973,0.9614052772521973
5,95,0.13160905241966248,,,
6,99,,0.09363190829753876,,
6,111,,,0.9415225982666016,0.9415225982666016
6,111,0.08578669279813766,,,
