canonical_smiles,CYP2D6_pIC50_direct_inhibition,chemprop_split
CC(C)NCC(O)COc1cccc2ccccc12,4.615706783,train
CNC(C)Cc1ccccc1OC,4.45672162,val
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,5.467465685,train
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,5.018758378,train
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,5.16473218,train
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,5.186117497,train
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,6.170296065,val
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,4.470200998,val
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,4.314528733,train
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,4.600892027,val
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,4.698939887,train
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,4.946460652,train
NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,6.673307633,train
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,5.05540735,train
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,5.638113973,train
CN(C)CCCN1c2ccccc2Sc2ccccc21,5.992036087,train
CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,5.655250823,train
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,5.429762353,val
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,5.695252392,train
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5.73767089,train
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,5.42724906,val
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.835926223,val
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,4.35820127,train
O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,5.102518413,val
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,5.206108255,val
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,5.916376775,train
C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,4.51168127,train
COc1ccc2cc(C(=O)N3CCn4cncc4C3)n(C)c2c1,5.723180218,train
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,6.27227232,train
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,6.336989297,train
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,4.493955152,train
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,5.106191628,val
CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,5.183893105,train
CNCCCN1c2ccccc2CCc2ccccc21,4.793473192,train
Nc1c2c(nc3ccccc13)CCCC2,4.753511095,train
COc1c2occc2cc2ccc(=O)oc12,4.495205617,val
Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,4.995767028,train
COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,5.111952795,train
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,2.132256025,train
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,5.2824111,train
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,4.17417411,train
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,4.412231055,train
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,4.907063575,val
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,4.560219538,train
O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,4.703618768,train
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,4.812598903,train
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,4.374838627,val
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,4.522101552,train
C=CC[C@@H]1C=C(C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](C(C)=C[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,4.258582557,train
Clc1ccccc1CN1CCc2sccc2C1,5.264508453,train
CN1CCc2c(c3ccccc3n2Cc2ccccc2)C1,5.04174318,train
O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1,2.393250545,train
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,6.411201408,val
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,5.001328997,train
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,2.584787373,train
Cc1ccnc(NC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,4.283116052,train
O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,4.252101198,train
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,2.01608401,train
Cc1nn(C)cc1S(=O)(=O)NC(=O)c1ccc(-n2ccc(OCC(C)(C)C(F)(F)F)n2)nc1N1C[C@@H](C)CC1(C)C,4.47176306,train
Clc1ccc2nsnc2c1NC1=NCCN1,4.377315923,train
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,5.785331985,train
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,5.505079818,train
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,5.005570732,train
CN(C)CCOC(c1ccccc1)c1ccccc1,4.790040613,train
O=C(NCC1CCN(Cc2cccs2)CC1)c1cccc(-n2cccn2)n1,2.830466513,val
CC(C)c1ccc2c(c1)[C@@H](NC(=O)c1c[nH]nc1C1CCCNC1)CCO2,4.977149855,train
Cc1ccc2cc(-c3c[nH]c4cnccc34)cnc2c1C,2.082371522,train
