epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.6584343910217285,0.6584343910217285
0,25,0.8838980793952942,,,
1,49,,0.43317046761512756,,
1,51,,,0.8074122667312622,0.8074122667312622
1,51,0.5147991180419922,,,
2,77,,,0.4941428601741791,0.4941428601741791
2,77,0.3441653251647949,,,
3,99,,0.11285971105098724,,
3,103,,,0.420045405626297,0.420045405626297
3,103,0.18792836368083954,,,
4,129,,,0.4454118311405182,0.4454118311405182
4,129,0.12287908792495728,,,
5,149,,0.14305254817008972,,
5,155,,,0.41240015625953674,0.41240015625953674
5,155,0.08628809452056885,,,
6,181,,,0.4096960127353668,0.4096960127353668
6,181,0.07994766533374786,,,
7,199,,0.02627413161098957,,
7,207,,,0.42954567074775696,0.42954567074775696
7,207,0.03917643800377846,,,
8,233,,,0.4303062856197357,0.4303062856197357
8,233,0.021981466561555862,,,
9,249,,0.013292897492647171,,
9,259,,,0.41968047618865967,0.41968047618865967
9,259,0.015394953079521656,,,
10,285,,,0.4197968542575836,0.4197968542575836
10,285,0.008840967901051044,,,
11,299,,0.0160761047154665,,
11,311,,,0.4116792678833008,0.4116792678833008
11,311,0.005647942889481783,,,
