canonical_smiles,CYP3A4_pIC50_direct_inhibition,chemprop_split
Cc1ncc(CO)c(C=O)c1O,2.101240007,train
CCOC(=O)N1CSCC1C(=O)O,2.577795577,train
O=C(O)c1cccnc1,2.273187415,train
NCc1ccc(S(N)(=O)=O)cc1,2.054066045,train
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,5.49990294,train
CC(C)NCC(O)c1ccc(O)c(O)c1,3.853962615,train
Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,2.792889913,train
NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,4.980639392,train
C[C@H](N)[C@H](O)c1cccc(O)c1,2.71259529,train
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,3.00105295,train
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.29878003,val
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,5.245942598,train
O=C(O)CCCc1ccccc1,2.107909335,train
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,2.232554135,train
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,5.01010258,train
Nc1c2c(nc3ccccc13)CCCC2,3.93948658,train
NC12CC3CC(CC(C3)C1)C2,2.27532321,train
N#Cc1cc(C(F)(F)F)ccc1N1CCC2(CCOC2)C1,4.441333868,val
Cc1c(NC(=O)c2cccnc2)c(=O)n(-c2ccccc2)n1C,2.214196058,train
Cc1ccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)cc1,4.76600142,train
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,4.841854462,train
O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,4.823637012,train
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,5.380121762,train
Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,2.161463383,val
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,3.442680795,train
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,2.114282752,val
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,4.835022902,train
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,5.421847237,train
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,5.27977971,train
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,4.006448953,train
COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,4.412271148,train
C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,3.80082054,train
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,5.680652535,train
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,5.756632872,train
Cc1ccnc(NC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,5.025327815,train
C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,2.324624968,train
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,3.53253804,train
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,3.687954215,train
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,5.416893245,train
CCCCCCCC/C=C\CCCCCCCC(=O)O,4.278194747,train
Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,5.005361857,train
O=C(O)Cc1ccc(-c2ccccc2)cc1,2.36673856,train
CCCCCCCCCCCCCCCC(=O)NCCO,1.921832463,train
Cc1ccc(NC(=O)c2ccc3c(c2)nnn3C)cc1-c1ncco1,4.770343345,val
O=C1NCCCN(C(=O)c2cc[nH]c2C2CC2)C1Cc1ccccc1,4.51366385,train
Cc1cccc(CC(=O)NC2CCN(C3CCCCC3)C2=O)c1Cl,4.552812463,train
O=C(NC1CCN(C(=O)c2ccc3c(c2)OCCCO3)CC1)c1ccsc1,3.36519394,train
O=S(=O)(Nc1cccc2[nH]ccc12)c1sccc1C1CC1,5.860377495,train
O=C(CCC1CC1)NC1CCCN(C(=O)Cc2cc(C3CC3)on2)CC1,3.65400295,train
CC(C)CC1C(=O)NCCN1S(=O)(=O)c1c(Cl)ccc(F)c1F,4.83706575,train
Cc1cccc2c(=O)n(Cc3ncnn3C(C)C)cnc12,3.2337988,val
Cc1cc(=O)[nH]c2cc(C(=O)NCC3(c4nccn4C)NC(=O)NC3=O)ccc12,1.982874425,train
c1ccc2oc(C3CCCCN3Cc3nnc4n3CCCCC4)nc2c1,3.689226253,train
O=C(c1nn[nH]c1NC(=O)N1CCCC1c1nc2ccccc2[nH]1)N1CCCC1,4.216524775,train
CN1C(=O)CCC(C(=O)Nc2cccc(-c3nnnn3C)c2)C1c1cnn(C)c1,2.4324844,train
CCc1ccnc(C(=O)N[C@H]2CCCO[C@@H]2c2nccn2CC)c1,3.099472117,train
COc1cccc2sc(NC(=O)C3CCCOC3C)nc12,3.697792612,train
Cc1csc(-c2ccc(NC(=O)c3cc(S(C)(=O)=O)ccc3C)cc2)n1,4.777893155,train
CC(CC(O)c1ccco1)Nc1ccn2ncc(Br)c2n1,4.884097395,train
CC(C)(C(=O)N1CCC(COc2ccccc2)C1)c1cccnc1,5.52949192,val
CC(C)N1CCCN(c2nccc(Oc3ccccc3)n2)CC1,4.594022655,val
O=C(CCC1CCOCC1)Nc1n[nH]c2cc(F)ccc12,2.86790216,train
O=C(Nc1cccc(COC2CCCCC2)c1)c1nn[nH]c1C1CC1,4.686252178,train
O=C(Cn1cc(C(=O)N2CCOc3ccccc32)cn1)NC1CCCCC1,3.902369885,train
O=C(O)[C@]12CCC[C@H]1CC(NCc1ncn(Cc3cccc(F)c3)n1)C2,2.010199325,train
O=C(c1cnn2c1CCCC2)N1CC(c2nc(-c3ccccc3)no2)C1,3.98228713,train
CC(Cc1cn(C)c2ccc(F)cc12)N1C(=O)CNC1=O,5.498045242,train
Cn1cc(-c2nn(C)cc2NC(=O)c2ccc(C(N)=O)cc2)cn1,1.98367122,val
O=C(O)C1(O)CCCN(c2nccc(Oc3ccccc3)n2)C1,2.715260445,train
Nc1ccc(C(=O)Nc2ccc3[nH]c(-c4ccc(F)cc4)nc3c2)cn1,5.075595437,train
Cc1cc(C)cc(OCC(=O)N2CCN(C(=O)c3cc(F)ccc3F)CC2)c1,4.578000367,val
CNS(=O)(=O)c1ccc(CCNC(=O)c2cc(-c3ccncc3)nc3ccccc23)cc1,5.639553692,train
Cc1cc(O)cc(=O)n1CC(=O)Nc1cccc(N2C(=O)CCCC2=O)c1,2.206256075,train
CC1(C)SCCC1CNC(=O)N1CCc2[nH]c(=O)c(C#N)cc2C1,2.527693255,val
CCc1nn(Cc2coc(-c3cccc(OC)c3)n2)c(=O)c(C#N)c1CC,5.585976282,train
CSCCc1ccccc1NC(=O)N1CCn2c(nnc2-c2ccccc2)C1,3.76069906,val
Cc1nn(C)c2nc(C(=O)N[C@@H]3CC(Cn4cc(Cl)cn4)C[C@H]3O)ccc12,4.636115595,train
CC(Cc1cn(C)c2ccc(F)cc12)Nc1ncnc2c1ncn2C,5.500174805,val
Cn1nc(NC(=O)N2CCC(c3ccccc3)C2)c2ccccc21,5.172229145,train
O=C(Nc1ccccc1)c1cccc(C(=O)N2CCN(c3ccccn3)CC2)c1,4.488014915,train
COC(C)(C(=O)N1CCN(c2nccc(C(C)C)n2)CC1)c1ccccc1,4.79551855,val
Cc1cccc(Oc2ccccc2C(=O)N2CCCC(C(O)C(F)(F)F)C2)c1,5.646787395,train
COc1ccc(NC(=O)Cc2c(C)nc3nc(SC)nn3c2C)cc1Cc1ccccc1,4.31170627,train
Cc1cc(CNC(=O)N[C@@H]2CCc3cc(F)ccc32)no1,4.46958539,train
Cc1ccc(-n2nnc(C(=O)Nc3cccnc3C3CC3)c2C)cc1,3.846268418,train
CC(=O)NC[C@@H]1CN(C(=O)Cc2cc(F)c(F)cc2F)C[C@H]1c1cncn1C,3.606692095,train
Cc1cc(-c2nc(-c3ccc4c(c3)CCO4)no2)c2cnn(C(C)C)c2n1,3.466839982,val
CC(C)c1cc(N2CCN(C(=O)c3cc4ccccc4[nH]3)CC2)ncn1,4.764848807,train
CC(C)c1oncc1NC(=O)c1ccc2nnc(C(F)F)n2c1,3.32502246,val
O=C(Cc1noc2ccccc12)NC1(c2ncccn2)CCOCC1,3.061471862,val
CN1CCC(CNC(=O)c2nc(N3CCCC3)ncc2Cl)CC1,3.789451435,train
Cc1cc(F)ccc1C1CCCN1C(=O)c1cnn(C)c1N,4.550130438,train
Cc1cc(NC(=O)NC(c2ccccn2)C2CC2)cc(C)n1,3.119296237,train
Cc1cccc(NS(=O)(=O)c2cccc(C(=O)Nc3ccc4c(c3)C(=O)NCC4)c2)c1,5.196504013,train
CC(C)(C)n1cc(Cn2cc(Cc3ccccc3)nn2)cn1,4.07606824,train
