epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,49,,0.9531760811805725,,
0,51,,,0.9143081307411194,0.9143081307411194
0,51,0.8828277587890625,,,
1,99,,0.8502271771430969,,
1,103,,,0.9997097849845886,0.9997097849845886
1,103,0.8004170656204224,,,
2,149,,0.8058158755302429,,
2,155,,,1.243096113204956,1.243096113204956
2,155,0.7824870944023132,,,
3,199,,0.6450925469398499,,
3,207,,,1.1020022630691528,1.1020022630691528
3,207,0.7220898270606995,,,
4,249,,0.6938983798027039,,
4,259,,,1.2024385929107666,1.2024385929107666
4,259,0.6860899925231934,,,
5,299,,0.6005501747131348,,
5,311,,,0.9279041290283203,0.9279041290283203
5,311,0.6354511380195618,,,
