Molecule_Name,inchikey,canonical_smiles
OCNT-0021943,QZAYGJVTTNCVMB-UHFFFAOYSA-N,NCCc1c[nH]c2ccc(O)cc12
OCNT-0022066,IENZQIKPVFGBNW-UHFFFAOYSA-N,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC
OCNT-0022127,LNEPOXFFQSENCJ-UHFFFAOYSA-N,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
OCNT-0022129,ZUXABONWMNSFBN-UHFFFAOYSA-N,CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1
OCNT-0022141,KLBQZWRITKRQQV-UHFFFAOYSA-N,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
OCNT-0022234,YRCWQPVGYLYSOX-UHFFFAOYSA-N,CNCC(O)c1ccc(O)cc1
OCNT-0022246,ZEWQUBUPAILYHI-UHFFFAOYSA-N,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
OCNT-0022266,PWWVAXIEGOYWEE-UHFFFAOYSA-N,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
OCNT-0022268,WIKYUJGCLQQFNW-UHFFFAOYSA-N,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
OCNT-0022314,FPCCSQOGAWCVBH-UHFFFAOYSA-N,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
OCNT-0022316,VCKUSRYTPJJLNI-UHFFFAOYSA-N,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC
OCNT-0200796,FBOZXECLQNJBKD-ZDUSSCGKSA-N,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
OCNT-0319465,CDQSUAXVLAUUPS-UHFFFAOYSA-N,COc1ccc(-c2cc(C(=O)N3CCCC(C#N)C3)[nH]n2)cc1
OCNT-0478539,DRLFMBDRBRZALE-UHFFFAOYSA-N,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
OCNT-0483502,DOBMPNYZJYQDGZ-UHFFFAOYSA-N,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
OCNT-0492977,PIXMJBOEBUQEEW-UHFFFAOYSA-N,COCC1CN(C(=O)C2CC23CCc2ccccc23)CCO1
OCNT-0493312,JCCNYMKQOSZNPW-UHFFFAOYSA-N,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
OCNT-0493346,LPEPZBJOKDYZAD-UHFFFAOYSA-N,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
OCNT-0493951,KKZJGLLVHKMTCM-UHFFFAOYSA-N,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
OCNT-0493990,MLDQJTXFUGDVEO-UHFFFAOYSA-N,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
OCNT-0494162,BFPYWIDHMRZLRN-SLHNCBLASA-N,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
OCNT-0494195,YQNQNVDNTFHQSW-UHFFFAOYSA-N,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1
OCNT-0494638,RUDATBOHQWOJDD-BSWAIDMHSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
OCNT-0494698,ZNNLBTZKUZBEKO-UHFFFAOYSA-N,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
OCNT-0495039,QIVBCDIJIAJPQS-VIFPVBQESA-N,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
OCNT-0495153,OCJYIGYOJCODJL-UHFFFAOYSA-N,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1
OCNT-0495303,WHTVZRBIWZFKQO-UHFFFAOYSA-N,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
OCNT-0495620,KXGVEGMKQFWNSR-LLQZFEROSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
OCNT-0497934,YJGVMLPVUAXIQN-XVVDYKMHSA-N,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
OCNT-0497954,WSPOMRSOLSGNFJ-AUWJEWJLSA-N,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21
OCNT-0498064,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
OCNT-0498090,VKQFCGNPDRICFG-UHFFFAOYSA-N,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
OCNT-0498121,JNMRHUJNCSQMMB-UHFFFAOYSA-N,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
OCNT-0498160,MBGGBVCUIVRRBF-UHFFFAOYSA-N,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
OCNT-1411118,PBJUNZJWGZTSKL-MRXNPFEDSA-N,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C
OCNT-1893991,JXZZEXZZKAWDSP-UHFFFAOYSA-N,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1
OCNT-1893994,ZKMNUMMKYBVTFN-HNNXBMFYSA-N,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
OCNT-1893998,RGOVYLWUIBMPGK-UHFFFAOYSA-N,CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1
OCNT-1911794,LOUPRKONTZGTKE-LHHVKLHASA-N,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
OCNT-1965960,INWLQCZOYSRPNW-UHFFFAOYSA-N,Cc1cccc(C)c1NC(=O)C1CCCCN1C
OCNT-2308470,RQGVCACJTCSQTN-UHFFFAOYSA-N,COc1ccccc1-c1cn(Cc2nc(C(C)(C)C)cs2)nn1
OCNT-2308474,RMOQOPSUZCJLMR-UHFFFAOYSA-N,O=C(Nc1ccccc1-c1ncc[nH]1)c1cc(-c2ccc(O)cc2)n[nH]1
OCNT-2308494,HNTSVSUJRBPIDS-UHFFFAOYSA-N,Cc1c(C(=O)Nc2ccc(OCc3ccncc3)cc2)nnn1C
OCNT-2308501,WCGOAKBBDHZUDP-UHFFFAOYSA-N,CC(C)N1CCN(C2CCN(C(=O)c3ccn(-c4ccc(F)cc4)n3)CC2)CC1
OCNT-2308504,WNVJJXBDZXMAAQ-UHFFFAOYSA-N,O=C(c1ccc(O)cc1)N1CCN(c2cc(N3CCCC3)ncn2)CC1
OCNT-2308512,HJAMHWGDBJJRCC-UHFFFAOYSA-N,O=C(Nc1ccc(Nc2ncccn2)cc1)c1cnn2ccncc12
OCNT-2308529,KBIFFZFLJCHRSB-UHFFFAOYSA-N,CCOC(=O)c1cnn2ccc(NC(=O)Cc3ccn(CC)n3)cc12
OCNT-2308531,BZQFGNJQXVEMQC-UHFFFAOYSA-N,CCC(C)Oc1cc(C(=O)N2CCC(C)c3cccc(O)c32)ccn1
OCNT-2308539,ZWRLRPADEBXZJB-UHFFFAOYSA-N,O=C(NCc1ncccc1F)N1CCC(CCc2ccc(F)cc2F)CC1
OCNT-2308543,AAUDAIVFRROHGC-UHFFFAOYSA-N,Cc1oc(-c2ccccc2)nc1CC(=O)N1CCNC(C)(C)C1
OCNT-2308553,PVLYROGYOCQWRM-UHFFFAOYSA-N,CC1(C)CC(C(=O)N2CCCn3nc(-c4ccccc4)nc32)C1
OCNT-2308560,KGGXLTJOCZBYMP-UHFFFAOYSA-N,Cc1nc(N2CCn3c(nnc3-c3ccccc3)C2)nc(C)c1CC(C)C
OCNT-2308571,JBLWNFFRBGGQRJ-UHFFFAOYSA-N,O=C(NCCc1nnc(-c2ccccc2)o1)c1ccc(F)c(Cl)c1
OCNT-2308585,KOJVPCIQCXWRGV-LRDDRELGSA-N,Cc1nc2ccccn2c1CNC(=O)[C@]12CNC[C@H]1COC2
OCNT-2308594,DLIWZFLURZGWCN-AZUAARDMSA-N,Cc1ccc(-c2cncc(F)c2)cc1NC(=O)N[C@H]1C[C@@]1(C)OC(C)C
OCNT-2308603,JLAOTGNFFLOXRH-UHFFFAOYSA-N,OCC(Cc1ccc(F)cc1)NCc1ccc(Cl)cc1-n1cncn1
OCNT-2308624,HCZDJIDHWJKQNL-UHFFFAOYSA-N,CN(CCc1ccncc1)C(=O)C1NCCOc2ccccc21
OCNT-2308626,HQIXODCYFGBKNG-UHFFFAOYSA-N,CCOc1ccc2c(c1)C(NC(=O)C1(CO)CCCO1)CCO2
OCNT-2308632,BNVYMBNZHADONN-UHFFFAOYSA-N,CCC(=O)N(c1nnc(SCc2ccc(F)cc2)s1)C1CC1
OCNT-2308640,AAYXDSMALIOPQB-UHFFFAOYSA-N,O=C(c1ccc(NS(=O)(=O)c2cc(Cl)ccc2Cl)cc1)N1CCC(c2cn[nH]c2)CC1
OCNT-2308649,NECXPRJZRYCKAT-UHFFFAOYSA-N,CNC(=O)COc1cccc(CC(=O)NCc2ccccc2-n2ccnc2)c1
OCNT-2308656,SFFQJAZXVFNTET-UHFFFAOYSA-N,CCOc1ccc(NC(=O)c2ccnc(Oc3ccc(F)cc3F)c2)cc1CO
OCNT-2308660,KGJRVDOHNIXDMY-UHFFFAOYSA-N,O=C(NCCc1cn[nH]c1)c1cn(-c2ccc(Cl)c(Cl)c2)cn1
OCNT-2308682,JZKCGQFNKIROBD-UHFFFAOYSA-N,O=c1c2ccccc2c(-c2nc(Cn3cncn3)no2)nn1Cc1ccccc1
OCNT-2308687,BOENRGZTNSTROB-UHFFFAOYSA-N,COc1cccc(C(OC)C(=O)N(C)C(C)c2cccc(S(N)(=O)=O)c2)c1
OCNT-2308689,RBIQMTORZFPEDR-UHFFFAOYSA-N,Cc1c[nH]c(C2(NC(=O)c3ccc4c(c3)CCC(=O)N4)CCC2)n1
OCNT-2308693,JKRHRSTTXYTARO-UHFFFAOYSA-N,CC(=O)N(c1nnc(SCCOc2ccc(Cl)cc2)s1)C1CC1
OCNT-2308760,CZPCBSYPEXOWNN-KXBFYZLASA-N,O=C1CSc2ccc(C(=O)NC[C@@H]3CCO[C@H]3c3ccccc3)cc2N1
OCNT-2308768,SLVCIRWUTNDVDY-UHFFFAOYSA-N,CC1CC1C(=O)Nc1nc2ccccc2n1-c1ccn(C)n1
OCNT-2308794,FGQIIXMRZKWIQS-UHFFFAOYSA-N,O=C(NCCN1CCCCCC1)c1ncc2ccccn12
OCNT-2308803,JIFHBVQNLSIJPG-UHFFFAOYSA-N,O=S1(=O)CCC(CNc2ccccc2OCC2CCCCC2)C1
OCNT-2308808,GCIKBYNGPPOSAR-UHFFFAOYSA-N,CCn1ccnc1NC(=O)Cc1cccc(C(F)(F)F)n1
OCNT-2308818,FZCCZRTVIJFQKN-UHFFFAOYSA-N,c1ccc(-c2nc(N3CCC(Oc4cnccn4)CC3)c3ccccc3n2)nc1
OCNT-2308821,JAPPCCYAUPAWPQ-UHFFFAOYSA-N,COc1cc(F)c(C(=O)Nc2cc(C)n(C3CCCCC3)n2)c(F)c1
OCNT-2308822,QECPZZNXERNMLC-HJWAUIETSA-N,COCc1cnc(OC)c(C(=O)N[C@@H]2CC(Cn3cc(Cl)cn3)C[C@H]2O)c1
OCNT-2308842,FQCKBCZETREUQU-UHFFFAOYSA-N,O=C(CCc1cccnc1)N1CCN(c2cccc(Cl)c2)CC1
OCNT-2308851,ANWFMPNNWUQEGN-UHFFFAOYSA-N,CC1CCN(Cc2nc3c(cnn3-c3ccccc3)c(=O)[nH]2)CC1CO
OCNT-2308852,JTEWTVFVNPJYQY-UHFFFAOYSA-N,Cc1cncc(C)c1NC(=O)NCCC(=O)N1CCCCC1
OCNT-2308860,GENBLLCBSGBWSV-UHFFFAOYSA-N,O=C(Nc1ccc(F)cc1OCC(F)F)c1ncccc1F
OCNT-2308866,TZHCGVRZHACKPM-UHFFFAOYSA-N,COc1cccc2[nH]c(C(=O)NCC#CC3CCCCO3)cc12
OCNT-2308872,PFOQBJFOBMXIFQ-OLZOCXBDSA-N,CS(=O)(=O)c1ccc(CNC(=O)[C@H]2C[C@@H]2c2ccncc2)s1
OCNT-2308951,CFCALRFTJMJNCF-UHFFFAOYSA-N,Cc1cccc(Oc2ccccc2C(=O)NC2CNC(=O)C2)c1
OCNT-2308952,YRYRQKCRFQZBJZ-UHFFFAOYSA-N,Brc1cccc2c1CCC2NCc1noc2c1COCC2
OCNT-2308958,APCKBGSTXTVQIO-UHFFFAOYSA-N,Cc1cc(Cl)c(NC(=O)N2CCCC(C3CCCCO3)C2)cc1Cl
OCNT-2308997,GDMXBTJFBFUQPG-UHFFFAOYSA-N,Cc1cc(NC(c2ccccc2)c2nnc[nH]2)cc(C)c1Cl
OCNT-2308998,SMUXAFUMKFMQDV-UHFFFAOYSA-N,Cc1cccc(-c2cncc(C(=O)Nc3ccccc3C(N)=O)c2)c1
OCNT-2309004,CJEBHGVZWZPWSG-UHFFFAOYSA-N,O=C(Nc1cncc(Cl)c1)N1CCCC(c2ccn[nH]2)C1
OCNT-2309012,CYDNTBXARFNHOK-UHFFFAOYSA-N,Cc1cccc2c(N3CCN(CC(=O)O)CC3)ncnc12
OCNT-2309019,YVFXCMLVGKSGDB-UHFFFAOYSA-N,CCc1ccc([N+](=O)[O-])cc1S(=O)(=O)Nc1ccc(-c2noc(C(F)(F)F)n2)cc1
OCNT-2309024,XSVIVDYCHPPUGK-UHFFFAOYSA-N,CC(=O)N(C)c1cccc(NC(=O)C2(C(=O)O)CCC2)c1
OCNT-2309042,MLWJNKOKQZCQFM-UHFFFAOYSA-N,O=C(Nc1nnc[nH]1)c1ccn(-c2c(F)cccc2F)n1
OCNT-2309070,CFGZXKWGGSEENY-UHFFFAOYSA-N,COC(=O)c1n[nH]cc1NC(=O)c1cccc(C(F)(F)F)c1
OCNT-2309134,WOGAEFGJGCXZAZ-UHFFFAOYSA-N,CCNC(=O)N1CCN(C(=O)c2cc(F)c(F)cc2F)CC1
OCNT-2309139,XEASEVMEKOGXHQ-UHFFFAOYSA-N,Cc1[nH]c2ccccc2c1C(=O)NCc1ccc(-n2ccnc2)nc1
OCNT-2309149,HOLZORPNZUZFLM-UHFFFAOYSA-N,Fc1ccc(OC2CCN(c3nnc(C(F)F)o3)CC2)c(F)c1
OCNT-2309151,QJWGFXLKMHWCMY-UHFFFAOYSA-N,CN(Cc1cn(C)nc1C(F)(F)F)C(=O)C1CCCc2c(O)cccc21
OCNT-2309164,PNCMDCHZNMXPME-UHFFFAOYSA-N,CC1CN(CCNC(=O)Nc2ccnc(-c3ccccc3)c2)CCO1
OCNT-2309175,QTYQHQWTDLCRNC-UHFFFAOYSA-N,O=C1CCCCN1CC1CCN(C(=O)c2c[nH]cc2-c2ccccc2)CC1
