epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,14,,,1.077881097793579,1.077881097793579
0,14,0.9082455039024353,,,
1,29,,,1.0437748432159424,1.0437748432159424
1,29,0.8287851810455322,,,
2,44,,,0.9881777763366699,0.9881777763366699
2,44,0.8186756372451782,,,
3,49,,0.7628821134567261,,
3,59,,,1.0201785564422607,1.0201785564422607
3,59,0.7713989019393921,,,
4,74,,,1.0147700309753418,1.0147700309753418
4,74,0.7421889901161194,,,
5,89,,,0.8887373208999634,0.8887373208999634
5,89,0.7325958013534546,,,
6,99,,0.883945643901825,,
6,104,,,1.4589200019836426,1.4589200019836426
6,104,0.7135152816772461,,,
7,119,,,1.1128337383270264,1.1128337383270264
7,119,0.6747605800628662,,,
8,134,,,0.8815625905990601,0.8815625905990601
8,134,0.6515588760375977,,,
9,149,,0.5330991744995117,,
9,149,,,0.927249550819397,0.927249550819397
9,149,0.638487696647644,,,
10,164,,,0.9840507507324219,0.9840507507324219
10,164,0.5799782872200012,,,
11,179,,,0.9838486909866333,0.9838486909866333
11,179,0.5789385437965393,,,
12,194,,,0.8223121166229248,0.8223121166229248
12,194,0.5397015810012817,,,
13,199,,0.5613853931427002,,
13,209,,,1.043381690979004,1.043381690979004
13,209,0.488738477230072,,,
14,224,,,1.1285241842269897,1.1285241842269897
14,224,0.45986130833625793,,,
15,239,,,0.9492027759552002,0.9492027759552002
15,239,0.4288625717163086,,,
16,249,,0.469978004693985,,
16,254,,,0.9190477728843689,0.9190477728843689
16,254,0.4020465910434723,,,
17,269,,,0.8856363296508789,0.8856363296508789
17,269,0.395588755607605,,,
