canonical_smiles,CYP1A2_pIC50_direct_inhibition,chemprop_split
CC(C)NCC(O)COc1cccc2ccccc12,5.783014945,train
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,5.40955026,val
Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,1.932731887,train
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,5.40609378,train
CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,4.861767925,train
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5.388658353,train
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.038514985,val
COc1ccc2cc(C(=O)N3CCn4cncc4C3)n(C)c2c1,5.844020868,train
Cn1cc(C(=O)N2CCc3n[nH]cc3C2)c2ccccc21,5.899677993,train
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,5.753405707,train
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.249563868,train
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,5.62699618,train
c1ccc2[nH]c(-c3cscn3)nc2c1,5.85949227,val
Nc1c2c(nc3ccccc13)CCCC2,5.595434417,train
COc1c2occc2cc2ccc(=O)oc12,6.692482703,val
CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,2.198138092,train
Nc1nc2ccc(OC(F)(F)F)cc2s1,5.50240846,train
CCOc1ccccc1OCC1CNCCO1,6.40645018,val
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,4.865116112,train
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,5.802336085,train
O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,5.820105097,train
COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,4.601161295,val
CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,5.301143663,train
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,4.98720785,train
Oc1c(Cl)cc(Cl)c2cccnc12,5.616129457,train
Clc1ccccc1CN1CCc2sccc2C1,4.765568825,train
O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1,5.412951787,train
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,5.295571237,train
CCCCOCCOC(=O)c1cccnc1,4.946983765,train
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,1.96732382,train
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],6.994413592,train
Cc1ccnc(NC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)c1,5.100591315,train
C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,5.464861375,train
O=c1[nH]c2cc(Cl)ccc2o1,5.587237593,train
CS(=O)(=O)c1ccc(-c2cn3ccccc3n2)cc1,5.76834609,train
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,5.91949229,train
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,5.14513125,train
Cc1ccc(NC(=O)c2ccc3c(c2)nnn3C)cc1-c1ncco1,5.041184842,val
c1ncc(Cc2nc(-c3ccc4c(c3)OCO4)no2)cn1,5.402595805,train
Cn1nnc2cc(C(=O)N3CCCC(n4ccc(C(F)(F)F)n4)C3)ccc21,3.43026558,train
O=S(=O)(Nc1cccc2[nH]ccc12)c1sccc1C1CC1,4.999731902,train
CCC1(CO)CCCN(C(=O)Nc2ccc3c(c2)N(C)CC3)C1,4.386259468,train
Cc1ccc2cc(-c3c[nH]c4cnccc34)cnc2c1C,5.34602963,train
Cn1cc(OC2CN(c3cc(Br)cc(F)c3C#N)C2)cn1,7.114525278,train
