epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,12,,,0.9630310535430908,0.9630310535430908
0,12,0.8781098127365112,,,
1,25,,,0.9571918845176697,0.9571918845176697
1,25,0.7945259809494019,,,
2,38,,,0.9235266447067261,0.9235266447067261
2,38,0.7223222255706787,,,
3,49,,0.6925362944602966,,
3,51,,,1.6433825492858887,1.6433825492858887
3,51,0.7438920140266418,,,
4,64,,,2.0610082149505615,2.0610082149505615
4,64,0.6869970560073853,,,
5,77,,,0.7249861359596252,0.7249861359596252
5,77,0.6222355961799622,,,
6,90,,,0.7092152833938599,0.7092152833938599
6,90,0.5721760392189026,,,
7,99,,0.501095712184906,,
7,103,,,0.7328146696090698,0.7328146696090698
7,103,0.5485416054725647,,,
8,116,,,0.8583738803863525,0.8583738803863525
8,116,0.531373143196106,,,
9,129,,,0.9148401021957397,0.9148401021957397
9,129,0.47944894433021545,,,
10,142,,,1.2482362985610962,1.2482362985610962
10,142,0.4652617871761322,,,
11,149,,0.4446142911911011,,
11,155,,,0.8104295134544373,0.8104295134544373
11,155,0.45364806056022644,,,
