canonical_smiles,CYP2C9_pIC50_direct_inhibition,chemprop_split
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,2.169687087,train
CC(C)NCC(O)COc1cccc2ccccc12,2.834837307,train
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,4.810827898,val
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,4.824902188,train
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,4.573013837,val
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,4.683597905,train
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,4.649319785,train
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,4.12327397,val
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,4.881786123,train
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,4.434790132,train
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,4.013040405,train
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,4.159997005,val
COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,4.322632415,train
O=C(OCCOCCO)c1ccccc1Nc1cccc(C(F)(F)F)c1,5.24864133,train
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,5.884783357,train
C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,4.027852167,train
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,4.675208465,train
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,2.102832312,val
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,5.37404736,train
O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1,5.696329008,train
COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(O)c(OC)c2)ccc1O,5.644330747,train
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,5.543143527,train
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,5.10806239,train
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,4.44158044,train
CC(C)(C)c1cc(C(C)(C)C)c(NC(=O)c2c[nH]c3ccccc3c2=O)cc1O,5.477437085,train
Cc1ccc(O)cc1,3.247387145,val
CCCCCCCC/C=C\CCCCCCCC(=O)O,4.5338679,train
Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,5.443798252,train
O=C(O)Cc1ccc(-c2ccccc2)cc1,4.102499563,train
