epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,15,,,0.7710925340652466,0.7710925340652466
0,15,0.9808040857315063,,,
1,31,,,0.7729364037513733,0.7729364037513733
1,31,0.8897803425788879,,,
2,47,,,0.739935576915741,0.739935576915741
2,47,0.8550742268562317,,,
3,49,,1.2050554752349854,,
3,63,,,0.7012364864349365,0.7012364864349365
3,63,0.8365529179573059,,,
4,79,,,0.7462027668952942,0.7462027668952942
4,79,0.807473361492157,,,
5,95,,,0.7478238344192505,0.7478238344192505
5,95,0.8143041133880615,,,
6,99,,0.39546018838882446,,
6,111,,,0.7035524249076843,0.7035524249076843
6,111,0.7429750561714172,,,
7,127,,,1.803855538368225,1.803855538368225
7,127,0.7118138074874878,,,
8,143,,,0.8087776303291321,0.8087776303291321
8,143,0.6685018539428711,,,
