config,Endpoint,ST-RAE_mean,ST-RAE_ci_low,ST-RAE_ci_high,MAE_mean,MAE_ci_low,MAE_ci_high,R2_mean,R2_ci_low,R2_ci_high,Spearman_R_mean,Spearman_R_ci_low,Spearman_R_ci_high,Kendall_Tau_mean,Kendall_Tau_ci_low,Kendall_Tau_ci_high
chemeleon__lightgbm,CYP1A2_pIC50_direct_inhibition,0.8818748778458706,0.7846616135621429,0.9850269179044306,0.7186218514012755,0.6503583719177641,0.7903790123734205,0.18779998574000709,0.08670929579518694,0.2750219475070524,0.4261280842100426,0.3301579073014437,0.523138215463605,0.29388301574166215,0.22485284492409904,0.36527799626270724
chemeleon__lightgbm,CYP2C9_pIC50_direct_inhibition,0.806580311499469,0.7160787798177534,0.9074773448826501,0.5796559690486873,0.52193337222799,0.6346626523089995,0.2420255141311452,0.15850936900066626,0.3245262203298809,0.4787387188800771,0.38229935808295973,0.5682714283434196,0.33412052544381404,0.26534215212109924,0.4019954563626947
chemeleon__lightgbm,CYP2D6_pIC50_direct_inhibition,0.9125920087308027,0.8484208281411008,0.9769814358707988,0.5743194781744452,0.5080459019795539,0.6478957359784573,0.14730541204966918,0.07388965951840609,0.21399266666180622,0.4190491026471945,0.3259359124956272,0.515921899253959,0.2886412272569502,0.2235861372083128,0.35792090434853235
chemeleon__lightgbm,CYP3A4_pIC50_direct_inhibition,0.6294489500500873,0.5601090333268277,0.6991835427126569,0.6196674863043556,0.5733295815380441,0.6654514339663801,0.4713760697472628,0.4037507917758034,0.5318496584004503,0.6857166881388335,0.634102308028004,0.7331270825960924,0.49444476600435733,0.452172122607341,0.5337583440093583
chemeleon__lightgbm,MA,0.8076240370315575,0.7648010075094676,0.851585318081335,0.623066196232191,0.589239037230293,0.6539951231378758,0.2621267454170211,0.22075412237427955,0.2983511965908582,0.5024081484690369,0.4575972142978551,0.5440500265184719,0.3527723836116959,0.32038003175751634,0.38357554611092787
chemeleon__rf,CYP1A2_pIC50_direct_inhibition,0.82853778512808,0.7449652232279348,0.9207072133496957,0.6959500618673217,0.6260590683744691,0.7647198361898202,0.20902878272613598,0.1307105406075232,0.28283730834365234,0.46499191197762435,0.35965220458240377,0.5657227173306716,0.32711889594445026,0.25115512850804655,0.40285157282727574
chemeleon__rf,CYP2C9_pIC50_direct_inhibition,0.7853216232639871,0.7063264730650599,0.8743515347911079,0.5750890951133653,0.5162907052348749,0.6330911528655653,0.2534923475227619,0.1877749843220656,0.314570671033478,0.5361975765384641,0.4437336782176934,0.6200175720868327,0.37570574550100433,0.3040993093146919,0.44291077599212564
chemeleon__rf,CYP2D6_pIC50_direct_inhibition,0.9071954840710401,0.836330815071923,0.9861411518728543,0.5791191521427065,0.512514460748339,0.6510409487056695,0.15122413985991043,0.061804582417918134,0.22453857027173887,0.4364952250665883,0.34108829044367306,0.5311206753104627,0.3022402044660831,0.23379248037491512,0.3711687145048296
chemeleon__rf,CYP3A4_pIC50_direct_inhibition,0.6505335226528653,0.5842107334583518,0.7169184171568374,0.6503551057418949,0.6037787651877999,0.6986041514496326,0.4325415129705038,0.3699850038566125,0.49043847152839887,0.6716789364054602,0.616413415523788,0.7224512335912007,0.4821964494854603,0.4383056058456399,0.52381214615001
chemeleon__rf,MA,0.7928971037789931,0.755025373496619,0.8335979542682443,0.625128353716322,0.5929857234048941,0.654409818304596,0.261571695769828,0.2241970327006928,0.29395500326132806,0.5273409124970342,0.4810872814862028,0.5692677766891752,0.37181532384924953,0.3369413949648879,0.4045411794419276
chemeleon__xgboost,CYP1A2_pIC50_direct_inhibition,0.9039150568205199,0.8037601564559306,1.0165958559733315,0.7390827288752455,0.6625985410949459,0.8183980663347473,0.10242387287305804,-0.023849894914395237,0.22504351833792613,0.4059545516407687,0.2940169324841546,0.5118521572984034,0.28604827281760997,0.20578255974755869,0.3635381786869326
chemeleon__xgboost,CYP2C9_pIC50_direct_inhibition,0.8379166761461262,0.7362376323810321,0.949850088626563,0.5912743058987272,0.532665213164394,0.6471865776486743,0.199181910313475,0.09025325552836055,0.2972970726973338,0.424162189353207,0.3283371420436065,0.5248130210048684,0.29554656473716073,0.22577461124920514,0.36957577748320275
chemeleon__xgboost,CYP2D6_pIC50_direct_inhibition,0.9947414737700869,0.9430155314531955,1.0515490208245843,0.6157828825628644,0.5445920742411017,0.6899931800934745,0.027645867323741052,-0.04276814585801154,0.09185895699813683,0.23098724888846092,0.1261025210294732,0.33869508098327483,0.1579265789867724,0.08521199239405694,0.23201255171844734
chemeleon__xgboost,CYP3A4_pIC50_direct_inhibition,0.6767575948454596,0.603543344321956,0.7581512934677723,0.6533773636614155,0.6020889645035555,0.7033821507216111,0.4104068743888281,0.32915049858937445,0.48055079378320675,0.6427731596700582,0.5859278536079745,0.696254946788446,0.45853667831899186,0.41106051383585257,0.5025404580845626
