CLD,config,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
a,chemprop_chemeleoninit,0.8684589730531899,0.6687414454875958,0.2265587844651737,0.508248794205783,0.35590837903731426
a,ecfp4_narrow__rf,0.8684779874322308,0.6775894870122191,0.17847487741003512,0.4379962869768488,0.3031605754058433
a,chemeleon__rf,0.8717790202862947,0.6799021808217995,0.18703988890336226,0.4413746575196176,0.3059728114906715
a,ecfp4_narrow__lightgbm,0.8750990446801232,0.6810470851849866,0.18117902118819296,0.4489056516153675,0.3109553412828922
b,chemeleon__lightgbm,0.9027561271753829,0.6957009242429109,0.1528311078329284,0.40980075210996836,0.2826229406108273
c,ecfp4_narrow__xgboost,0.9167486925511037,0.7003202906662732,0.12599057763976462,0.4028905507283186,0.2808815620470031
cd,mordred_pca__lightgbm,0.9271404020383591,0.710441682819544,0.11380988129428854,0.3453920547621829,0.2356049421224411
cd,chemprop_randominit,0.9281520835221468,0.7017936589172451,0.1440270787761022,0.46152622050256015,0.32065578533231887
d,mordred_pca__rf,0.940741806119368,0.7169145004509122,0.12580563759665256,0.3639820190051217,0.2480534416286986
e,chemeleon__xgboost,0.9786896842052503,0.7327857237971177,0.0703018493100873,0.319393291186842,0.21876858543779856
ef,mordred_pca__xgboost,0.9962546279060231,0.7439527081390932,0.04100635382175875,0.2764243461186482,0.18756699395426005
f,naive_mean,1.0052875819542972,0.7512312101016626,-0.006970268689122976,0.0,0.0
