CLD,config,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
a,chemprop_chemeleoninit,0.6786913123791602,0.46342934640381794,0.3838177395431736,0.6259047288096213,0.4531917653170571
b,chemprop_randominit,0.7441757965690284,0.49195290576450307,0.27793987310166,0.5896949329065465,0.424530144945369
b,ecfp4_narrow__rf,0.7459223899541051,0.4965937915312517,0.2911625337981402,0.5340889672516282,0.3795701891310577
c,ecfp4_narrow__lightgbm,0.7761587672505086,0.5044572759010405,0.277142517953268,0.5280529518901037,0.37234636163566726
c,chemeleon__rf,0.7859913243644533,0.5139686396327212,0.24538700447429015,0.5063859582946452,0.3562192640844623
d,ecfp4_narrow__xgboost,0.798830198406073,0.5148254598224726,0.24293570301178316,0.49979071282467347,0.3529987555118941
d,chemeleon__lightgbm,0.8007439166885191,0.5194186756693219,0.23775408030682435,0.48960522215466534,0.34310462610843745
e,mordred_pca__rf,0.8642495457109729,0.543289707885763,0.16311432438581364,0.40415602783156196,0.2801758241739869
ef,mordred_pca__lightgbm,0.8805797707537049,0.5478097495924019,0.14664065304030013,0.3819020552310209,0.2640248741644825
f,chemeleon__xgboost,0.8898459407588771,0.5472617600681148,0.1431373615540146,0.40513219311665627,0.28140751183935847
g,mordred_pca__xgboost,0.9561543669215418,0.5730627381783534,0.0723880559650212,0.2936111495952036,0.20105535626666352
h,naive_mean,1.005906943936866,0.593002068881436,-0.007922901673216305,0.0,0.0
