CLD,config,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
a,chemeleon__rf,0.9372347107300577,0.6010596452092792,0.14159688075985868,0.3976118281336936,0.27280959804591554
a,chemeleon__lightgbm,0.9483684484593369,0.607169718107159,0.11042399888440055,0.34679620968427455,0.23642198382618976
a,ecfp4_narrow__lightgbm,0.9598208280847605,0.6110844582127329,0.09960988636939203,0.31920737251721354,0.21809721708076318
b,ecfp4_narrow__rf,0.9763356380251048,0.6185946680750805,0.08135958340530308,0.29731146524695545,0.20291066310719647
bc,ecfp4_narrow__xgboost,0.9850258087236388,0.6240011645377809,0.0511282246639568,0.25288632336821737,0.17695028061064988
bc,mordred_pca__rf,0.9890238916100569,0.625406082237977,0.060817451560711604,0.26951168047905966,0.1824903626021138
cd,mordred_pca__lightgbm,0.9999957831142545,0.629934910250012,0.03903965026081404,0.22675816010283043,0.15344084317332635
d,naive_mean,1.0024988927064367,0.6320144427201836,-0.007550447617260898,0.0,0.0
d,chemprop_chemeleoninit,1.0039073561002367,0.6281896410521748,0.09799116140959546,0.40145744402020156,0.2749172697746925
de,chemeleon__xgboost,1.0074835040828338,0.6320232693098863,0.05041068238229232,0.28586239579680023,0.19591734233179028
e,chemprop_randominit,1.0457533239122208,0.6458624879282824,0.0505401025296784,0.3743995412772023,0.25633815653422554
f,mordred_pca__xgboost,1.0492353777205017,0.6508888449345498,-0.005783120000404641,0.1640292294116915,0.11137787849378786
