repeat,fold,isoform,n_labelled_compounds
0,0,CYP1A2,284
0,1,CYP1A2,302
0,2,CYP1A2,255
0,3,CYP1A2,285
0,4,CYP1A2,286
0,0,CYP2C9,262
0,1,CYP2C9,229
0,2,CYP2C9,267
0,3,CYP2C9,279
0,4,CYP2C9,248
0,0,CYP2D6,260
0,1,CYP2D6,311
0,2,CYP2D6,312
0,3,CYP2D6,323
0,4,CYP2D6,287
0,0,CYP3A4,470
0,1,CYP3A4,477
0,2,CYP3A4,462
0,3,CYP3A4,442
0,4,CYP3A4,484
0,0,ALL,979
0,1,ALL,980
0,2,ALL,990
0,3,ALL,978
0,4,ALL,978
1,0,CYP1A2,272
1,1,CYP1A2,303
1,2,CYP1A2,304
1,3,CYP1A2,264
1,4,CYP1A2,269
1,0,CYP2C9,262
1,1,CYP2C9,282
1,2,CYP2C9,263
1,3,CYP2C9,233
1,4,CYP2C9,245
1,0,CYP2D6,315
1,1,CYP2D6,308
1,2,CYP2D6,291
1,3,CYP2D6,281
1,4,CYP2D6,298
1,0,CYP3A4,463
1,1,CYP3A4,429
1,2,CYP3A4,459
1,3,CYP3A4,508
1,4,CYP3A4,476
1,0,ALL,981
1,1,ALL,981
1,2,ALL,981
1,3,ALL,981
1,4,ALL,981
2,0,CYP1A2,267
2,1,CYP1A2,281
2,2,CYP1A2,280
2,3,CYP1A2,289
2,4,CYP1A2,295
2,0,CYP2C9,243
2,1,CYP2C9,301
2,2,CYP2C9,226
2,3,CYP2C9,258
2,4,CYP2C9,257
2,0,CYP2D6,272
2,1,CYP2D6,281
2,2,CYP2D6,286
2,3,CYP2D6,335
2,4,CYP2D6,319
2,0,CYP3A4,498
2,1,CYP3A4,482
2,2,CYP3A4,481
2,3,CYP3A4,438
2,4,CYP3A4,436
2,0,ALL,982
2,1,ALL,981
2,2,ALL,981
2,3,ALL,981
2,4,ALL,980
3,0,CYP1A2,279
3,1,CYP1A2,264
3,2,CYP1A2,286
3,3,CYP1A2,294
3,4,CYP1A2,289
3,0,CYP2C9,242
3,1,CYP2C9,236
3,2,CYP2C9,268
3,3,CYP2C9,288
3,4,CYP2C9,251
3,0,CYP2D6,310
3,1,CYP2D6,272
3,2,CYP2D6,285
3,3,CYP2D6,294
3,4,CYP2D6,332
3,0,CYP3A4,440
3,1,CYP3A4,520
3,2,CYP3A4,486
3,3,CYP3A4,449
3,4,CYP3A4,440
3,0,ALL,980
3,1,ALL,983
3,2,ALL,980
3,3,ALL,981
3,4,ALL,981
4,0,CYP1A2,293
4,1,CYP1A2,263
4,2,CYP1A2,282
4,3,CYP1A2,282
4,4,CYP1A2,292
4,0,CYP2C9,269
4,1,CYP2C9,244
4,2,CYP2C9,237
4,3,CYP2C9,287
4,4,CYP2C9,248
4,0,CYP2D6,287
4,1,CYP2D6,287
4,2,CYP2D6,284
4,3,CYP2D6,320
4,4,CYP2D6,315
4,0,CYP3A4,483
4,1,CYP3A4,500
4,2,CYP3A4,452
4,3,CYP3A4,455
4,4,CYP3A4,445
4,0,ALL,984
4,1,ALL,981
4,2,ALL,981
4,3,ALL,979
4,4,ALL,980
