config,isoform,metric,original_cv,cluster_cv,shift_abs,shift_rel_pct
chemeleon__rf,CYP1A2,ST-RAE,0.8718,0.8794,0.0076,0.87
chemeleon__rf,CYP1A2,MAE,0.6799,0.6845,0.0046,0.67
chemeleon__rf,CYP1A2,R2,0.187,0.1797,-0.0074,-3.94
chemeleon__rf,CYP1A2,Spearman_R,0.4414,0.431,-0.0104,-2.35
chemeleon__rf,CYP1A2,Kendall_Tau,0.306,0.2992,-0.0067,-2.2
chemeleon__rf,CYP3A4,ST-RAE,0.6521,0.6849,0.0328,5.03
chemeleon__rf,CYP3A4,MAE,0.6522,0.6687,0.0165,2.52
chemeleon__rf,CYP3A4,R2,0.4271,0.4072,-0.0199,-4.65
chemeleon__rf,CYP3A4,Spearman_R,0.6585,0.6373,-0.0212,-3.22
chemeleon__rf,CYP3A4,Kendall_Tau,0.4757,0.457,-0.0186,-3.92
chemeleon__lightgbm,CYP1A2,ST-RAE,0.9028,0.8963,-0.0065,-0.72
chemeleon__lightgbm,CYP1A2,MAE,0.6957,0.692,-0.0037,-0.53
chemeleon__lightgbm,CYP1A2,R2,0.1528,0.1606,0.0078,5.08
chemeleon__lightgbm,CYP1A2,Spearman_R,0.4098,0.4093,-0.0005,-0.12
chemeleon__lightgbm,CYP1A2,Kendall_Tau,0.2826,0.2822,-0.0005,-0.16
chemeleon__lightgbm,CYP3A4,ST-RAE,0.6123,0.6472,0.0349,5.7
chemeleon__lightgbm,CYP3A4,MAE,0.6121,0.6285,0.0164,2.68
chemeleon__lightgbm,CYP3A4,R2,0.4847,0.4582,-0.0265,-5.47
chemeleon__lightgbm,CYP3A4,Spearman_R,0.6909,0.671,-0.02,-2.89
chemeleon__lightgbm,CYP3A4,Kendall_Tau,0.5031,0.4858,-0.0173,-3.44
ecfp4_narrow__rf,CYP1A2,ST-RAE,0.8685,0.8662,-0.0023,-0.26
ecfp4_narrow__rf,CYP1A2,MAE,0.6776,0.6772,-0.0004,-0.06
ecfp4_narrow__rf,CYP1A2,R2,0.1785,0.1774,-0.001,-0.58
ecfp4_narrow__rf,CYP1A2,Spearman_R,0.438,0.4321,-0.0059,-1.35
ecfp4_narrow__rf,CYP1A2,Kendall_Tau,0.3032,0.3001,-0.0031,-1.02
ecfp4_narrow__rf,CYP3A4,ST-RAE,0.5978,0.6257,0.0278,4.66
ecfp4_narrow__rf,CYP3A4,MAE,0.5957,0.6105,0.0148,2.48
ecfp4_narrow__rf,CYP3A4,R2,0.5001,0.4816,-0.0185,-3.71
ecfp4_narrow__rf,CYP3A4,Spearman_R,0.7024,0.6884,-0.014,-2.0
ecfp4_narrow__rf,CYP3A4,Kendall_Tau,0.5152,0.5013,-0.0138,-2.69
ecfp4_narrow__lightgbm,CYP1A2,ST-RAE,0.8751,0.8785,0.0034,0.38
ecfp4_narrow__lightgbm,CYP1A2,MAE,0.681,0.6816,0.0006,0.08
ecfp4_narrow__lightgbm,CYP1A2,R2,0.1812,0.1791,-0.002,-1.13
ecfp4_narrow__lightgbm,CYP1A2,Spearman_R,0.4489,0.4394,-0.0095,-2.12
ecfp4_narrow__lightgbm,CYP1A2,Kendall_Tau,0.311,0.3058,-0.0052,-1.67
ecfp4_narrow__lightgbm,CYP3A4,ST-RAE,0.5706,0.6173,0.0467,8.19
ecfp4_narrow__lightgbm,CYP3A4,MAE,0.573,0.5966,0.0236,4.12
ecfp4_narrow__lightgbm,CYP3A4,R2,0.5353,0.5037,-0.0317,-5.92
ecfp4_narrow__lightgbm,CYP3A4,Spearman_R,0.728,0.7051,-0.0229,-3.15
ecfp4_narrow__lightgbm,CYP3A4,Kendall_Tau,0.5381,0.516,-0.0222,-4.12
mordred_pca__lightgbm,CYP1A2,ST-RAE,0.9271,0.9405,0.0134,1.44
mordred_pca__lightgbm,CYP1A2,MAE,0.7104,0.716,0.0055,0.78
mordred_pca__lightgbm,CYP1A2,R2,0.1138,0.1079,-0.0059,-5.2
mordred_pca__lightgbm,CYP1A2,Spearman_R,0.3454,0.3426,-0.0027,-0.79
mordred_pca__lightgbm,CYP1A2,Kendall_Tau,0.2356,0.2347,-0.0009,-0.4
mordred_pca__lightgbm,CYP3A4,ST-RAE,0.6883,0.7171,0.0287,4.17
mordred_pca__lightgbm,CYP3A4,MAE,0.6729,0.6859,0.013,1.94
mordred_pca__lightgbm,CYP3A4,R2,0.3851,0.3674,-0.0177,-4.61
mordred_pca__lightgbm,CYP3A4,Spearman_R,0.6153,0.6012,-0.0141,-2.29
mordred_pca__lightgbm,CYP3A4,Kendall_Tau,0.4406,0.4274,-0.0132,-3.0
chemprop_randominit,CYP1A2,ST-RAE,0.9282,0.9357,0.0076,0.81
chemprop_randominit,CYP1A2,MAE,0.7018,0.7025,0.0007,0.1
chemprop_randominit,CYP1A2,R2,0.144,0.1672,0.0232,16.1
chemprop_randominit,CYP1A2,Spearman_R,0.4615,0.4658,0.0043,0.92
chemprop_randominit,CYP1A2,Kendall_Tau,0.3207,0.3244,0.0038,1.17
chemprop_randominit,CYP3A4,ST-RAE,0.6358,0.6505,0.0147,2.31
chemprop_randominit,CYP3A4,MAE,0.6149,0.6235,0.0086,1.4
chemprop_randominit,CYP3A4,R2,0.459,0.444,-0.015,-3.27
chemprop_randominit,CYP3A4,Spearman_R,0.7114,0.7006,-0.0109,-1.53
chemprop_randominit,CYP3A4,Kendall_Tau,0.523,0.5129,-0.0101,-1.94
