criterion,config,metric,before_mean,after_mean,delta_mean,shapiro_p,branch,test,p_value,significant
residual,chemeleon__rf,ST-RAE,0.9372347107300577,0.9020733984933608,-0.03516131223669698,0.7808781200650903,parametric,paired t-test,4.597602903831897e-08,True
residual,chemeleon__rf,R2,0.14159688075985863,0.13580504882976568,-0.0057918319300929695,0.6347520283261527,parametric,paired t-test,0.15324564775158725,False
residual,chemeleon__lightgbm,ST-RAE,0.9483684484593369,0.9301946778189105,-0.01817377064042648,0.4759657662762362,parametric,paired t-test,0.0005133234080221512,True
residual,chemeleon__lightgbm,R2,0.11042399888440052,0.10603190585110805,-0.004392093033292451,0.8004646842708023,parametric,paired t-test,0.4522348538677624,False
residual,ecfp4_narrow__lightgbm,ST-RAE,0.9598208280847603,0.9463488707893986,-0.013471957295361867,0.5435626036216487,parametric,paired t-test,0.051759291819369904,False
residual,ecfp4_narrow__lightgbm,R2,0.09960988636939197,0.0898699263967801,-0.009739959972611895,0.5146814242123594,parametric,paired t-test,0.08807213507183899,False
residual,chemprop_chemeleoninit,ST-RAE,1.0039073561002367,0.9343074038751947,-0.06959995222504196,0.2684302803325844,parametric,paired t-test,1.561109263276471e-05,True
residual,chemprop_chemeleoninit,R2,0.0979911614095954,0.11297893618724374,0.014987774777648302,0.17811420855209792,parametric,paired t-test,0.20758442193407642,False
ci_width,chemeleon__rf,ST-RAE,0.9372347107300577,0.9289851637550848,-0.00824954697497298,0.3349733098198051,parametric,paired t-test,0.08834666303421651,False
ci_width,chemeleon__rf,R2,0.14159688075985863,0.12006552193559365,-0.021531358824265025,0.4232371547312597,parametric,paired t-test,2.0864018113783828e-05,True
ci_width,chemeleon__lightgbm,ST-RAE,0.9483684484593369,0.9591234622676711,0.010755013808334239,0.9852022910160939,parametric,paired t-test,0.086600026820111,False
ci_width,chemeleon__lightgbm,R2,0.11042399888440052,0.0811100532648024,-0.029313945619598106,0.17721499458363463,parametric,paired t-test,4.202611469840863e-06,True
ci_width,ecfp4_narrow__lightgbm,ST-RAE,0.9598208280847603,0.9539253568877493,-0.005895471197011229,0.6550877190370863,parametric,paired t-test,0.4271265962856274,False
ci_width,ecfp4_narrow__lightgbm,R2,0.09960988636939197,0.08412754036293586,-0.015482346006456133,0.5926061226431878,parametric,paired t-test,0.0172026025714928,True
ci_width,chemprop_chemeleoninit,ST-RAE,1.0039073561002367,0.953170724365036,-0.05073663173520055,0.7792977066008915,parametric,paired t-test,1.5320306517945078e-05,True
ci_width,chemprop_chemeleoninit,R2,0.0979911614095954,0.09825311658776231,0.00026195517816687136,0.6679572928077663,parametric,paired t-test,0.9736787981320518,False
