inchikey,Molecule_Name,mean_abs_residual,n_oof_obs
YCVRUZSBJRNHDW-VQIMIIECSA-N,OCNT-2315149,2.950342878,5
SNCVEOXAGGEZHI-UHFFFAOYSA-N,OCNT-2308483,2.9150331780000003,5
OSXJAFIEDOREKR-UHFFFAOYSA-N,OCNT-2308589,2.855842517,5
KFZXVMNBUMVKLN-UHFFFAOYSA-N,OCNT-2328764,2.8332803600000003,5
ACOCBYLGXYWEIH-UHFFFAOYSA-N,OCNT-2310884,2.7916662249999997,5
KQWVGAQCBXYSBL-UHFFFAOYSA-N,OCNT-2309262,2.730582075,5
YDRIIVMAQGIRPU-UHFFFAOYSA-N,OCNT-2314989,2.703553915,5
ODIUBUVTYKQAIR-UHFFFAOYSA-N,OCNT-2310304,2.6593158879999996,5
WFFVJHDLDVRRLG-UHFFFAOYSA-N,OCNT-2315652,2.6309357830000004,5
VXYWJYHOQJEMKQ-UHFFFAOYSA-N,OCNT-2310796,2.6045877479999997,5
DEGIHGBFUSEICZ-UHFFFAOYSA-N,OCNT-2311998,2.590599408,5
QWZDDQDPRVIWED-UHFFFAOYSA-N,OCNT-2309665,2.580516825,5
DTKNSZIBMSDKHW-UHFFFAOYSA-N,OCNT-2310606,2.56254572,5
YAOYODKAQMWJKZ-SNVBAGLBSA-N,OCNT-2316818,2.560892438,5
ZNZJGCOJFHWZII-UHFFFAOYSA-N,OCNT-2310979,2.5604733719999997,5
NHRIDECXOSPLOY-UHFFFAOYSA-N,OCNT-2317432,2.5481571550000006,5
FSRWABFDKDBIDA-UHFFFAOYSA-N,OCNT-2313255,2.5174603619999996,5
PDTMEWBSGOMXMQ-UHFFFAOYSA-N,OCNT-2310785,2.5062730149999997,5
MWUXHAOXKVPJBX-UHFFFAOYSA-N,OCNT-2309935,2.5024058399999998,5
SIPKZGGJKLNGKF-UHFFFAOYSA-N,OCNT-2316287,2.4796329799999994,5
NBGVIXHDZUGCIO-UHFFFAOYSA-N,OCNT-2309003,2.4755968420000003,5
UMFKELBOCYOCOS-NEPJUHHUSA-N,OCNT-2317353,2.435702838,5
SYXTXXKDVIEGLV-UHFFFAOYSA-N,OCNT-2310458,2.4272775930000003,5
LOUPRKONTZGTKE-LHHVKLHASA-N,OCNT-1911794,2.3999111399999995,5
SVMQOALRDWTTNN-UHFFFAOYSA-N,OCNT-2308941,2.3891726249999996,5
QZKFAVIPPGQIGR-UHFFFAOYSA-N,OCNT-2310214,2.369747348,5
IVWQVUXCCLQHJG-UHFFFAOYSA-N,OCNT-2310324,2.3590265619999995,5
QIISNUQNQVBXSM-UHFFFAOYSA-N,OCNT-2308466,2.3466104469999998,5
RNAQONVYBHAFLX-UHFFFAOYSA-N,OCNT-2310222,2.3417795349999997,5
SDFDUAQZYLINDJ-UHFFFAOYSA-N,OCNT-2310706,2.3328118200000003,5
YZDDODJEXHDWEE-UHFFFAOYSA-N,OCNT-2310008,2.3274398219999997,5
GVRNGMTUEFDGRL-UHFFFAOYSA-N,OCNT-2317592,2.316724025,5
FKQSJZQWYQETSO-UHFFFAOYSA-N,OCNT-2310019,2.31629763,5
URTKWFRBZMTOMG-UHFFFAOYSA-N,OCNT-2317896,2.301068967,5
GFTNQWDQVTWDPR-UHFFFAOYSA-N,OCNT-2316701,2.29148721,5
KKUAFDGZQZBAAV-UHFFFAOYSA-N,OCNT-2310258,2.2854487199999993,5
JNDMSQNZXYTQFB-UHFFFAOYSA-N,OCNT-2308924,2.276769678,5
FKGZTTKABGMFKO-UHFFFAOYSA-N,OCNT-2315259,2.270102918,5
JXYXGAQDRCZGRG-UHFFFAOYSA-N,OCNT-2308599,2.2618009470000002,5
XWYFLAJZGXTDDA-UHFFFAOYSA-N,OCNT-2308839,2.248956677,5
YTNLLJSTXDVXNM-UHFFFAOYSA-N,OCNT-2310624,2.242374862,5
NOKWLBSHOIIUFJ-SAABIXHNSA-N,OCNT-2310404,2.2392767399999998,5
OHZIROHEARSYFY-UHFFFAOYSA-N,OCNT-2317689,2.2375919850000003,5
