inchikey,Molecule_Name,ci_width
NOCBHRIGICTARN-UHFFFAOYSA-N,OCNT-2310555,3.13489475
RSNMLBQSSNNKTC-UWJYYQICSA-N,OCNT-2317840,3.11861475
BZGWCXPBGHVUHJ-UHFFFAOYSA-N,OCNT-2316656,3.107729
COSKONQOXHRMBA-UHFFFAOYSA-N,OCNT-2314906,3.0266909999999996
WTTPTXHWBCVSAE-UHFFFAOYSA-N,OCNT-2317273,3.0215387500000004
JGLRPGXNNHQDGO-UHFFFAOYSA-N,OCNT-2308810,3.0152015
HTHQNIFHKWWWJY-UHFFFAOYSA-N,OCNT-2310252,3.0116449999999997
FKXADKCFWZZCLK-UHFFFAOYSA-N,OCNT-2309502,3.0005675
RVDWAGALOWZBAV-UHFFFAOYSA-N,OCNT-2315937,2.9970392500000003
WXFRBHMZPSUVHD-UHFFFAOYSA-N,OCNT-2314473,2.98034875
RSUDJUKPYSQPJM-UHFFFAOYSA-N,OCNT-2309661,2.9774062499999996
QIISNUQNQVBXSM-UHFFFAOYSA-N,OCNT-2308466,2.9755555000000005
YVNZWBMVYHHHAQ-UHFFFAOYSA-N,OCNT-2314603,2.97409825
BPSZGIAFILZKMB-UHFFFAOYSA-N,OCNT-2315150,2.9633619999999996
WBQDKRMJPDFRJR-UHFFFAOYSA-N,OCNT-2318326,2.9539735
BOKFPFKRMCNNQS-UHFFFAOYSA-N,OCNT-2316543,2.9484707500000003
YSSUBBRJQCDCQC-UHFFFAOYSA-N,OCNT-2309692,2.9462325
YQABVYWBHBCFDO-RBUKOAKNSA-N,OCNT-2316133,2.9441567500000003
LUBJRGMKKHWILN-UHFFFAOYSA-N,OCNT-2315387,2.9388145
ATFFWNIHJPKPHE-UHFFFAOYSA-N,OCNT-2316459,2.9381202500000003
JZKCGQFNKIROBD-UHFFFAOYSA-N,OCNT-2308682,2.9352432499999996
VTXQAUDKIYUBRI-UHFFFAOYSA-N,OCNT-2310018,2.93263175
CPACSLZRDZGWSJ-UHFFFAOYSA-N,OCNT-2308519,2.9297762499999997
DLKJZMONGZUVHF-UHFFFAOYSA-N,OCNT-2310539,2.9239365
SDFDUAQZYLINDJ-UHFFFAOYSA-N,OCNT-2310706,2.91948175
WEEGQGAXYCRQAE-UHFFFAOYSA-N,OCNT-2316408,2.9040767499999998
WAFLWFBYNRXLIA-UHFFFAOYSA-N,OCNT-2311132,2.886254
LEQOABJBJQUSIJ-UHFFFAOYSA-N,OCNT-2310448,2.885428
YMJWYDKEGLKYSU-UHFFFAOYSA-N,OCNT-2310120,2.88444125
RZTAMFZIAATZDJ-UHFFFAOYSA-N,OCNT-0497994,2.87874625
CUCVKSLIXCMJHH-UHFFFAOYSA-N,OCNT-2311202,2.8677902500000005
XEMCUDAQPISXBU-UHFFFAOYSA-N,OCNT-2315996,2.8621410000000003
WYHQUPSNOXIMFX-UHFFFAOYSA-N,OCNT-2310188,2.860253
YTNLLJSTXDVXNM-UHFFFAOYSA-N,OCNT-2310624,2.858448
RCKVVFKGCLFGIN-UHFFFAOYSA-N,OCNT-2315408,2.8525722499999997
PETCYDQNHWMCQW-UHFFFAOYSA-N,OCNT-2317404,2.83712475
WPIPWESKVFABQC-UHFFFAOYSA-N,OCNT-2317449,2.83438825
PLJXPASPUUPXHL-UHFFFAOYSA-N,OCNT-2308945,2.83150175
PQPGOORJZHZVIF-UHFFFAOYSA-N,OCNT-2312303,2.8258395000000003
NHLYQLGKEWBBCF-UHFFFAOYSA-N,OCNT-2309465,2.810325
PWHROYKAGRUWDQ-UHFFFAOYSA-N,OCNT-0497719,2.80938175
XWYFLAJZGXTDDA-UHFFFAOYSA-N,OCNT-2308839,2.8009015
FHCUMDQMBHQXKK-CDIODLITSA-N,OCNT-2328942,2.7926017499999998
LCPMUUJCASWNHY-UHFFFAOYSA-N,OCNT-2318260,2.77897775
BKXOCSXNRVMALB-UHFFFAOYSA-N,OCNT-2318220,2.7759477500000003
CIBMHMYNONJSKA-UHFFFAOYSA-N,OCNT-2318002,2.77258375
URTKWFRBZMTOMG-UHFFFAOYSA-N,OCNT-2317896,2.7649375000000003
OKIZSZJYXQZGPI-UHFFFAOYSA-N,OCNT-2310465,2.7630925
GVRNGMTUEFDGRL-UHFFFAOYSA-N,OCNT-2317592,2.729156
OHRNTNHJMYAFCK-UHFFFAOYSA-N,OCNT-2314025,2.72616775
QMPNSZFQZAWABV-UHFFFAOYSA-N,OCNT-2311956,2.7130335
QCFMPDOKIAFCJC-UHFFFAOYSA-N,OCNT-2318541,2.7116724999999997
HDIABXPHKYTLHK-UHFFFAOYSA-N,OCNT-2315990,2.7077704999999996
CBRQOHPCDLQLPJ-UHFFFAOYSA-N,OCNT-2309578,2.7064277500000005
JCCNYMKQOSZNPW-UHFFFAOYSA-N,OCNT-0493312,2.69513975
NOKWLBSHOIIUFJ-SAABIXHNSA-N,OCNT-2310404,2.6913080000000003
SQUDKELOJLLRRO-UHFFFAOYSA-N,OCNT-2315950,2.6798442500000004
KGDBHTFHMFKVGM-UHFFFAOYSA-N,OCNT-2316654,2.6627134999999997
NIKYSSZTCHVNNJ-UHFFFAOYSA-N,OCNT-2310919,2.643854
NBGVIXHDZUGCIO-UHFFFAOYSA-N,OCNT-2309003,2.6391957500000003
WBBYHZIZLZISGE-UHFFFAOYSA-N,OCNT-2309206,2.6100475
UMFKELBOCYOCOS-NEPJUHHUSA-N,OCNT-2317353,2.60712
YCVRUZSBJRNHDW-VQIMIIECSA-N,OCNT-2315149,2.6047145
BFFLYJVBUUSJEC-UHFFFAOYSA-N,OCNT-2312229,2.601231
KKUAFDGZQZBAAV-UHFFFAOYSA-N,OCNT-2310258,2.5915187499999996
ZEJFPISQRZKEQM-UHFFFAOYSA-N,OCNT-2308971,2.58100025
XDFOSJLPRLTQAN-UHFFFAOYSA-N,OCNT-2310096,2.5678652499999997
SVMQOALRDWTTNN-UHFFFAOYSA-N,OCNT-2308941,2.560018
BYQXMJFFQMJEPC-UHFFFAOYSA-N,OCNT-2317347,2.55451225
QUFWZMFRCQQMKL-UHFFFAOYSA-N,OCNT-2318486,2.53805425
ZWALUEYCFIRARI-UHFFFAOYSA-N,OCNT-2313402,2.53646075
UOJGMMZGRJXRSE-UHFFFAOYSA-N,OCNT-2317417,2.503856
IVWQVUXCCLQHJG-UHFFFAOYSA-N,OCNT-2310324,2.498765
