num_leaves,learning_rate,min_child_samples,inner_val_RAE,config,repeat,fold
15,0.01,5,0.9489750961625358,chemeleon__lightgbm,4,3
15,0.01,10,0.9481386598076557,chemeleon__lightgbm,4,3
15,0.01,20,0.9477155029079065,chemeleon__lightgbm,4,3
15,0.01,30,0.9503202351408059,chemeleon__lightgbm,4,3
15,0.03,5,0.9480473660989053,chemeleon__lightgbm,4,3
15,0.03,10,0.9558019908162557,chemeleon__lightgbm,4,3
15,0.03,20,0.9610966647480409,chemeleon__lightgbm,4,3
15,0.03,30,0.9619714436390473,chemeleon__lightgbm,4,3
15,0.05,5,0.945003101081397,chemeleon__lightgbm,4,3
15,0.05,10,0.9556971112212022,chemeleon__lightgbm,4,3
15,0.05,20,0.9582113157431801,chemeleon__lightgbm,4,3
15,0.05,30,0.9518318166282318,chemeleon__lightgbm,4,3
15,0.1,5,0.9520539147212971,chemeleon__lightgbm,4,3
15,0.1,10,1.0050832929275597,chemeleon__lightgbm,4,3
15,0.1,20,0.965224392462566,chemeleon__lightgbm,4,3
15,0.1,30,0.9541474396111805,chemeleon__lightgbm,4,3
31,0.01,5,0.9575879129953728,chemeleon__lightgbm,4,3
31,0.01,10,0.9602794379960646,chemeleon__lightgbm,4,3
31,0.01,20,0.9573617486286002,chemeleon__lightgbm,4,3
31,0.01,30,0.9615773500476974,chemeleon__lightgbm,4,3
31,0.03,5,0.9629116751150857,chemeleon__lightgbm,4,3
31,0.03,10,0.9653810823228555,chemeleon__lightgbm,4,3
31,0.03,20,0.9541958396456465,chemeleon__lightgbm,4,3
31,0.03,30,0.9682254228887172,chemeleon__lightgbm,4,3
31,0.05,5,0.9595634897520692,chemeleon__lightgbm,4,3
31,0.05,10,0.9861215043219667,chemeleon__lightgbm,4,3
31,0.05,20,0.9601336642696727,chemeleon__lightgbm,4,3
31,0.05,30,0.9695692573177311,chemeleon__lightgbm,4,3
31,0.1,5,0.9616655449435605,chemeleon__lightgbm,4,3
31,0.1,10,0.9469324009972411,chemeleon__lightgbm,4,3
31,0.1,20,0.968833642295881,chemeleon__lightgbm,4,3
31,0.1,30,0.9557917930921339,chemeleon__lightgbm,4,3
63,0.01,5,0.9702547710049055,chemeleon__lightgbm,4,3
63,0.01,10,0.9649640275170719,chemeleon__lightgbm,4,3
63,0.01,20,0.958332080757555,chemeleon__lightgbm,4,3
63,0.01,30,0.9615773500476974,chemeleon__lightgbm,4,3
63,0.03,5,0.9862123058368082,chemeleon__lightgbm,4,3
63,0.03,10,0.9721023738753889,chemeleon__lightgbm,4,3
63,0.03,20,0.9520539543087404,chemeleon__lightgbm,4,3
63,0.03,30,0.9682254228887172,chemeleon__lightgbm,4,3
63,0.05,5,0.9801017254464668,chemeleon__lightgbm,4,3
63,0.05,10,0.9922849357578994,chemeleon__lightgbm,4,3
63,0.05,20,0.9552007844243975,chemeleon__lightgbm,4,3
63,0.05,30,0.9695692573177311,chemeleon__lightgbm,4,3
63,0.1,5,1.0057837269250185,chemeleon__lightgbm,4,3
63,0.1,10,0.9707073963773397,chemeleon__lightgbm,4,3
63,0.1,20,0.960333003603433,chemeleon__lightgbm,4,3
63,0.1,30,0.9557917930921339,chemeleon__lightgbm,4,3
127,0.01,5,0.9692765384350686,chemeleon__lightgbm,4,3
127,0.01,10,0.9758859895699685,chemeleon__lightgbm,4,3
127,0.01,20,0.958332080757555,chemeleon__lightgbm,4,3
127,0.01,30,0.9615773500476974,chemeleon__lightgbm,4,3
127,0.03,5,0.9736335435485012,chemeleon__lightgbm,4,3
127,0.03,10,0.9791747456723577,chemeleon__lightgbm,4,3
127,0.03,20,0.9520539543087404,chemeleon__lightgbm,4,3
127,0.03,30,0.9682254228887172,chemeleon__lightgbm,4,3
127,0.05,5,0.9599825834830749,chemeleon__lightgbm,4,3
127,0.05,10,0.9717075653437576,chemeleon__lightgbm,4,3
127,0.05,20,0.9552007844243975,chemeleon__lightgbm,4,3
127,0.05,30,0.9695692573177311,chemeleon__lightgbm,4,3
127,0.1,5,0.9930479519429452,chemeleon__lightgbm,4,3
127,0.1,10,0.9837677474664359,chemeleon__lightgbm,4,3
127,0.1,20,0.960333003603433,chemeleon__lightgbm,4,3
127,0.1,30,0.9557917930921339,chemeleon__lightgbm,4,3
