n_estimators,max_depth,min_samples_leaf,inner_val_RAE,config,repeat,fold
200,10,1,0.9399406905691343,chemeleon__rf,0,4
200,10,2,0.9429106644939812,chemeleon__rf,0,4
200,10,3,0.9393373218019327,chemeleon__rf,0,4
200,10,5,0.9365388882683281,chemeleon__rf,0,4
200,20,1,0.939278407587592,chemeleon__rf,0,4
200,20,2,0.9378213663217082,chemeleon__rf,0,4
200,20,3,0.9364897676955434,chemeleon__rf,0,4
200,20,5,0.9356193437496818,chemeleon__rf,0,4
500,10,1,0.9385896799000157,chemeleon__rf,0,4
500,10,2,0.9360577252229354,chemeleon__rf,0,4
500,10,3,0.9375428983310115,chemeleon__rf,0,4
500,10,5,0.9323304001315214,chemeleon__rf,0,4
500,20,1,0.9381712621838719,chemeleon__rf,0,4
500,20,2,0.9355639668768576,chemeleon__rf,0,4
500,20,3,0.9380875518725658,chemeleon__rf,0,4
500,20,5,0.9324255376617844,chemeleon__rf,0,4
1000,10,1,0.937132774119355,chemeleon__rf,0,4
1000,10,2,0.9379530805485837,chemeleon__rf,0,4
1000,10,3,0.9393299880885421,chemeleon__rf,0,4
1000,10,5,0.936105952195083,chemeleon__rf,0,4
1000,20,1,0.9385519812260599,chemeleon__rf,0,4
1000,20,2,0.9371444566770774,chemeleon__rf,0,4
1000,20,3,0.9401480277372323,chemeleon__rf,0,4
1000,20,5,0.9374143452119434,chemeleon__rf,0,4
