inchikey,Molecule_Name,CYP2D6_pIC50_direct_inhibition,density,weight_unclipped,weight,repeat,fold
AQHHHDLHHXJYJD-UHFFFAOYSA-N,OCNT-0018684,4.615706783,0.7548205853360824,0.24536156377469276,0.24536156377469276,0,0
OEHAYUOVELTAPG-UHFFFAOYSA-N,OCNT-0020887,4.45672162,0.7591695482114676,0.2439559906264856,0.2439559906264856,0,0
NGOGFTYYXHNFQH-UHFFFAOYSA-N,OCNT-0021749,5.467465685,0.31565734282486885,0.5867246981488528,0.5867246981488528,0,0
GZUITABIAKMVPG-UHFFFAOYSA-N,OCNT-0022006,5.018758378,0.4811014465771474,0.3849582255573027,0.3849582255573027,0,0
HWHLPVGTWGOCJO-UHFFFAOYSA-N,OCNT-0022012,5.16473218,0.43302274052899464,0.42770030728903274,0.42770030728903274,0,0
VRBKIVRKKCLPHA-UHFFFAOYSA-N,OCNT-0022107,5.186117497,0.425824885684192,0.4349298629877269,0.4349298629877269,0,0
RGCVKNLCSQQDEP-UHFFFAOYSA-N,OCNT-0022119,6.170296065,0.10482210822886946,1.766840624718349,1.766840624718349,0,0
XMXHEBAFVSFQEX-UHFFFAOYSA-N,OCNT-0022126,4.470200998,0.7668636365775856,0.24150833388571105,0.24150833388571105,0,0
CEUORZQYGODEFX-UHFFFAOYSA-N,OCNT-0022128,4.314528733,0.5911778744281079,0.313279585042915,0.313279585042915,0,0
RAPZEAPATHNIPO-UHFFFAOYSA-N,OCNT-0022137,4.600892027,0.7628494665908621,0.2427791684971057,0.2427791684971057,0,0
XJGVXQDUIWGIRW-UHFFFAOYSA-N,OCNT-0022139,4.698939887,0.6932647979698344,0.2671475022671622,0.2671475022671622,0,0
KLPWJLBORRMFGK-UHFFFAOYSA-N,OCNT-0022142,4.946460652,0.5113519685722586,0.36218489527770176,0.36218489527770176,0,0
HXGBXQDTNZMWGS-RUZDIDTESA-N,OCNT-0022215,6.673307633,0.042208413952377725,4.387844551476141,4.387844551476141,0,0
YBHILYKTIRIUTE-UHFFFAOYSA-N,OCNT-0022237,5.05540735,0.4683527270355536,0.39543691857980984,0.39543691857980984,0,0
XSCGXQMFQXDFCW-UHFFFAOYSA-N,OCNT-0022254,5.638113973,0.2468385690572096,0.7503039735433951,0.7503039735433951,0,0
ZGUGWUXLJSTTMA-UHFFFAOYSA-N,OCNT-0022267,5.992036087,0.13913579302217507,1.3311021927899804,1.3311021927899804,0,0
BTFMCMVEUCGQDX-UHFFFAOYSA-N,OCNT-0022269,5.655250823,0.24020139690010994,0.7710361454076345,0.7710361454076345,0,0
YVUQSNJEYSNKRX-UHFFFAOYSA-N,OCNT-0022271,5.429762353,0.3311176612732409,0.559329751470304,0.559329751470304,0,0
DKMFBWQBDIGMHM-UHFFFAOYSA-N,OCNT-0022281,5.695252392,0.2251052702013271,0.8227437723770284,0.8227437723770284,0,0
PLDUPXSUYLZYBN-UHFFFAOYSA-N,OCNT-0022288,5.73767089,0.20985323776008974,0.8825403942498167,0.8825403942498167,0,0
RMEDXOLNCUSCGS-UHFFFAOYSA-N,OCNT-0022291,5.42724906,0.33214882761334424,0.5575932949038941,0.5575932949038941,0,0
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,OCNT-0022294,5.835926223,0.17827965605049964,1.0388395585356587,1.0388395585356587,0,0
ZKIAIYBUSXZPLP-UHFFFAOYSA-N,OCNT-0022297,4.35820127,0.6571718214979775,0.2818196902679585,0.2818196902679585,0,0
FEBOTPHFXYHVPL-UHFFFAOYSA-N,OCNT-0022301,5.102518413,0.45310216730179304,0.4087465753921968,0.4087465753921968,0,0
QWGDMFLQWFTERH-UHFFFAOYSA-N,OCNT-0022303,5.206108255,0.418897166818242,0.44212273048805184,0.44212273048805184,0,0
HRRBJVNMSRJFHQ-UHFFFAOYSA-N,OCNT-0022315,5.916376775,0.15658568750612079,1.182764287956718,1.182764287956718,0,0
PNCPYILNMDWPEY-QGZVFWFLSA-N,OCNT-0022317,4.51168127,0.780492063836936,0.23729127785991658,0.23729127785991658,0,0
NNTMZAGJQBDZRO-UHFFFAOYSA-N,OCNT-0283087,5.723180218,0.21496519040588388,0.8615532535183931,0.8615532535183931,0,0
JWHAUXFOSRPERK-UHFFFAOYSA-N,OCNT-0381046,6.27227232,0.08741205700058427,2.1187461494717166,2.1187461494717166,0,0
GPKJTRJOBQGKQK-UHFFFAOYSA-N,OCNT-0476550,6.336989297,0.07723873677237478,2.3978118613357515,2.3978118613357515,0,0
RBTBFTRPCNLSDE-UHFFFAOYSA-N,OCNT-0476578,4.493955152,0.7765108644137398,0.23850787886556843,0.23850787886556843,0,0
GDLIGKIOYRNHDA-UHFFFAOYSA-N,OCNT-0477348,5.106191628,0.45193268464205677,0.40980430378492494,0.40980430378492494,0,0
OFAIGZWCDGNZGT-UHFFFAOYSA-N,OCNT-0477587,5.183893105,0.42658345643814943,0.43415645026131705,0.43415645026131705,0,0
HCYAFALTSJYZDH-UHFFFAOYSA-N,OCNT-0478484,4.793473192,0.6120964278588554,0.3025731743530068,0.3025731743530068,0,0
YLJREFDVOIBQDA-UHFFFAOYSA-N,OCNT-0478585,4.753511095,0.6460044763684447,0.2866914486855044,0.2866914486855044,0,0
QXKHYNVANLEOEG-UHFFFAOYSA-N,OCNT-0483505,4.495205617,0.7768810767509094,0.23839422111033326,0.23839422111033326,0,0
BRZANEXCSZCZCI-UHFFFAOYSA-N,OCNT-0493664,4.995767028,0.4898304751376717,0.37809807390064226,0.37809807390064226,0,0
