isoform,combo,repeat,fold,ST-RAE,R2
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,0,0,0.7611149285050767,0.29908828766094575
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,0,1,0.8391098533887082,0.22506547205234423
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,0,2,0.7785110787827375,0.28642368369936627
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,0,3,0.7540693257644285,0.32248321232250676
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,0,4,0.8303695214510185,0.2088376438395904
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,1,0,0.831843222475592,0.23834368284218554
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,1,1,0.8507187799269916,0.24765074306266738
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,1,2,0.7622673711601451,0.26783720696492597
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,1,3,0.8514124590208018,0.24241069400033713
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,1,4,0.8121397646823371,0.27080941172252637
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,2,0,0.7845351918029602,0.29684840313365385
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,2,1,0.8030446264070632,0.2553960314875516
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,2,2,0.8433929466462221,0.2811370926525339
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,2,3,0.8878536511428761,0.195016779875375
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,2,4,0.7512881477494424,0.279285928179541
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,3,0,0.776685322279673,0.27688843931542795
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,3,1,0.842145769581563,0.21004984750081385
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,3,2,0.8538851786213577,0.24906180422892002
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,3,3,0.8113631918177059,0.2438843880857025
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,3,4,0.7707854907807186,0.2726857619224483
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,4,0,0.8292006115703021,0.2475654812132389
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,4,1,0.8366806801944661,0.1483103875649131
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,4,2,0.7616175237529742,0.2971592534888727
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,4,3,0.7588801911913149,0.2742868490996399
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,4,4,0.8348869106334598,0.2730191151476468
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,0,0,0.7717140299757579,0.2942322442661054
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,0,1,0.8517723751327108,0.22505948940187245
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,0,2,0.792667860615095,0.28027301905082475
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,0,3,0.7735639669509027,0.3037978156648961
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,0,4,0.8165589057634943,0.21605924048452962
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,1,0,0.85522851799748,0.23832249345819775
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,1,1,0.8586970548508119,0.25864501915473626
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,1,2,0.7737802601046864,0.2636427644613644
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,1,3,0.8759335097672565,0.24005860437886978
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,1,4,0.8295326726402432,0.2542511005530999
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,2,0,0.7681571749349344,0.31602393702922404
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,2,1,0.8024184135011443,0.27519257042074885
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,2,2,0.8548274272498085,0.27976072177026784
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,2,3,0.9081456437940714,0.1721629395941046
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,2,4,0.7523908015128808,0.2979891491547351
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,3,0,0.7835613890018244,0.28142658799133585
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,3,1,0.855323917006817,0.19481730041483428
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,3,2,0.8480982838913245,0.257955820896319
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,3,3,0.8026783942633813,0.258593568362087
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,3,4,0.7670635214528235,0.2693993715251404
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,4,0,0.8272904301816324,0.2650736131836448
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,4,1,0.8476776499049566,0.14286551779621398
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,4,2,0.791342370706139,0.26728236543030676
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,4,3,0.762661398061371,0.29266713915897546
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,4,4,0.8473362583869363,0.2557788138608024
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,0,0,0.7730635485748183,0.2917131226491809
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,0,1,0.8285530328297815,0.2377627545920484
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,0,2,0.7713464493834782,0.28731787127637726
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,0,3,0.7820266058960816,0.2774530753865618
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,0,4,0.8295512066298142,0.21633776519880768
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,1,0,0.8403417319438539,0.2380390004649643
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,1,1,0.8534786423526947,0.2610867939309631
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,1,2,0.7831954033237746,0.25537884674359934
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,1,3,0.8542951932978087,0.255960150751633
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,1,4,0.7902909427388247,0.28695958452616865
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,2,0,0.8100739470671359,0.2881470349054067
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,2,1,0.8202263926303658,0.25304726855661935
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,2,2,0.8603809753092149,0.2622982942817353
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,2,3,0.8712378386580517,0.21276119647726022
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,2,4,0.7446156285451169,0.285770882081248
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,3,0,0.7484807411862318,0.31089596718344076
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,3,1,0.8370418745678748,0.22226866688490718
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,3,2,0.8621142523748159,0.248309725523785
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,3,3,0.8313564983293686,0.2389769607942085
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,3,4,0.7766088537512121,0.27445720791789185
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,4,0,0.8221619175571026,0.2624453367194014
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,4,1,0.8264930436572433,0.16336923570561843
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,4,2,0.7510236550558913,0.3195410921721646
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,4,3,0.7619404437358526,0.28157262580979636
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,4,4,0.8544275264997889,0.25977220207035084
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,0,0,0.8080963706454949,0.23443065763727064
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,0,1,0.8817017325344564,0.15548432138294904
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,0,2,0.7939129351850532,0.2529300053664618
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,0,3,0.8178482200611198,0.268927051163951
