isoform,combo,n_members,vs,before_mean,after_mean,delta_mean,shapiro_p,branch,test,p_value,significant
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf+ecfp4_narrow__lightgbm,4,chemprop_chemeleoninit,0.8684589730531901,0.8022097981354902,-0.06624917491770001,0.720651761682337,parametric,paired t-test,6.298245138915644e-09,True
CYP1A2,chemprop_chemeleoninit+chemeleon__rf+ecfp4_narrow__lightgbm,3,chemprop_chemeleoninit,0.8684589730531901,0.8024588870808279,-0.06600008597236227,0.8055824458834432,parametric,paired t-test,3.012048069461497e-09,True
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+chemeleon__rf,3,chemprop_chemeleoninit,0.8684589730531901,0.8035113224816013,-0.06494765057158891,0.7043198609197405,parametric,paired t-test,3.4182413601664294e-09,True
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf+ecfp4_narrow__lightgbm,3,chemprop_chemeleoninit,0.8684589730531901,0.8067713261812456,-0.06168764687194459,0.4583882580550104,parametric,paired t-test,5.2338327395385256e-09,True
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__rf,2,chemprop_chemeleoninit,0.8684589730531901,0.8087120695731974,-0.059746903479992675,0.4300061250557264,parametric,paired t-test,2.801201591611263e-10,True
CYP1A2,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,2,chemprop_chemeleoninit,0.8684589730531901,0.8113730538358479,-0.05708591921734223,0.6255441613472029,parametric,paired t-test,1.9467268061691607e-09,True
CYP1A2,chemprop_chemeleoninit+chemeleon__rf,2,chemprop_chemeleoninit,0.8684589730531901,0.8167368891059393,-0.05172208394725077,0.5285324196044383,parametric,paired t-test,3.5621209054753125e-08,True
CYP1A2,ecfp4_narrow__rf+chemeleon__rf+ecfp4_narrow__lightgbm,3,chemprop_chemeleoninit,0.8684589730531901,0.8287479638972327,-0.03971100915595748,0.5832844195729704,parametric,paired t-test,0.0002082560883757329,True
CYP1A2,chemeleon__rf+ecfp4_narrow__lightgbm,2,chemprop_chemeleoninit,0.8684589730531901,0.834069036538507,-0.03438993651468324,0.6031754410536709,parametric,paired t-test,0.0013039218485532825,True
CYP1A2,ecfp4_narrow__rf+chemeleon__rf,2,chemprop_chemeleoninit,0.8684589730531901,0.8358401233470528,-0.032618849706137334,0.6724862243319665,parametric,paired t-test,0.0017477682901254276,True
CYP1A2,ecfp4_narrow__rf+ecfp4_narrow__lightgbm,2,chemprop_chemeleoninit,0.8684589730531901,0.8501360340282492,-0.018322939024940994,0.32696333226534297,parametric,paired t-test,0.05869463142155085,False
CYP2D6,chemeleon__rf+chemprop_chemeleoninit,2,chemeleon__rf (07 tuned),0.8967697724320937,0.8771515318426046,-0.019618240589489296,0.25851296733663154,parametric,paired t-test,2.7897239996401452e-06,True
CYP2D6,chemeleon__rf+chemeleon__lightgbm+chemprop_chemeleoninit,3,chemeleon__rf (07 tuned),0.8967697724320937,0.8785961846890907,-0.01817358774300309,0.5194222501430228,parametric,paired t-test,1.681905772983869e-06,True
CYP2D6,chemeleon__lightgbm+chemprop_chemeleoninit,2,chemeleon__rf (07 tuned),0.8967697724320937,0.8896811166217815,-0.007088655810312261,0.5432032516909364,parametric,paired t-test,0.12436437280246088,False
CYP2D6,chemeleon__rf+chemeleon__lightgbm,2,chemeleon__rf (07 tuned),0.8967697724320937,0.9019106421753036,0.005140869743209842,0.40179344706000725,parametric,paired t-test,0.03830180684936871,True
CYP2D6,chemeleon__rf+chemprop_chemeleoninit+ecfp4_narrow__lightgbm,3,champion (chemeleon__rf+chemprop_chemeleoninit),0.8771515318426046,0.8769615586471311,-0.0001899731954734918,0.5656510468681524,parametric,paired t-test,0.8930989553913957,False
CYP2D6,chemeleon__rf+chemeleon__lightgbm+chemprop_chemeleoninit+ecfp4_narrow__lightgbm,4,champion (chemeleon__rf+chemprop_chemeleoninit),0.8771515318426046,0.8788175352841375,0.0016660034415331814,0.30596319393324745,parametric,paired t-test,0.3843914578002153,False
CYP2D6,chemeleon__lightgbm+chemprop_chemeleoninit+ecfp4_narrow__lightgbm,3,champion (chemeleon__rf+chemprop_chemeleoninit),0.8771515318426046,0.8857433138885091,0.00859178204590473,0.5532651274874754,parametric,paired t-test,0.0004569912739776965,True
CYP2D6,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,2,champion (chemeleon__rf+chemprop_chemeleoninit),0.8771515318426046,0.8950223541495745,0.017870822306970135,0.54517035320217,parametric,paired t-test,9.01179431511501e-08,True
CYP2D6,chemeleon__rf+chemeleon__lightgbm+ecfp4_narrow__lightgbm,3,champion (chemeleon__rf+chemprop_chemeleoninit),0.8771515318426046,0.895514375011481,0.01836284316887652,0.17463596000841364,parametric,paired t-test,3.61624495762825e-06,True
CYP2D6,chemeleon__rf+ecfp4_narrow__lightgbm,2,champion (chemeleon__rf+chemprop_chemeleoninit),0.8771515318426046,0.8957124257877908,0.01856089394518637,0.14846204477170452,parametric,paired t-test,1.3856462567956566e-06,True
CYP2D6,chemeleon__lightgbm+ecfp4_narrow__lightgbm,2,champion (chemeleon__rf+chemprop_chemeleoninit),0.8771515318426046,0.9112654150603804,0.034113883217775934,0.7312434615396015,parametric,paired t-test,1.696407624597885e-10,True
CYP3A4,chemprop_chemeleoninit+ecfp4_narrow__lightgbm,2,chemprop_chemeleoninit,0.5460557792815692,0.5029007767184465,-0.043155002563122775,0.14106616258802102,parametric,paired t-test,2.027235058846894e-07,True
