,chemeleon__lightgbm,chemeleon__rf,chemeleon__xgboost,chemprop_chemeleoninit,chemprop_randominit,ecfp4_narrow__lightgbm,ecfp4_narrow__rf,ecfp4_narrow__xgboost,mordred_pca__lightgbm,mordred_pca__rf,mordred_pca__xgboost
chemeleon__lightgbm,1.0,0.9638703123384951,0.923934418501064,0.8674090930751301,0.8405489656138633,0.908450547232682,0.9107930388291973,0.8920055639820695,0.9199003936610185,0.9257616572564947,0.8890930260304611
chemeleon__rf,0.9638703123384951,1.0,0.9290241536141375,0.8779503557131111,0.8506818895233523,0.9174898217775156,0.9263353393831761,0.9014900984681408,0.93174517652367,0.9460485041215532,0.9040728232980463
chemeleon__xgboost,0.923934418501064,0.9290241536141375,1.0,0.8280973669417947,0.8035030363000119,0.873630246947353,0.8784137554686032,0.8608388735885103,0.8906563707347267,0.8984252016076674,0.8635019158230908
chemprop_chemeleoninit,0.8674090930751301,0.8779503557131111,0.8280973669417947,1.0,0.8747404444863612,0.8618805728282981,0.8672339893790341,0.8365719328745489,0.8367591062634161,0.844657838370535,0.8050733926814665
chemprop_randominit,0.8405489656138633,0.8506818895233523,0.8035030363000119,0.8747404444863612,1.0,0.842485899511439,0.8407894668362155,0.8174851887722752,0.817956659026257,0.8223986637593371,0.7930554642128789
ecfp4_narrow__lightgbm,0.908450547232682,0.9174898217775156,0.873630246947353,0.8618805728282981,0.842485899511439,1.0,0.9584102195292447,0.9458594723028273,0.8932517733221178,0.8992856853658275,0.8672429399992798
ecfp4_narrow__rf,0.9107930388291973,0.9263353393831761,0.8784137554686032,0.8672339893790341,0.8407894668362155,0.9584102195292447,1.0,0.9465996721812009,0.8994199386966757,0.9062047418813198,0.872479381893616
ecfp4_narrow__xgboost,0.8920055639820695,0.9014900984681408,0.8608388735885103,0.8365719328745489,0.8174851887722752,0.9458594723028273,0.9465996721812009,1.0,0.885922745538153,0.8883292872317307,0.8593248610977271
mordred_pca__lightgbm,0.9199003936610185,0.93174517652367,0.8906563707347267,0.8367591062634161,0.817956659026257,0.8932517733221178,0.8994199386966757,0.885922745538153,1.0,0.9627574540438076,0.9395192520674436
mordred_pca__rf,0.9257616572564947,0.9460485041215532,0.8984252016076674,0.844657838370535,0.8223986637593371,0.8992856853658275,0.9062047418813198,0.8883292872317307,0.9627574540438076,1.0,0.9356178754014065
mordred_pca__xgboost,0.8890930260304611,0.9040728232980463,0.8635019158230908,0.8050733926814665,0.7930554642128789,0.8672429399992798,0.872479381893616,0.8593248610977271,0.9395192520674436,0.9356178754014065,1.0
