isoform,k,mean_ST-RAE,members_included
CYP1A2,1,0.8684779874322308,ecfp4_narrow__rf
CYP1A2,2,0.8095805043208791,ecfp4_narrow__rf+chemprop_chemeleoninit
CYP1A2,3,0.804007476531592,ecfp4_narrow__rf+chemprop_chemeleoninit+chemeleon__rf
CYP1A2,4,0.7975023445200669,ecfp4_narrow__rf+chemprop_chemeleoninit+chemeleon__rf+chemprop_randominit
CYP1A2,5,0.7958561805337374,ecfp4_narrow__rf+chemprop_chemeleoninit+chemeleon__rf+chemprop_randominit+ecfp4_narrow__lightgbm
CYP1A2,6,0.7952384379692571,ecfp4_narrow__rf+chemprop_chemeleoninit+chemeleon__rf+chemprop_randominit+ecfp4_narrow__lightgbm+mordred_pca__lightgbm
CYP1A2,7,0.7958799201923408,ecfp4_narrow__rf+chemprop_chemeleoninit+chemeleon__rf+chemprop_randominit+ecfp4_narrow__lightgbm+mordred_pca__lightgbm+chemeleon__lightgbm
CYP1A2,8,0.7963438187567828,ecfp4_narrow__rf+chemprop_chemeleoninit+chemeleon__rf+chemprop_randominit+ecfp4_narrow__lightgbm+mordred_pca__lightgbm+chemeleon__lightgbm+ecfp4_narrow__xgboost
CYP1A2,9,0.7968312828376831,ecfp4_narrow__rf+chemprop_chemeleoninit+chemeleon__rf+chemprop_randominit+ecfp4_narrow__lightgbm+mordred_pca__lightgbm+chemeleon__lightgbm+ecfp4_narrow__xgboost+chemeleon__xgboost
CYP1A2,10,0.7972680447238488,ecfp4_narrow__rf+chemprop_chemeleoninit+chemeleon__rf+chemprop_randominit+ecfp4_narrow__lightgbm+mordred_pca__lightgbm+chemeleon__lightgbm+ecfp4_narrow__xgboost+chemeleon__xgboost+mordred_pca__xgboost
CYP2C9,1,0.67869131237916,chemprop_chemeleoninit
CYP2C9,2,0.6337942987532993,chemprop_chemeleoninit+ecfp4_narrow__rf
CYP2C9,3,0.6169186417646875,chemprop_chemeleoninit+ecfp4_narrow__rf+chemprop_randominit
CYP2C9,4,0.6232588030810728,chemprop_chemeleoninit+ecfp4_narrow__rf+chemprop_randominit+ecfp4_narrow__lightgbm
