isoform,family_a,family_b,pair_type,mean_residual_corr
CYP1A2,chemeleon,chemeleon,within,0.9389429614845656
CYP1A2,chemeleon,chemprop_graph,cross,0.844698451194544
CYP1A2,chemeleon,ecfp4_narrow,cross,0.8966052539641386
CYP1A2,chemeleon,mordred_pca,cross,0.9076894521174145
CYP1A2,chemprop_graph,chemprop_graph,within,0.8747404444863612
CYP1A2,chemprop_graph,ecfp4_narrow,cross,0.8444078417003018
CYP1A2,chemprop_graph,mordred_pca,cross,0.8199835207189817
CYP1A2,ecfp4_narrow,ecfp4_narrow,within,0.9502897880044244
CYP1A2,ecfp4_narrow,mordred_pca,cross,0.8857179283362719
CYP1A2,mordred_pca,mordred_pca,within,0.9459648605042191
CYP3A4,chemeleon,chemeleon,within,0.9070010668749723
CYP3A4,chemeleon,chemprop_graph,cross,0.7536768748369623
CYP3A4,chemeleon,ecfp4_narrow,cross,0.7721369991590601
CYP3A4,chemeleon,mordred_pca,cross,0.8364189102757832
CYP3A4,chemprop_graph,chemprop_graph,within,0.7844770654936482
CYP3A4,chemprop_graph,ecfp4_narrow,cross,0.7354032575216731
CYP3A4,chemprop_graph,mordred_pca,cross,0.7066060041276199
CYP3A4,ecfp4_narrow,ecfp4_narrow,within,0.9233607561418572
CYP3A4,ecfp4_narrow,mordred_pca,cross,0.7663204482100903
CYP3A4,mordred_pca,mordred_pca,within,0.9080293003371175
