isoform,config,weight
CYP1A2,chemeleon__lightgbm,0.0
CYP1A2,chemeleon__rf,0.17073170731707316
CYP1A2,chemeleon__xgboost,0.0
CYP1A2,chemprop_chemeleoninit,0.18292682926829268
CYP1A2,chemprop_randominit,0.17073170731707316
CYP1A2,ecfp4_narrow__lightgbm,0.14634146341463414
CYP1A2,ecfp4_narrow__rf,0.24390243902439024
CYP1A2,ecfp4_narrow__xgboost,0.0
CYP1A2,mordred_pca__lightgbm,0.08536585365853658
CYP1A2,mordred_pca__rf,0.0
CYP1A2,mordred_pca__xgboost,0.0
CYP2C9,chemeleon__lightgbm,0.0
CYP2C9,chemeleon__rf,0.0
CYP2C9,chemeleon__xgboost,0.0
CYP2C9,chemprop_chemeleoninit,0.3877551020408163
CYP2C9,chemprop_randominit,0.22448979591836732
CYP2C9,ecfp4_narrow__lightgbm,0.0
CYP2C9,ecfp4_narrow__rf,0.3877551020408163
CYP2C9,ecfp4_narrow__xgboost,0.0
CYP2C9,mordred_pca__lightgbm,0.0
CYP2C9,mordred_pca__rf,0.0
CYP2C9,mordred_pca__xgboost,0.0
CYP2D6,chemeleon__lightgbm,0.1272727272727273
CYP2D6,chemeleon__rf,0.2545454545454546
CYP2D6,chemeleon__xgboost,0.0
CYP2D6,chemprop_chemeleoninit,0.1
CYP2D6,chemprop_randominit,0.08181818181818183
CYP2D6,ecfp4_narrow__lightgbm,0.09090909090909091
CYP2D6,ecfp4_narrow__rf,0.14545454545454545
CYP2D6,ecfp4_narrow__xgboost,0.08181818181818183
CYP2D6,mordred_pca__lightgbm,0.11818181818181818
CYP2D6,mordred_pca__rf,0.0
CYP2D6,mordred_pca__xgboost,0.0
CYP3A4,chemeleon__lightgbm,0.15714285714285714
CYP3A4,chemeleon__rf,0.0
CYP3A4,chemeleon__xgboost,0.0
CYP3A4,chemprop_chemeleoninit,0.2571428571428571
CYP3A4,chemprop_randominit,0.14285714285714285
CYP3A4,ecfp4_narrow__lightgbm,0.21428571428571427
CYP3A4,ecfp4_narrow__rf,0.22857142857142856
CYP3A4,ecfp4_narrow__xgboost,0.0
CYP3A4,mordred_pca__lightgbm,0.0
CYP3A4,mordred_pca__rf,0.0
CYP3A4,mordred_pca__xgboost,0.0
