config,isoform,source,blind_pred_file
chemeleon__lightgbm,CYP1A2,trained_fresh,chemeleon__lightgbm.csv
chemeleon__rf,CYP1A2,reused_from_10,chemeleon__rf.csv
chemeleon__xgboost,CYP1A2,trained_fresh,chemeleon__xgboost.csv
chemprop_chemeleoninit,CYP1A2,reused_from_10,chemprop_chemeleoninit.csv
chemprop_randominit,CYP1A2,trained_fresh,chemprop_randominit.csv
ecfp4_narrow__lightgbm,CYP1A2,reused_from_10,ecfp4_narrow__lightgbm.csv
ecfp4_narrow__rf,CYP1A2,reused_from_10,ecfp4_narrow__rf.csv
ecfp4_narrow__xgboost,CYP1A2,trained_fresh,ecfp4_narrow__xgboost.csv
mordred_pca__lightgbm,CYP1A2,trained_fresh,mordred_pca__lightgbm.csv
mordred_pca__xgboost,CYP1A2,trained_fresh,mordred_pca__xgboost.csv
chemeleon__lightgbm,CYP2C9,trained_fresh,chemeleon__lightgbm.csv
chemeleon__rf,CYP2C9,trained_fresh,chemeleon__rf.csv
chemeleon__xgboost,CYP2C9,trained_fresh,chemeleon__xgboost.csv
chemprop_chemeleoninit,CYP2C9,reused_from_10,chemprop_chemeleoninit.csv
chemprop_randominit,CYP2C9,trained_fresh,chemprop_randominit.csv
ecfp4_narrow__lightgbm,CYP2C9,trained_fresh,ecfp4_narrow__lightgbm.csv
ecfp4_narrow__rf,CYP2C9,trained_fresh,ecfp4_narrow__rf.csv
ecfp4_narrow__xgboost,CYP2C9,trained_fresh,ecfp4_narrow__xgboost.csv
mordred_pca__lightgbm,CYP2C9,trained_fresh,mordred_pca__lightgbm.csv
chemeleon__lightgbm,CYP2D6,trained_fresh,chemeleon__lightgbm.csv
chemeleon__rf,CYP2D6,trained_fresh,chemeleon__rf.csv
chemeleon__xgboost,CYP2D6,trained_fresh,chemeleon__xgboost.csv
chemprop_chemeleoninit,CYP2D6,reused_from_10,chemprop_chemeleoninit.csv
chemprop_randominit,CYP2D6,trained_fresh,chemprop_randominit.csv
ecfp4_narrow__lightgbm,CYP2D6,trained_fresh,ecfp4_narrow__lightgbm.csv
ecfp4_narrow__rf,CYP2D6,trained_fresh,ecfp4_narrow__rf.csv
ecfp4_narrow__xgboost,CYP2D6,trained_fresh,ecfp4_narrow__xgboost.csv
mordred_pca__lightgbm,CYP2D6,trained_fresh,mordred_pca__lightgbm.csv
mordred_pca__rf,CYP2D6,trained_fresh,mordred_pca__rf.csv
mordred_pca__xgboost,CYP2D6,trained_fresh,mordred_pca__xgboost.csv
chemeleon__lightgbm,CYP3A4,trained_fresh,chemeleon__lightgbm.csv
chemeleon__rf,CYP3A4,trained_fresh,chemeleon__rf.csv
chemeleon__xgboost,CYP3A4,trained_fresh,chemeleon__xgboost.csv
chemprop_chemeleoninit,CYP3A4,reused_from_10,chemprop_chemeleoninit.csv
chemprop_randominit,CYP3A4,trained_fresh,chemprop_randominit.csv
ecfp4_narrow__lightgbm,CYP3A4,reused_from_10,ecfp4_narrow__lightgbm.csv
ecfp4_narrow__rf,CYP3A4,trained_fresh,ecfp4_narrow__rf.csv
ecfp4_narrow__xgboost,CYP3A4,trained_fresh,ecfp4_narrow__xgboost.csv
mordred_pca__lightgbm,CYP3A4,trained_fresh,mordred_pca__lightgbm.csv
