isoform,Molecule_Name,pred_10c,pred_12,abs_diff
CYP1A2,OCNT-2535134,2.8397472,4.253683856341415,1.413936656341415
CYP1A2,OCNT-2535006,7.2416296,5.90267547196541,1.3389541280345902
CYP1A2,OCNT-2535659,3.8656478,5.163397011596442,1.2977492115964417
CYP1A2,OCNT-2534966,6.442568,5.1981767797870315,1.244391220212968
CYP1A2,OCNT-2535662,3.8387668,5.0742033854673485,1.2354365854673484
CYP2C9,OCNT-2534913,6.8696957,5.556633137275101,1.313062562724899
CYP2C9,OCNT-2534919,6.6864333,5.4215480427153055,1.2648852572846945
CYP2C9,OCNT-2534915,6.6780353,5.447388453731019,1.2306468462689812
CYP2C9,OCNT-2534921,6.747429,5.613891750086735,1.1335372499132657
CYP2C9,OCNT-2535612,5.9246225,4.912558304822449,1.012064195177551
CYP2D6,OCNT-2535284,3.2796326,4.526218410113309,1.246585810113309
CYP2D6,OCNT-2535247,3.01741,4.2510978585057675,1.2336878585057676
CYP2D6,OCNT-2535690,2.9972453,4.226619677429372,1.2293743774293717
CYP2D6,OCNT-2535382,3.0707111,4.262703965670128,1.191992865670128
CYP2D6,OCNT-2535071,3.0380878,4.219210939382023,1.1811231393820232
CYP3A4,OCNT-2535731,7.070097,5.499302785233578,1.5707942147664218
CYP3A4,OCNT-2534822,5.2436423,3.9437060929453303,1.29993620705467
CYP3A4,OCNT-2535736,6.553572,5.262188388538951,1.2913836114610486
CYP3A4,OCNT-2535732,6.811181,5.547543289418828,1.2636377105811727
CYP3A4,OCNT-2535738,5.5887036,4.4148172154639,1.1738863845360994
