,chemeleon__lightgbm,chemeleon__rf,chemeleon__xgboost,chemprop_chemeleoninit,chemprop_randominit,ecfp4_narrow__lightgbm,ecfp4_narrow__rf,ecfp4_narrow__xgboost,mordred_pca__lightgbm,mordred_pca__rf,mordred_pca__xgboost,charge_avg,baseline_avg
chemeleon__lightgbm,1.0,0.8426052744361405,0.7142185213397418,0.7197198658313231,0.6215242043195824,0.6373320103135133,0.6397873752216872,0.6007962568775518,0.5531974329442745,0.6518959245431577,0.5323387008360644,0.723392689456573,0.7324365955226568
chemeleon__rf,0.8426052744361405,1.0,0.7630634509428902,0.7638254222563368,0.6594863976769288,0.6538847006455756,0.6855750171510544,0.6155746392657055,0.5818228856333362,0.6855716246512623,0.5399808892627374,0.7833640063483684,0.7862294805286357
chemeleon__xgboost,0.7142185213397418,0.7630634509428902,1.0,0.5972797252667469,0.4800005872000169,0.474173591567584,0.4878843839041148,0.46237931604608656,0.46535103369703,0.5561364628576505,0.46609207699492583,0.6146718238437885,0.6088959666589296
chemprop_chemeleoninit,0.7197198658313231,0.7638254222563368,0.5972797252667469,1.0,0.7320301503175953,0.6958362538434344,0.6988130827497486,0.6395078172700479,0.5758658273700396,0.6198206559675021,0.5197920842036127,0.9427466968748058,0.9701750749806735
chemprop_randominit,0.6215242043195824,0.6594863976769288,0.4800005872000169,0.7320301503175953,1.0,0.6056577674291028,0.6197575323283058,0.5738682996089107,0.4765861876465039,0.5734865666953857,0.4757360166743456,0.717911077495044,0.7370854624692846
ecfp4_narrow__lightgbm,0.6373320103135133,0.6538847006455756,0.474173591567584,0.6958362538434344,0.6056577674291028,1.0,0.8845082644750955,0.8641029322540417,0.42304346391712816,0.535668666035585,0.4484632932324524,0.6732982557777476,0.6984043967742268
ecfp4_narrow__rf,0.6397873752216872,0.6855750171510544,0.4878843839041148,0.6988130827497486,0.6197575323283058,0.8845082644750955,1.0,0.8589360254823928,0.4664852416308803,0.5600750743407493,0.46532632874240176,0.714084301560087,0.722390701125807
ecfp4_narrow__xgboost,0.6007962568775518,0.6155746392657055,0.46237931604608656,0.6395078172700479,0.5738682996089107,0.8641029322540417,0.8589360254823928,1.0,0.3913116174281153,0.4994963065572088,0.4530722953014294,0.6364602541804772,0.6504590422641978
mordred_pca__lightgbm,0.5531974329442745,0.5818228856333362,0.46535103369703,0.5758658273700396,0.4765861876465039,0.42304346391712816,0.4664852416308803,0.3913116174281153,1.0,0.7507682535342108,0.681780756291261,0.6101895956705712,0.5916994824133976
mordred_pca__rf,0.6518959245431577,0.6855716246512623,0.5561364628576505,0.6198206559675021,0.5734865666953857,0.535668666035585,0.5600750743407493,0.4994963065572088,0.7507682535342108,1.0,0.688588844882729,0.6627235396665766,0.6465950816892554
mordred_pca__xgboost,0.5323387008360644,0.5399808892627374,0.46609207699492583,0.5197920842036127,0.4757360166743456,0.4484632932324524,0.46532632874240176,0.4530722953014294,0.681780756291261,0.688588844882729,1.0,0.5472352320146072,0.545959214249015
charge_avg,0.723392689456573,0.7833640063483684,0.6146718238437885,0.9427466968748058,0.717911077495044,0.6732982557777476,0.714084301560087,0.6364602541804772,0.6101895956705712,0.6627235396665766,0.5472352320146072,1.0,0.9833994060923947
baseline_avg,0.7324365955226568,0.7862294805286357,0.6088959666589296,0.9701750749806735,0.7370854624692846,0.6984043967742268,0.722390701125807,0.6504590422641978,0.5916994824133976,0.6465950816892554,0.545959214249015,0.9833994060923947,1.0
