,chemeleon__lightgbm,chemeleon__rf,chemeleon__xgboost,chemprop_chemeleoninit,chemprop_randominit,ecfp4_narrow__lightgbm,ecfp4_narrow__rf,ecfp4_narrow__xgboost,mordred_pca__lightgbm,mordred_pca__rf,mordred_pca__xgboost,charge_avg,baseline_avg
chemeleon__lightgbm,1.0,0.843247204954334,0.6455847748386594,0.7260497466451162,0.6882130303260018,0.4660830712661513,0.4420651420434756,0.35539855519444713,0.4806527091315059,0.5704624200360754,0.3963363217592368,0.6948982469463569,0.7230357857737045
chemeleon__rf,0.843247204954334,1.0,0.6670635603713276,0.7835397209651285,0.7823519024095094,0.49104824116842427,0.4971561591606747,0.40722657348410884,0.523948187499491,0.6191792617255739,0.3845266460146814,0.771171374946007,0.7977218434584211
chemeleon__xgboost,0.6455847748386594,0.6670635603713276,1.0,0.49920901341340795,0.5123564412189731,0.3210420452833927,0.29584771870738563,0.2592608501005972,0.3725113285777732,0.4046760571359097,0.28570400515643846,0.5054216374627293,0.5087586287254096
chemprop_chemeleoninit,0.7260497466451162,0.7835397209651285,0.49920901341340795,1.0,0.7983409569173546,0.5383965056199733,0.5308740427866958,0.4730170639017227,0.5940816774592056,0.6451820689442,0.40923444027518224,0.8625336376516631,0.9230964014581351
chemprop_randominit,0.6882130303260018,0.7823519024095094,0.5123564412189731,0.7983409569173546,1.0,0.5775902324024113,0.531502244178445,0.5025039429318553,0.5319185495856559,0.5734919572527171,0.41615972314005206,0.7582351485628023,0.7797430756507144
ecfp4_narrow__lightgbm,0.4660830712661513,0.49104824116842427,0.3210420452833927,0.5383965056199733,0.5775902324024113,1.0,0.7032459534069643,0.6889977857360232,0.3508573690657485,0.3909746704289019,0.33620596301920896,0.6075199455384315,0.5782865270755201
ecfp4_narrow__rf,0.4420651420434756,0.4971561591606747,0.29584771870738563,0.5308740427866958,0.531502244178445,0.7032459534069643,1.0,0.6759468834566759,0.32531051048134285,0.39982167740369434,0.25260566056580025,0.6166403211432288,0.6180648859257672
ecfp4_narrow__xgboost,0.35539855519444713,0.40722657348410884,0.2592608501005972,0.4730170639017227,0.5025039429318553,0.6889977857360232,0.6759468834566759,1.0,0.3693504803982238,0.339718991342412,0.3029697978001793,0.5615061149915707,0.5451555081216564
mordred_pca__lightgbm,0.4806527091315059,0.523948187499491,0.3725113285777732,0.5940816774592056,0.5319185495856559,0.3508573690657485,0.32531051048134285,0.3693504803982238,1.0,0.6480778404252533,0.5224794724563494,0.5550839175987329,0.5878390820147772
mordred_pca__rf,0.5704624200360754,0.6191792617255739,0.4046760571359097,0.6451820689442,0.5734919572527171,0.3909746704289019,0.39982167740369434,0.339718991342412,0.6480778404252533,1.0,0.45417552907527103,0.6100130370913337,0.6595824544960959
mordred_pca__xgboost,0.3963363217592368,0.3845266460146814,0.28570400515643846,0.40923444027518224,0.41615972314005206,0.33620596301920896,0.25260566056580025,0.3029697978001793,0.5224794724563494,0.45417552907527103,1.0,0.4040802866760977,0.40878587441873626
charge_avg,0.6948982469463569,0.771171374946007,0.5054216374627293,0.8625336376516631,0.7582351485628023,0.6075199455384315,0.6166403211432288,0.5615061149915707,0.5550839175987329,0.6100130370913337,0.4040802866760977,1.0,0.9633093251056657
baseline_avg,0.7230357857737045,0.7977218434584211,0.5087586287254096,0.9230964014581351,0.7797430756507144,0.5782865270755201,0.6180648859257672,0.5451555081216564,0.5878390820147772,0.6595824544960959,0.40878587441873626,0.9633093251056657,1.0
