,chemeleon__lightgbm,chemeleon__rf,chemeleon__xgboost,chemprop_chemeleoninit,chemprop_randominit,ecfp4_narrow__lightgbm,ecfp4_narrow__rf,ecfp4_narrow__xgboost,mordred_pca__lightgbm,mordred_pca__rf,mordred_pca__xgboost,charge_avg,baseline_avg
chemeleon__lightgbm,1.0,0.9171253231172318,0.8645804043933407,0.8156081578756771,0.7926710414786239,0.8071658966050684,0.7871006908367295,0.7923537598716619,0.8010418795369787,0.7830530390412137,0.6865995882894059,0.8551167025293688,0.8504585257967565
chemeleon__rf,0.9171253231172318,1.0,0.8444506260059788,0.7896589794300537,0.7872628205034738,0.790245891738955,0.7776638963106663,0.7840272349165239,0.7986704737778937,0.8029135866272649,0.6802811051206272,0.8332755550089131,0.8311748250925292
chemeleon__xgboost,0.8645804043933407,0.8444506260059788,1.0,0.7497995171710621,0.7410131407032893,0.7555504818617935,0.7361214397450264,0.743209597522742,0.7300063483632206,0.7152782519203452,0.6419557701333151,0.7962849509147142,0.7861324181553079
chemprop_chemeleoninit,0.8156081578756771,0.7896589794300537,0.7497995171710621,1.0,0.7951948005150323,0.8332720315605454,0.7833361580843005,0.8036582917922865,0.7542906361855114,0.7344341786657317,0.6435694181908106,0.9537829120100145,0.9752160101761299
chemprop_randominit,0.7926710414786239,0.7872628205034738,0.7410131407032893,0.7951948005150323,1.0,0.7827455463122786,0.7589282586143131,0.7540662817061151,0.7181675462706882,0.7029661956462939,0.6272085562976926,0.8383176179678504,0.8369656462180991
ecfp4_narrow__lightgbm,0.8071658966050684,0.790245891738955,0.7555504818617935,0.8332720315605454,0.7827455463122786,1.0,0.923820458163078,0.9262496592369099,0.7680134319802903,0.7629071879675847,0.6787913845229636,0.8507071417097192,0.8577957735629699
ecfp4_narrow__rf,0.7871006908367295,0.7776638963106663,0.7361214397450264,0.7833361580843005,0.7589282586143131,0.923820458163078,1.0,0.9274942133026451,0.7507523457662266,0.741018894771395,0.6886516603951457,0.8021226135117099,0.8052081355993409
ecfp4_narrow__xgboost,0.7923537598716619,0.7840272349165239,0.743209597522742,0.8036582917922865,0.7540662817061151,0.9262496592369099,0.9274942133026451,1.0,0.755953178659298,0.7457649498208487,0.6922201744938108,0.8217063957376634,0.824844063685923
mordred_pca__lightgbm,0.8010418795369787,0.7986704737778937,0.7300063483632206,0.7542906361855114,0.7181675462706882,0.7680134319802903,0.7507523457662266,0.755953178659298,1.0,0.8577898105249079,0.7828978890567663,0.7742282968508658,0.7788005390517301
mordred_pca__rf,0.7830530390412137,0.8029135866272649,0.7152782519203452,0.7344341786657317,0.7029661956462939,0.7629071879675847,0.741018894771395,0.7457649498208487,0.8577898105249079,1.0,0.7757808842483718,0.7593120948542741,0.7634785041160128
mordred_pca__xgboost,0.6865995882894059,0.6802811051206272,0.6419557701333151,0.6435694181908106,0.6272085562976926,0.6787913845229636,0.6886516603951457,0.6922201744938108,0.7828978890567663,0.7757808842483718,1.0,0.6738516286113646,0.6769712695448438
charge_avg,0.8551167025293688,0.8332755550089131,0.7962849509147142,0.9537829120100145,0.8383176179678504,0.8507071417097192,0.8021226135117099,0.8217063957376634,0.7742282968508658,0.7593120948542741,0.6738516286113646,1.0,0.9898892927067374
baseline_avg,0.8504585257967565,0.8311748250925292,0.7861324181553079,0.9752160101761299,0.8369656462180991,0.8577957735629699,0.8052081355993409,0.824844063685923,0.7788005390517301,0.7634785041160128,0.6769712695448438,0.9898892927067374,1.0
