seed_pair,isoform,pearson_r,mean_abs_diff
2684470948_vs_4091952314,CYP1A2,0.8805613410164083,0.26061340040774716
2684470948_vs_4091952314,CYP2C9,0.9238038064627435,0.18773357003058103
2684470948_vs_4091952314,CYP2D6,0.7772856678040013,0.26112454556574916
2684470948_vs_4091952314,CYP3A4,0.9167972695187863,0.2676523462996942
2684470948_vs_233227757,CYP1A2,0.9010229520658929,0.3201396495412844
2684470948_vs_233227757,CYP2C9,0.9176527477932704,0.1957481755351682
2684470948_vs_233227757,CYP2D6,0.8727897552065667,0.20259055688073394
2684470948_vs_233227757,CYP3A4,0.9125516970945636,0.27506023940876656
4091952314_vs_233227757,CYP1A2,0.8329529705190553,0.36711164913353717
4091952314_vs_233227757,CYP2C9,0.8879315520647777,0.21274879673802244
4091952314_vs_233227757,CYP2D6,0.7999330776400186,0.2717875334352702
4091952314_vs_233227757,CYP3A4,0.9012939109221977,0.2884196728440367
