arm,seed,isoform,pearson_r_vs_baseline,mean_abs_diff_vs_baseline
residual,2684470948,CYP1A2,0.914035061017284,0.2207897681957187
residual,2684470948,CYP2C9,0.9476153756211644,0.16621569276248727
residual,2684470948,CYP3A4,0.9489735411963975,0.2111258801427115
residual,4091952314,CYP1A2,0.9523537308119143,0.16780692660550459
residual,4091952314,CYP2C9,0.9704179213699614,0.13408898583078493
residual,4091952314,CYP3A4,0.9700576104972399,0.1681534733944954
residual,233227757,CYP1A2,0.986998177537127,0.10469151977573904
residual,233227757,CYP2C9,0.9856634735763977,0.08905296799184506
residual,233227757,CYP3A4,0.9867489977192891,0.12899887455657494
random,2684470948,CYP1A2,0.9135127808413699,0.21974029001019368
random,2684470948,CYP2C9,0.9475677674578633,0.1644188100509684
random,2684470948,CYP3A4,0.942709043746626,0.22298712372069315
random,4091952314,CYP1A2,0.9607477987865716,0.16014455514780837
random,4091952314,CYP2C9,0.9716766657659135,0.13824367400611623
random,4091952314,CYP3A4,0.9713059430240477,0.16285253904179406
random,233227757,CYP1A2,0.9887067616333262,0.0653308
random,233227757,CYP2C9,0.9903205906659821,0.09722017594291536
random,233227757,CYP3A4,0.98991221278449,0.12459538826707442
