arm,seed,Endpoint,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
baseline,2684470948,CYP1A2_pIC50_direct_inhibition,0.7883875412504711,0.6590054097361588,0.2948648621590517,0.5275029724617273,0.3713799188489253
baseline,2684470948,CYP2C9_pIC50_direct_inhibition,0.7113010720512997,0.52776904450625,0.36090086579988867,0.5834375096996,0.4111687371604242
baseline,2684470948,CYP2D6_pIC50_direct_inhibition,0.9580366078313584,0.5985335031988949,0.16496204844362736,0.4170427188170808,0.2829618630421196
baseline,2684470948,CYP3A4_pIC50_direct_inhibition,0.49103534655860465,0.5297021102416467,0.6053608924698222,0.7945810954766308,0.5973362177353275
baseline,2684470948,MA,0.7371901419229334,0.5787525169207376,0.3565221672180975,0.5806410741137598,0.4157116841966991
baseline,4091952314,CYP1A2_pIC50_direct_inhibition,0.8158698069483468,0.6635253306473717,0.27057852693638046,0.5167364613494265,0.36574097172438585
baseline,4091952314,CYP2C9_pIC50_direct_inhibition,0.731189831895177,0.5358816954687046,0.3374840534165438,0.5519617612315888,0.3912865828285169
baseline,4091952314,CYP2D6_pIC50_direct_inhibition,1.023453668786002,0.6314573033714915,0.06297326970426406,0.3803004694743411,0.26019652190461956
baseline,4091952314,CYP3A4_pIC50_direct_inhibition,0.5223382322944639,0.5389039160223177,0.5973721052563747,0.7804556814951489,0.5835257699807911
baseline,4091952314,MA,0.7732128849809974,0.5924420613774715,0.31710198882839075,0.5573635933876263,0.40018746160957835
baseline,233227757,CYP1A2_pIC50_direct_inhibition,0.7943797543304838,0.6764530133771985,0.24576673165552265,0.49794094095330177,0.35236334530607705
baseline,233227757,CYP2C9_pIC50_direct_inhibition,0.7000456897061654,0.5308794451116364,0.3589229192535617,0.5946725114797932,0.4206998323959533
baseline,233227757,CYP2D6_pIC50_direct_inhibition,0.8983340048367363,0.5768592153107661,0.14725734216291853,0.41950013347288073,0.2892397684676602
baseline,233227757,CYP3A4_pIC50_direct_inhibition,0.5535900639637115,0.5690228946003933,0.5720232904483592,0.7637771633356369,0.56779826484046
baseline,233227757,MA,0.7365873782092742,0.5883036420999985,0.3309925708800905,0.5689726873104031,0.4075253027525376
residual,2684470948,CYP1A2_pIC50_direct_inhibition,0.7924126540858879,0.6616820617886209,0.30430267447403203,0.5539303271865647,0.3912725980928354
residual,2684470948,CYP2C9_pIC50_direct_inhibition,0.7329895211282127,0.5398673107435378,0.3530923574134472,0.5742662359746739,0.40655261515572183
residual,2684470948,CYP2D6_pIC50_direct_inhibition,0.9131272197026145,0.5817279219808745,0.14669537484914497,0.42724551121450416,0.29008140339489463
residual,2684470948,CYP3A4_pIC50_direct_inhibition,0.473352433622828,0.5222986931201267,0.6339241670871876,0.7978770139796886,0.602480996931005
residual,2684470948,MA,0.7279704571348857,0.57639399690829,0.359503643455953,0.5883297720888578,0.42259690339361417
residual,4091952314,CYP1A2_pIC50_direct_inhibition,0.7931376557074985,0.6506717652440288,0.2887308763311819,0.5299776526010719,0.3763712448905939
residual,4091952314,CYP2C9_pIC50_direct_inhibition,0.7761765823852247,0.5475317504894469,0.3168275257634733,0.5481645419830999,0.38353498305469624
residual,4091952314,CYP2D6_pIC50_direct_inhibition,0.9328667028007405,0.5925335971285491,0.11281163204411668,0.3971181969040163,0.27053009437225994
residual,4091952314,CYP3A4_pIC50_direct_inhibition,0.4847335448656074,0.5226837644183,0.6137339059384392,0.7852048214801958,0.5897787246914427
residual,4091952314,MA,0.7467286214397677,0.5783552193200813,0.33302598501930275,0.565116303242096,0.40505376175224816
residual,233227757,CYP1A2_pIC50_direct_inhibition,0.7961356292014431,0.6729992991046281,0.2603585569191684,0.4943823037781081,0.3491015784716149
residual,233227757,CYP2C9_pIC50_direct_inhibition,0.7086711236087764,0.5447125454807121,0.32813119472502894,0.5668238413924878,0.3944545967274461
residual,233227757,CYP2D6_pIC50_direct_inhibition,0.9625342497600025,0.6089348731701559,0.09198483239314434,0.43273657431337154,0.3002003069127792
residual,233227757,CYP3A4_pIC50_direct_inhibition,0.5042347390159897,0.5467821705965578,0.5890709291307967,0.7744285529266575,0.5781574477710205
residual,233227757,MA,0.7428939353965529,0.5933572220880134,0.3173863782920346,0.5670928181026562,0.40547848247071516
random,2684470948,CYP1A2_pIC50_direct_inhibition,0.7709314860849348,0.6541659493352274,0.31588844727530646,0.5729337870653632,0.40388012235131066
random,2684470948,CYP2C9_pIC50_direct_inhibition,0.7180763116062562,0.5336940761536364,0.36599363520953965,0.5765540536910561,0.40954387670273595
random,2684470948,CYP2D6_pIC50_direct_inhibition,0.9658477830583275,0.6006528780908204,0.13206846150212168,0.41327175722754705,0.2851245352043462
random,2684470948,CYP3A4_pIC50_direct_inhibition,0.48438020283492733,0.5229380995965355,0.6282887965761402,0.7947737857681795,0.6008500376519609
random,2684470948,MA,0.7348089458961115,0.5778627507940549,0.360559835140777,0.5893833459380364,0.4248496429775884
random,4091952314,CYP1A2_pIC50_direct_inhibition,0.798733326998322,0.6545860470431047,0.277414921801247,0.515571592989812,0.3666378837414051
random,4091952314,CYP2C9_pIC50_direct_inhibition,0.7666609282178064,0.5420538890148257,0.33306259425213247,0.5662974941560776,0.4017710122342091
random,4091952314,CYP2D6_pIC50_direct_inhibition,1.022990731953864,0.6339303689494306,0.08734038878761578,0.4021984281946412,0.2763824298552988
random,4091952314,CYP3A4_pIC50_direct_inhibition,0.5547290221456938,0.5531979940671133,0.5802899106727349,0.7740549510135378,0.5770452398727537
random,4091952314,MA,0.7857785023289214,0.5959420747686186,0.31952695387843255,0.5645306165885171,0.40545914142591666
random,233227757,CYP1A2_pIC50_direct_inhibition,0.8079054065710959,0.6839776722090397,0.23407683297570728,0.4905901117660629,0.34792114046514044
random,233227757,CYP2C9_pIC50_direct_inhibition,0.6906294257680229,0.5357115475935454,0.3427231863379507,0.5854778737963626,0.4134543415280735
random,233227757,CYP2D6_pIC50_direct_inhibition,0.9029164440459059,0.5772715619623525,0.1510686001772576,0.42466357587138226,0.2921006282917629
random,233227757,CYP3A4_pIC50_direct_inhibition,0.522659457095602,0.5570862871891311,0.572749320731615,0.7600979631151552,0.5649060593554349
random,233227757,MA,0.7310276833701567,0.5885117672385172,0.3251544850556326,0.5652073811372408,0.4045955424101029
