arm,seed,isoform,pred_corr_vs_baseline,error_corr_vs_baseline
tdi,2684470948,CYP1A2,0.8881178636457668,0.9336939902321733
tdi,2684470948,CYP2C9,0.9017083797821233,0.9363740761815698
tdi,2684470948,CYP2D6,0.7903908300106124,0.9303976813727116
tdi,2684470948,CYP3A4,0.9370977490027309,0.8942172872761156
tdi,4091952314,CYP1A2,0.8563712756504452,0.9171810821894187
tdi,4091952314,CYP2C9,0.8939896933493877,0.9397660597072506
tdi,4091952314,CYP2D6,0.8218123096765413,0.9337186501610178
tdi,4091952314,CYP3A4,0.9284844509837575,0.8823548517291675
tdi,233227757,CYP1A2,0.8613021905820794,0.9476395763809876
tdi,233227757,CYP2C9,0.9210562326263082,0.9664947089794464
tdi,233227757,CYP2D6,0.9046251035061674,0.9835796128437859
tdi,233227757,CYP3A4,0.9390636629227627,0.925964886921291
tdi_emax,2684470948,CYP1A2,0.9257267385787932,0.9604614818241126
tdi_emax,2684470948,CYP2C9,0.9220737035019406,0.9475278890700828
tdi_emax,2684470948,CYP2D6,0.8206479903637044,0.9493843989487294
tdi_emax,2684470948,CYP3A4,0.9314168085662902,0.885648759023946
tdi_emax,4091952314,CYP1A2,0.9301981607013139,0.9513382251252805
tdi_emax,4091952314,CYP2C9,0.9325022238344048,0.9520697778130476
tdi_emax,4091952314,CYP2D6,0.9016420106724716,0.9607559632344603
tdi_emax,4091952314,CYP3A4,0.9420788113401076,0.9041220989558639
tdi_emax,233227757,CYP1A2,0.9046949725578497,0.9666130829880889
tdi_emax,233227757,CYP2C9,0.9159793611369299,0.9644029242040989
tdi_emax,233227757,CYP2D6,0.9001820669220616,0.9827466821574841
tdi_emax,233227757,CYP3A4,0.9439015713196702,0.930578297789046
