arm,seed,Endpoint,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
baseline,2684470948,CYP1A2_pIC50_direct_inhibition,0.7883875412504711,0.6590054097361588,0.2948648621590517,0.5275029724617273,0.3713799188489253
baseline,2684470948,CYP2C9_pIC50_direct_inhibition,0.7113010720512997,0.52776904450625,0.36090086579988867,0.5834375096996,0.4111687371604242
baseline,2684470948,CYP2D6_pIC50_direct_inhibition,0.9580366078313584,0.5985335031988949,0.16496204844362736,0.4170427188170808,0.2829618630421196
baseline,2684470948,CYP3A4_pIC50_direct_inhibition,0.49103534655860465,0.5297021102416467,0.6053608924698222,0.7945810954766308,0.5973362177353275
baseline,2684470948,MA,0.7371901419229334,0.5787525169207376,0.3565221672180975,0.5806410741137598,0.4157116841966991
baseline,4091952314,CYP1A2_pIC50_direct_inhibition,0.8158698069483468,0.6635253306473717,0.27057852693638046,0.5167364613494265,0.36574097172438585
baseline,4091952314,CYP2C9_pIC50_direct_inhibition,0.731189831895177,0.5358816954687046,0.3374840534165438,0.5519617612315888,0.3912865828285169
baseline,4091952314,CYP2D6_pIC50_direct_inhibition,1.023453668786002,0.6314573033714915,0.06297326970426406,0.3803004694743411,0.26019652190461956
baseline,4091952314,CYP3A4_pIC50_direct_inhibition,0.5223382322944639,0.5389039160223177,0.5973721052563747,0.7804556814951489,0.5835257699807911
baseline,4091952314,MA,0.7732128849809974,0.5924420613774715,0.31710198882839075,0.5573635933876263,0.40018746160957835
baseline,233227757,CYP1A2_pIC50_direct_inhibition,0.7943797543304838,0.6764530133771985,0.24576673165552265,0.49794094095330177,0.35236334530607705
baseline,233227757,CYP2C9_pIC50_direct_inhibition,0.7000456897061654,0.5308794451116364,0.3589229192535617,0.5946725114797932,0.4206998323959533
baseline,233227757,CYP2D6_pIC50_direct_inhibition,0.8983340048367363,0.5768592153107661,0.14725734216291853,0.41950013347288073,0.2892397684676602
baseline,233227757,CYP3A4_pIC50_direct_inhibition,0.5535900639637115,0.5690228946003933,0.5720232904483592,0.7637771633356369,0.56779826484046
baseline,233227757,MA,0.7365873782092742,0.5883036420999985,0.3309925708800905,0.5689726873104031,0.4075253027525376
tdi,2684470948,CYP1A2_pIC50_direct_inhibition,0.7966157747721442,0.6666073862381588,0.2932295694792673,0.5488474029206145,0.3872891270437617
tdi,2684470948,CYP2C9_pIC50_direct_inhibition,0.7093185162160341,0.5341397711842424,0.36071499720343264,0.5636750157026232,0.39972256234672604
tdi,2684470948,CYP2D6_pIC50_direct_inhibition,0.9439111141240578,0.5925685173912542,0.14693116190821073,0.4406690206627655,0.30271814756779647
tdi,2684470948,CYP3A4_pIC50_direct_inhibition,0.4692175478766729,0.5181061759458911,0.626821709243235,0.7901019131735748,0.5974850463201091
tdi,2684470948,MA,0.7297657382472273,0.5778554626898866,0.3569243594585364,0.5858233381148945,0.4218037208195984
tdi,4091952314,CYP1A2_pIC50_direct_inhibition,0.777975389249434,0.6485599311521011,0.2946861446981922,0.5133328755818272,0.36152411590581396
tdi,4091952314,CYP2C9_pIC50_direct_inhibition,0.6711460240049467,0.5253337077770227,0.3487534701650621,0.5845854168862108,0.41914556758877425
tdi,4091952314,CYP2D6_pIC50_direct_inhibition,1.1212959363918527,0.668799185896922,0.0064340941221802655,0.43810352847441786,0.30036800452890977
tdi,4091952314,CYP3A4_pIC50_direct_inhibition,0.5181181630367712,0.53472388730314,0.6021893187505636,0.7949667713110599,0.5979084385058384
tdi,4091952314,MA,0.7721338781707512,0.5943541780322964,0.3130157569339995,0.582747148063379,0.4197365316323341
tdi,233227757,CYP1A2_pIC50_direct_inhibition,0.8190414992719889,0.6803630241552779,0.21033870988169834,0.5069234084782988,0.36184038928432655
tdi,233227757,CYP2C9_pIC50_direct_inhibition,0.6881893334099056,0.5351889187882045,0.3543771550309401,0.5953952192008929,0.4187673494948436
tdi,233227757,CYP2D6_pIC50_direct_inhibition,0.9452617660948517,0.6001254515879594,0.1124603039930358,0.4280229006429883,0.2956135047126887
tdi,233227757,CYP3A4_pIC50_direct_inhibition,0.4554932628147097,0.5528392256676777,0.5685140016997633,0.7858453309134561,0.5865444024968187
tdi,233227757,MA,0.726996465397864,0.5921291550497799,0.3114225426513594,0.579046714808909,0.4156914114971694
tdi_emax,2684470948,CYP1A2_pIC50_direct_inhibition,0.9077240546905742,0.7031972382100578,0.21901899539616448,0.5177222322503242,0.3632957626255983
tdi_emax,2684470948,CYP2C9_pIC50_direct_inhibition,0.6614393718531852,0.5156066940324394,0.38972965661912395,0.5936941919801976,0.4231937863866053
tdi_emax,2684470948,CYP2D6_pIC50_direct_inhibition,0.9158918770584581,0.5834184097466983,0.1638824332177401,0.4372446628308966,0.30155857708132766
tdi_emax,2684470948,CYP3A4_pIC50_direct_inhibition,0.43383270245196853,0.5089650130117223,0.6306950499763999,0.8035206993339661,0.6130339916069428
tdi_emax,2684470948,MA,0.7297220015135465,0.5777968387502295,0.3508315338023571,0.588045446598846,0.4252705294251185
tdi_emax,4091952314,CYP1A2_pIC50_direct_inhibition,0.8274832360209281,0.6657248171178917,0.2773792165021397,0.5196054944729658,0.36582116490570044
tdi_emax,4091952314,CYP2C9_pIC50_direct_inhibition,0.789009499418562,0.5549818757641136,0.328487955372629,0.563461838751101,0.397684841520461
tdi_emax,4091952314,CYP2D6_pIC50_direct_inhibition,0.9780146870978662,0.6134875882763796,0.12230359022758715,0.42852714735892466,0.29424978679749614
tdi_emax,4091952314,CYP3A4_pIC50_direct_inhibition,0.4856306904760665,0.5188498583392422,0.6206568506810631,0.795521731947959,0.6035743032298002
tdi_emax,4091952314,MA,0.7700345282533557,0.5882610348744067,0.3372069031958547,0.5767790531327377,0.41533252411336447
tdi_emax,233227757,CYP1A2_pIC50_direct_inhibition,0.8131108155404881,0.6782559952574946,0.23969004375021222,0.5035846534926897,0.35684931083373717
tdi_emax,233227757,CYP2C9_pIC50_direct_inhibition,0.716155645600744,0.5393611207949621,0.34023199957543415,0.5836988776589086,0.41029913458924266
tdi_emax,233227757,CYP2D6_pIC50_direct_inhibition,0.9629117189758215,0.6094168724653153,0.10195531852167793,0.430115434649502,0.2982154724752158
tdi_emax,233227757,CYP3A4_pIC50_direct_inhibition,0.4501599923206286,0.5299180575332556,0.6032586145196761,0.7959242930071373,0.5976718489523298
tdi_emax,233227757,MA,0.7355845431094206,0.5892380115127569,0.3212839940917501,0.5783308147020595,0.4157589417126314
