isoform,combiner,repeat,fold,config,coefficient
CYP1A2,ridge,0,0,chemeleon__lightgbm,0.015059656318205257
CYP1A2,ridge,0,0,chemeleon__rf,0.17726280279213066
CYP1A2,ridge,0,0,chemeleon__xgboost,-0.008536799268657216
CYP1A2,ridge,0,0,chemprop_chemeleoninit,0.3679758309979526
CYP1A2,ridge,0,0,chemprop_randominit,0.15381962785312348
CYP1A2,ridge,0,0,ecfp4_narrow__lightgbm,0.1734735795408027
CYP1A2,ridge,0,0,ecfp4_narrow__rf,0.10046836564167656
CYP1A2,ridge,0,0,ecfp4_narrow__xgboost,0.05145851613640441
CYP1A2,ridge,0,0,mordred_pca__lightgbm,0.0962459634209968
CYP1A2,ridge,0,0,mordred_pca__rf,0.05639569193499037
CYP1A2,ridge,0,0,mordred_pca__xgboost,-0.0035440858138796063
CYP1A2,ridge,0,0,__intercept__,-0.8948343668176584
CYP1A2,elastic_net,0,0,chemeleon__lightgbm,0.01254411548876206
CYP1A2,elastic_net,0,0,chemeleon__rf,0.16968524160661344
CYP1A2,elastic_net,0,0,chemeleon__xgboost,0.0
CYP1A2,elastic_net,0,0,chemprop_chemeleoninit,0.36901806218927474
CYP1A2,elastic_net,0,0,chemprop_randominit,0.15520891091154743
CYP1A2,elastic_net,0,0,ecfp4_narrow__lightgbm,0.17084180335266919
CYP1A2,elastic_net,0,0,ecfp4_narrow__rf,0.09921629889433024
CYP1A2,elastic_net,0,0,ecfp4_narrow__xgboost,0.049234930971228184
CYP1A2,elastic_net,0,0,mordred_pca__lightgbm,0.08713381234633759
CYP1A2,elastic_net,0,0,mordred_pca__rf,0.050824461023735466
CYP1A2,elastic_net,0,0,mordred_pca__xgboost,0.0
CYP1A2,elastic_net,0,0,__intercept__,-0.813987187745111
CYP1A2,nnls,0,0,chemeleon__lightgbm,0.0
CYP1A2,nnls,0,0,chemeleon__rf,0.15460432184751852
CYP1A2,nnls,0,0,chemeleon__xgboost,0.0
CYP1A2,nnls,0,0,chemprop_chemeleoninit,0.43031453116157253
CYP1A2,nnls,0,0,chemprop_randominit,0.15192990904272557
CYP1A2,nnls,0,0,ecfp4_narrow__lightgbm,0.18792663516352018
CYP1A2,nnls,0,0,ecfp4_narrow__rf,0.06269559600161091
CYP1A2,nnls,0,0,ecfp4_narrow__xgboost,0.0020008627496119137
CYP1A2,nnls,0,0,mordred_pca__lightgbm,0.010266122498090988
CYP1A2,nnls,0,0,mordred_pca__rf,0.0
CYP1A2,nnls,0,0,mordred_pca__xgboost,0.0
CYP1A2,nn_ridge,0,0,chemeleon__lightgbm,0.0
CYP1A2,nn_ridge,0,0,chemeleon__rf,0.15241834394582732
CYP1A2,nn_ridge,0,0,chemeleon__xgboost,0.0
CYP1A2,nn_ridge,0,0,chemprop_chemeleoninit,0.4209395906559999
CYP1A2,nn_ridge,0,0,chemprop_randominit,0.15563624680925323
CYP1A2,nn_ridge,0,0,ecfp4_narrow__lightgbm,0.178786210427875
CYP1A2,nn_ridge,0,0,ecfp4_narrow__rf,0.06888418050496427
CYP1A2,nn_ridge,0,0,ecfp4_narrow__xgboost,0.00810174073243148
CYP1A2,nn_ridge,0,0,mordred_pca__lightgbm,0.01494921719450971
CYP1A2,nn_ridge,0,0,mordred_pca__rf,0.0
CYP1A2,nn_ridge,0,0,mordred_pca__xgboost,0.0
CYP1A2,ridge,0,1,chemeleon__lightgbm,0.017278508240445217
CYP1A2,ridge,0,1,chemeleon__rf,0.1807432884864435
CYP1A2,ridge,0,1,chemeleon__xgboost,-0.007591115509514919
CYP1A2,ridge,0,1,chemprop_chemeleoninit,0.3655998838229287
CYP1A2,ridge,0,1,chemprop_randominit,0.15372749984246256
CYP1A2,ridge,0,1,ecfp4_narrow__lightgbm,0.16966025613162877
CYP1A2,ridge,0,1,ecfp4_narrow__rf,0.11329720810611521
CYP1A2,ridge,0,1,ecfp4_narrow__xgboost,0.048264048469727434
CYP1A2,ridge,0,1,mordred_pca__lightgbm,0.09058779445412336
CYP1A2,ridge,0,1,mordred_pca__rf,0.06261472797874378
CYP1A2,ridge,0,1,mordred_pca__xgboost,0.0034105075106121113
CYP1A2,ridge,0,1,__intercept__,-0.9849512192037713
CYP1A2,elastic_net,0,1,chemeleon__lightgbm,0.012058496425649939
CYP1A2,elastic_net,0,1,chemeleon__rf,0.17728187812248714
CYP1A2,elastic_net,0,1,chemeleon__xgboost,0.0
CYP1A2,elastic_net,0,1,chemprop_chemeleoninit,0.3691942591909486
CYP1A2,elastic_net,0,1,chemprop_randominit,0.1542001185030953
CYP1A2,elastic_net,0,1,ecfp4_narrow__lightgbm,0.16941790559245146
CYP1A2,elastic_net,0,1,ecfp4_narrow__rf,0.11127385966331409
CYP1A2,elastic_net,0,1,ecfp4_narrow__xgboost,0.04478435930311891
CYP1A2,elastic_net,0,1,mordred_pca__lightgbm,0.08579932385344795
CYP1A2,elastic_net,0,1,mordred_pca__rf,0.05817884597175994
CYP1A2,elastic_net,0,1,mordred_pca__xgboost,0.00045551350891342247
CYP1A2,elastic_net,0,1,__intercept__,-0.9111410043904797
CYP1A2,nnls,0,1,chemeleon__lightgbm,0.0
CYP1A2,nnls,0,1,chemeleon__rf,0.15829384686880427
CYP1A2,nnls,0,1,chemeleon__xgboost,0.0
CYP1A2,nnls,0,1,chemprop_chemeleoninit,0.431949856640988
CYP1A2,nnls,0,1,chemprop_randominit,0.15236817303171046
CYP1A2,nnls,0,1,ecfp4_narrow__lightgbm,0.17891491901531728
CYP1A2,nnls,0,1,ecfp4_narrow__rf,0.07389450760511193
CYP1A2,nnls,0,1,ecfp4_narrow__xgboost,0.0
CYP1A2,nnls,0,1,mordred_pca__lightgbm,0.003659355884361789
CYP1A2,nnls,0,1,mordred_pca__rf,0.0
CYP1A2,nnls,0,1,mordred_pca__xgboost,0.0
CYP1A2,nn_ridge,0,1,chemeleon__lightgbm,0.0
CYP1A2,nn_ridge,0,1,chemeleon__rf,0.15747869536735337
CYP1A2,nn_ridge,0,1,chemeleon__xgboost,0.0
CYP1A2,nn_ridge,0,1,chemprop_chemeleoninit,0.42892323825685774
CYP1A2,nn_ridge,0,1,chemprop_randominit,0.15353540110574104
CYP1A2,nn_ridge,0,1,ecfp4_narrow__lightgbm,0.17711268931321827
CYP1A2,nn_ridge,0,1,ecfp4_narrow__rf,0.07652444077901827
CYP1A2,nn_ridge,0,1,ecfp4_narrow__xgboost,0.0
CYP1A2,nn_ridge,0,1,mordred_pca__lightgbm,0.005491939421352145
CYP1A2,nn_ridge,0,1,mordred_pca__rf,0.0
CYP1A2,nn_ridge,0,1,mordred_pca__xgboost,0.0
CYP1A2,ridge,0,2,chemeleon__lightgbm,0.0018169125681537206
CYP1A2,ridge,0,2,chemeleon__rf,0.18125188741704149
CYP1A2,ridge,0,2,chemeleon__xgboost,-0.014529430076118326
CYP1A2,ridge,0,2,chemprop_chemeleoninit,0.3775274389278804
CYP1A2,ridge,0,2,chemprop_randominit,0.1409482497376152
CYP1A2,ridge,0,2,ecfp4_narrow__lightgbm,0.16999803592687246
CYP1A2,ridge,0,2,ecfp4_narrow__rf,0.09931055108170539
CYP1A2,ridge,0,2,ecfp4_narrow__xgboost,0.05386295069128059
CYP1A2,ridge,0,2,mordred_pca__lightgbm,0.09987891213441007
CYP1A2,ridge,0,2,mordred_pca__rf,0.06819147393311158
CYP1A2,ridge,0,2,mordred_pca__xgboost,0.004683932544439782
CYP1A2,ridge,0,2,__intercept__,-0.909425053769362
CYP1A2,elastic_net,0,2,chemeleon__lightgbm,0.00267769731037237
CYP1A2,elastic_net,0,2,chemeleon__rf,0.1670277793860781
CYP1A2,elastic_net,0,2,chemeleon__xgboost,0.0
CYP1A2,elastic_net,0,2,chemprop_chemeleoninit,0.37485711564684654
CYP1A2,elastic_net,0,2,chemprop_randominit,0.14384416116500726
CYP1A2,elastic_net,0,2,ecfp4_narrow__lightgbm,0.16512776306965574
CYP1A2,elastic_net,0,2,ecfp4_narrow__rf,0.09884536424960634
CYP1A2,elastic_net,0,2,ecfp4_narrow__xgboost,0.05256601581999091
CYP1A2,elastic_net,0,2,mordred_pca__lightgbm,0.09090662369448924
CYP1A2,elastic_net,0,2,mordred_pca__rf,0.06427020799058424
CYP1A2,elastic_net,0,2,mordred_pca__xgboost,0.003257400182622803
CYP1A2,elastic_net,0,2,__intercept__,-0.8128114926841867
CYP1A2,nnls,0,2,chemeleon__lightgbm,0.0
CYP1A2,nnls,0,2,chemeleon__rf,0.14916957647661183
CYP1A2,nnls,0,2,chemeleon__xgboost,0.0
CYP1A2,nnls,0,2,chemprop_chemeleoninit,0.4411122974892105
CYP1A2,nnls,0,2,chemprop_randominit,0.13599241695956754
CYP1A2,nnls,0,2,ecfp4_narrow__lightgbm,0.18499952432563604
CYP1A2,nnls,0,2,ecfp4_narrow__rf,0.058805567615610836
CYP1A2,nnls,0,2,ecfp4_narrow__xgboost,0.0044999682653735495
CYP1A2,nnls,0,2,mordred_pca__lightgbm,0.025073959576004202
CYP1A2,nnls,0,2,mordred_pca__rf,0.0
CYP1A2,nnls,0,2,mordred_pca__xgboost,0.0
CYP1A2,nn_ridge,0,2,chemeleon__lightgbm,0.0
CYP1A2,nn_ridge,0,2,chemeleon__rf,0.1466673013279223
CYP1A2,nn_ridge,0,2,chemeleon__xgboost,0.0
CYP1A2,nn_ridge,0,2,chemprop_chemeleoninit,0.4313657922407793
CYP1A2,nn_ridge,0,2,chemprop_randominit,0.14005650554715549
CYP1A2,nn_ridge,0,2,ecfp4_narrow__lightgbm,0.1762508454948141
CYP1A2,nn_ridge,0,2,ecfp4_narrow__rf,0.06512714994337969
CYP1A2,nn_ridge,0,2,ecfp4_narrow__xgboost,0.010084317424969862
CYP1A2,nn_ridge,0,2,mordred_pca__lightgbm,0.027281550988926064
CYP1A2,nn_ridge,0,2,mordred_pca__rf,0.0028027530758075038
CYP1A2,nn_ridge,0,2,mordred_pca__xgboost,0.0
CYP1A2,ridge,0,3,chemeleon__lightgbm,0.02628325489636683
CYP1A2,ridge,0,3,chemeleon__rf,0.16279309007875137
CYP1A2,ridge,0,3,chemeleon__xgboost,0.001675857172064303
CYP1A2,ridge,0,3,chemprop_chemeleoninit,0.36581232999592406
CYP1A2,ridge,0,3,chemprop_randominit,0.15503313776097746
CYP1A2,ridge,0,3,ecfp4_narrow__lightgbm,0.1890086066733169
CYP1A2,ridge,0,3,ecfp4_narrow__rf,0.08258272515084562
