isoform,combiner,repeat,fold,ST-RAE
CYP1A2,best_single,0,0,0.7883875412504711
CYP1A2,best_single,0,1,0.8722179044172848
CYP1A2,best_single,0,2,0.797198501136896
CYP1A2,best_single,0,3,0.7832492684117721
CYP1A2,best_single,0,4,0.8891741613388273
CYP1A2,best_single,1,0,0.871486244161885
CYP1A2,best_single,1,1,0.9040377505924749
CYP1A2,best_single,1,2,0.8839108776790604
CYP1A2,best_single,1,3,0.9648493331364121
CYP1A2,best_single,1,4,0.8946151251506241
CYP1A2,best_single,2,0,0.8542142959494546
CYP1A2,best_single,2,1,0.8405455999880922
CYP1A2,best_single,2,2,0.9185532544738018
CYP1A2,best_single,2,3,0.9592837674436271
CYP1A2,best_single,2,4,0.8032593890800086
CYP1A2,best_single,3,0,0.8470908927773141
CYP1A2,best_single,3,1,0.8586299624414748
CYP1A2,best_single,3,2,0.9545045252627169
CYP1A2,best_single,3,3,0.8641183661969529
CYP1A2,best_single,3,4,0.8425844701240708
CYP1A2,best_single,4,0,0.8700913933907533
CYP1A2,best_single,4,1,0.8972936519306629
CYP1A2,best_single,4,2,0.7856681090753247
CYP1A2,best_single,4,3,0.8343385751021194
CYP1A2,best_single,4,4,0.9321713658176711
CYP1A2,caruana_capped,0,0,0.7449614937852707
CYP1A2,caruana_capped,0,1,0.8214493452924105
CYP1A2,caruana_capped,0,2,0.7622464733849964
CYP1A2,caruana_capped,0,3,0.7854140352194332
CYP1A2,caruana_capped,0,4,0.811062157976492
CYP1A2,caruana_capped,1,0,0.8201848270979186
CYP1A2,caruana_capped,1,1,0.829655248757419
CYP1A2,caruana_capped,1,2,0.7395282230216078
CYP1A2,caruana_capped,1,3,0.8275894641910878
CYP1A2,caruana_capped,1,4,0.7700177571619956
CYP1A2,caruana_capped,2,0,0.7701334517099716
CYP1A2,caruana_capped,2,1,0.7880553447752604
CYP1A2,caruana_capped,2,2,0.8331548117893369
CYP1A2,caruana_capped,2,3,0.8553041815964194
