isoform,combiner,mean_ST-RAE,best_single_ST-RAE,delta_vs_best_single,pct_change_vs_best_single,paired_fold_std,exceeds_fold_variability,pairwise_p_vs_best_single,significant_vs_best_single,beats_best_single
CYP1A2,simple_average,0.8158326609009815,0.8684589730531901,-0.05262631215220859,-6.059734977139261,0.04103195713405333,True,0.001,True,True
CYP1A2,ridge,0.8056500592387459,0.8684589730531901,-0.0628089138144442,-7.232225788816551,0.03057605609663229,True,0.001,True,True
CYP1A2,elastic_net,0.8049109616674659,0.8684589730531901,-0.06354801138572419,-7.317330277826734,0.030424430831493907,True,0.001,True,True
CYP1A2,nnls,0.8002908478349816,0.8684589730531901,-0.06816812521820848,-7.849320155971653,0.030255390653796264,True,0.001,True,True
CYP1A2,nn_ridge,0.8000528667031931,0.8684589730531901,-0.068406106349997,-7.876722847310297,0.030435408242519692,True,0.001,True,True
CYP2C9,simple_average,0.6864917928518901,0.67869131237916,0.007800480472730076,1.1493414355615375,0.04911282010454679,False,0.6586353561994925,False,False
CYP2C9,ridge,0.6221191944382602,0.67869131237916,-0.05657211794089978,-8.3354710615914,0.025057803287311272,True,0.001,True,True
CYP2C9,elastic_net,0.6218188017294136,0.67869131237916,-0.05687251064974641,-8.379731641234537,0.023886083671959605,True,0.001,True,True
CYP2C9,nnls,0.6176897846948038,0.67869131237916,-0.06100152768435618,-8.988110879232364,0.025015559524007535,True,0.001,True,True
CYP2C9,nn_ridge,0.6173472841252812,0.67869131237916,-0.06134402825387886,-9.038575731702926,0.025637279699106414,True,0.001,True,True
CYP2D6,simple_average,0.8920579378992651,0.9372347107300577,-0.04517677283079258,-4.8202197713742585,0.01913720187390362,True,0.001,True,True
CYP2D6,ridge,0.9046295039940027,0.9372347107300577,-0.03260520673605505,-3.478873153412902,0.020325430921436315,True,0.001,True,True
CYP2D6,elastic_net,0.9026976214225023,0.9372347107300577,-0.03453708930755539,-3.6849989562009258,0.019523049515386325,True,0.001,True,True
CYP2D6,nnls,0.8910243073169226,0.9372347107300577,-0.04621040341313509,-4.930504908118434,0.016753341330925025,True,0.001,True,True
CYP2D6,nn_ridge,0.8910187491167036,0.9372347107300577,-0.04621596161335406,-4.931097950624791,0.01676302301485101,True,0.001,True,True
CYP3A4,simple_average,0.5336457523115208,0.5460557792815692,-0.012410026970048449,-2.2726665371761077,0.05467242317419392,False,0.17714426954235452,False,True
CYP3A4,ridge,0.4934295429862847,0.5460557792815692,-0.05262623629528451,-9.637520248302,0.0360840043640634,True,0.001,True,True
CYP3A4,elastic_net,0.49319619558210775,0.5460557792815692,-0.052859583699461477,-9.68025350249152,0.03607275515736842,True,0.001,True,True
CYP3A4,nnls,0.48832022832011296,0.5460557792815692,-0.05773555096145627,-10.57319657662398,0.032579108608025854,True,0.001,True,True
CYP3A4,nn_ridge,0.48832026599671813,0.5460557792815692,-0.0577355132848511,-10.573189676851722,0.03276326861657263,True,0.001,True,True
