isoform,config_1,config_2,error_correlation
CYP1A2,chemeleon__lightgbm,chemeleon__lightgbm,1.0
CYP1A2,chemeleon__lightgbm,chemeleon__rf,0.9638703123384951
CYP1A2,chemeleon__lightgbm,chemeleon__xgboost,0.923934418501064
CYP1A2,chemeleon__lightgbm,chemprop_chemeleoninit,0.8674090930751301
CYP1A2,chemeleon__lightgbm,chemprop_randominit,0.8405489656138633
CYP1A2,chemeleon__lightgbm,ecfp4_narrow__lightgbm,0.908450547232682
CYP1A2,chemeleon__lightgbm,ecfp4_narrow__rf,0.9107930388291973
CYP1A2,chemeleon__lightgbm,ecfp4_narrow__xgboost,0.8920055639820695
CYP1A2,chemeleon__lightgbm,mordred_pca__lightgbm,0.9199003936610185
CYP1A2,chemeleon__lightgbm,mordred_pca__rf,0.9257616572564947
CYP1A2,chemeleon__lightgbm,mordred_pca__xgboost,0.8890930260304611
CYP1A2,chemeleon__rf,chemeleon__rf,1.0
CYP1A2,chemeleon__rf,chemeleon__xgboost,0.9290241536141375
CYP1A2,chemeleon__rf,chemprop_chemeleoninit,0.8779503557131111
CYP1A2,chemeleon__rf,chemprop_randominit,0.8506818895233523
CYP1A2,chemeleon__rf,ecfp4_narrow__lightgbm,0.9174898217775156
CYP1A2,chemeleon__rf,ecfp4_narrow__rf,0.9263353393831761
CYP1A2,chemeleon__rf,ecfp4_narrow__xgboost,0.9014900984681408
CYP1A2,chemeleon__rf,mordred_pca__lightgbm,0.93174517652367
CYP1A2,chemeleon__rf,mordred_pca__rf,0.9460485041215532
CYP1A2,chemeleon__rf,mordred_pca__xgboost,0.9040728232980463
CYP1A2,chemeleon__xgboost,chemeleon__xgboost,1.0
CYP1A2,chemeleon__xgboost,chemprop_chemeleoninit,0.8280973669417947
CYP1A2,chemeleon__xgboost,chemprop_randominit,0.8035030363000119
CYP1A2,chemeleon__xgboost,ecfp4_narrow__lightgbm,0.873630246947353
CYP1A2,chemeleon__xgboost,ecfp4_narrow__rf,0.8784137554686032
CYP1A2,chemeleon__xgboost,ecfp4_narrow__xgboost,0.8608388735885103
CYP1A2,chemeleon__xgboost,mordred_pca__lightgbm,0.8906563707347267
CYP1A2,chemeleon__xgboost,mordred_pca__rf,0.8984252016076674
CYP1A2,chemeleon__xgboost,mordred_pca__xgboost,0.8635019158230908
CYP1A2,chemprop_chemeleoninit,chemprop_chemeleoninit,1.0
CYP1A2,chemprop_chemeleoninit,chemprop_randominit,0.8747404444863612
CYP1A2,chemprop_chemeleoninit,ecfp4_narrow__lightgbm,0.8618805728282981
CYP1A2,chemprop_chemeleoninit,ecfp4_narrow__rf,0.8672339893790341
CYP1A2,chemprop_chemeleoninit,ecfp4_narrow__xgboost,0.8365719328745489
CYP1A2,chemprop_chemeleoninit,mordred_pca__lightgbm,0.8367591062634161
CYP1A2,chemprop_chemeleoninit,mordred_pca__rf,0.844657838370535
CYP1A2,chemprop_chemeleoninit,mordred_pca__xgboost,0.8050733926814665
CYP1A2,chemprop_randominit,chemprop_randominit,1.0
CYP1A2,chemprop_randominit,ecfp4_narrow__lightgbm,0.842485899511439
CYP1A2,chemprop_randominit,ecfp4_narrow__rf,0.8407894668362155
CYP1A2,chemprop_randominit,ecfp4_narrow__xgboost,0.8174851887722752
CYP1A2,chemprop_randominit,mordred_pca__lightgbm,0.817956659026257
CYP1A2,chemprop_randominit,mordred_pca__rf,0.8223986637593371
CYP1A2,chemprop_randominit,mordred_pca__xgboost,0.7930554642128789
CYP1A2,ecfp4_narrow__lightgbm,ecfp4_narrow__lightgbm,1.0
CYP1A2,ecfp4_narrow__lightgbm,ecfp4_narrow__rf,0.9584102195292447
CYP1A2,ecfp4_narrow__lightgbm,ecfp4_narrow__xgboost,0.9458594723028273
CYP1A2,ecfp4_narrow__lightgbm,mordred_pca__lightgbm,0.8932517733221178
CYP1A2,ecfp4_narrow__lightgbm,mordred_pca__rf,0.8992856853658275
CYP1A2,ecfp4_narrow__lightgbm,mordred_pca__xgboost,0.8672429399992798
CYP1A2,ecfp4_narrow__rf,ecfp4_narrow__rf,1.0
CYP1A2,ecfp4_narrow__rf,ecfp4_narrow__xgboost,0.9465996721812009
CYP1A2,ecfp4_narrow__rf,mordred_pca__lightgbm,0.8994199386966757
CYP1A2,ecfp4_narrow__rf,mordred_pca__rf,0.9062047418813198
CYP1A2,ecfp4_narrow__rf,mordred_pca__xgboost,0.872479381893616
CYP1A2,ecfp4_narrow__xgboost,ecfp4_narrow__xgboost,1.0
CYP1A2,ecfp4_narrow__xgboost,mordred_pca__lightgbm,0.885922745538153
CYP1A2,ecfp4_narrow__xgboost,mordred_pca__rf,0.8883292872317307
CYP1A2,ecfp4_narrow__xgboost,mordred_pca__xgboost,0.8593248610977271
CYP1A2,mordred_pca__lightgbm,mordred_pca__lightgbm,1.0
CYP1A2,mordred_pca__lightgbm,mordred_pca__rf,0.9627574540438076
CYP1A2,mordred_pca__lightgbm,mordred_pca__xgboost,0.9395192520674436
CYP1A2,mordred_pca__rf,mordred_pca__rf,1.0
CYP1A2,mordred_pca__rf,mordred_pca__xgboost,0.9356178754014065
CYP1A2,mordred_pca__xgboost,mordred_pca__xgboost,1.0
CYP2C9,chemeleon__lightgbm,chemeleon__lightgbm,1.0
CYP2C9,chemeleon__lightgbm,chemeleon__rf,0.9557287406055021
CYP2C9,chemeleon__lightgbm,chemeleon__xgboost,0.9127144873437413
CYP2C9,chemeleon__lightgbm,chemprop_chemeleoninit,0.8217021405810663
CYP2C9,chemeleon__lightgbm,chemprop_randominit,0.7839773816528692
CYP2C9,chemeleon__lightgbm,ecfp4_narrow__lightgbm,0.8554571694947266
CYP2C9,chemeleon__lightgbm,ecfp4_narrow__rf,0.8646599406383975
CYP2C9,chemeleon__lightgbm,ecfp4_narrow__xgboost,0.8563102717774705
CYP2C9,chemeleon__lightgbm,mordred_pca__lightgbm,0.8980769860747769
CYP2C9,chemeleon__lightgbm,mordred_pca__rf,0.9097632093673798
CYP2C9,chemeleon__lightgbm,mordred_pca__xgboost,0.8624435893235932
CYP2C9,chemeleon__rf,chemeleon__rf,1.0
CYP2C9,chemeleon__rf,chemeleon__xgboost,0.9227286405222
CYP2C9,chemeleon__rf,chemprop_chemeleoninit,0.8208510589511041
CYP2C9,chemeleon__rf,chemprop_randominit,0.7830302162133114
CYP2C9,chemeleon__rf,ecfp4_narrow__lightgbm,0.8656236840197671
CYP2C9,chemeleon__rf,ecfp4_narrow__rf,0.8811828210428012
CYP2C9,chemeleon__rf,ecfp4_narrow__xgboost,0.8684066354647566
CYP2C9,chemeleon__rf,mordred_pca__lightgbm,0.9164850276708725
CYP2C9,chemeleon__rf,mordred_pca__rf,0.9387671552490656
CYP2C9,chemeleon__rf,mordred_pca__xgboost,0.8832222792209657
CYP2C9,chemeleon__xgboost,chemeleon__xgboost,1.0
CYP2C9,chemeleon__xgboost,chemprop_chemeleoninit,0.784838391021272
CYP2C9,chemeleon__xgboost,chemprop_randominit,0.7414211128336278
CYP2C9,chemeleon__xgboost,ecfp4_narrow__lightgbm,0.8200032767968488
CYP2C9,chemeleon__xgboost,ecfp4_narrow__rf,0.8352038062665246
CYP2C9,chemeleon__xgboost,ecfp4_narrow__xgboost,0.8251468680494767
CYP2C9,chemeleon__xgboost,mordred_pca__lightgbm,0.8623527649492299
CYP2C9,chemeleon__xgboost,mordred_pca__rf,0.8801447642527194
CYP2C9,chemeleon__xgboost,mordred_pca__xgboost,0.8301329097103882
CYP2C9,chemprop_chemeleoninit,chemprop_chemeleoninit,1.0
CYP2C9,chemprop_chemeleoninit,chemprop_randominit,0.8254172154583903
CYP2C9,chemprop_chemeleoninit,ecfp4_narrow__lightgbm,0.8011323545065575
CYP2C9,chemprop_chemeleoninit,ecfp4_narrow__rf,0.8010378300836651
CYP2C9,chemprop_chemeleoninit,ecfp4_narrow__xgboost,0.7871852381581373
CYP2C9,chemprop_chemeleoninit,mordred_pca__lightgbm,0.771780497101891
CYP2C9,chemprop_chemeleoninit,mordred_pca__rf,0.7772324880828481
CYP2C9,chemprop_chemeleoninit,mordred_pca__xgboost,0.7357212648926301
CYP2C9,chemprop_randominit,chemprop_randominit,1.0
CYP2C9,chemprop_randominit,ecfp4_narrow__lightgbm,0.7615535835572409
CYP2C9,chemprop_randominit,ecfp4_narrow__rf,0.7587146470049339
CYP2C9,chemprop_randominit,ecfp4_narrow__xgboost,0.7442060355525838
CYP2C9,chemprop_randominit,mordred_pca__lightgbm,0.7355121969812038
CYP2C9,chemprop_randominit,mordred_pca__rf,0.7378138720789934
CYP2C9,chemprop_randominit,mordred_pca__xgboost,0.6986564823641127
CYP2C9,ecfp4_narrow__lightgbm,ecfp4_narrow__lightgbm,1.0
CYP2C9,ecfp4_narrow__lightgbm,ecfp4_narrow__rf,0.9410747302362434
CYP2C9,ecfp4_narrow__lightgbm,ecfp4_narrow__xgboost,0.9285198924624729
CYP2C9,ecfp4_narrow__lightgbm,mordred_pca__lightgbm,0.8425453935973717
CYP2C9,ecfp4_narrow__lightgbm,mordred_pca__rf,0.8514501535257097
