inchikey,isoform,y_true,conf_low,conf_high,Molecule_Name,mean_abs_error,across_config_sd_signed_error,mean_soft_threshold_error,mean_within_compound_repeat_sd,hard_ae,easy_ae,hard_soft,easy_soft,disagreement,MolWt,MolLogP,TPSA,HeavyAtomCount,RingCount,FractionCSP3,loo_nn_similarity,scaffold,net_charge_ph74,interval_width
AAFSKRHBWOQJCV-CVEARBPZSA-N,CYP1A2,4.737715497,4.51206175,5.00210875,OCNT-2309014,0.2209627114606074,0.2627491568636434,0.14256544406129582,0.27004998055615687,False,False,False,False,False,338.36300000000006,1.9096999999999997,84.47,25,4,0.2631578947368421,0.4411764705882353,O=C(N[C@@H]1CCCc2ccccc21)c1cccc2[nH]c(=O)oc12,0,0.4900469999999997
AAPHOXBNRLQGES-UHFFFAOYSA-N,CYP1A2,5.117787312,4.906878,5.28717475,OCNT-2315503,0.10180129782600136,0.1276533179964729,0.04259979090009543,0.17935668954282666,False,True,False,True,False,336.3990000000002,3.5660000000000016,87.63000000000001,25,4,0.2777777777777778,0.4246575342465753,O=C(Nc1ccc(Cn2cccn2)cc1)Nc1[nH]ncc1C1CCC1,-1,0.3802967500000003
ABUNSDMPQVALBH-UHFFFAOYSA-N,CYP1A2,3.397316567,1.9395045,4.0515555,OCNT-2314087,1.4801058827103168,0.20646350346613812,0.8258669497103163,0.19717330245728262,False,False,False,False,False,426.4800000000002,3.8393200000000016,100.79999999999998,32,6,0.2916666666666667,0.4473684210526316,O=C1CC(c2nc(-c3cccc(-c4nnc[nH]4)c3)no2)CN1c1ccc2c(c1)CCC2,-1,2.112051
ABVGSGYZENIXJG-UHFFFAOYSA-N,CYP1A2,5.9101339,5.807981,6.0199665,OCNT-2310736,0.8034155094040139,0.23546041659016018,0.7171942530403773,0.2732989212675802,False,False,False,False,False,381.367,2.6640000000000006,97.27999999999999,28,4,0.10526315789473684,0.5571428571428572,O=C1COc2cc(NC(=O)NCc3ccc(-n4ccnc4)cc3)ccc2N1,0,0.21198549999999994
ACOCBYLGXYWEIH-UHFFFAOYSA-N,CYP1A2,5.150444082,5.003286,5.27019775,OCNT-2310884,0.28541358679734213,0.18113356598911412,0.19840223669304857,0.21130059080924343,False,False,False,False,False,339.41100000000006,3.8682200000000027,42.160000000000004,23,3,0.5,0.36363636363636365,c1ccc(-c2nnc(SCCN3CCCCC3)o2)cc1,1,0.2669117500000002
ADCLRPXGARJRNH-UHFFFAOYSA-N,CYP1A2,5.041184842,4.7316005,5.31157325,OCNT-2308460,0.21867479353354857,0.1858325828538051,0.08256329880647767,0.2289618723469288,False,False,False,True,False,333.3510000000001,3.184020000000001,85.84,25,4,0.1111111111111111,0.4533333333333333,O=C(Nc1cccc(-c2ncco2)c1)c1ccc2[nH]nnc2c1,0,0.5799727500000005
ADCRROSQMSVSQW-UHFFFAOYSA-N,CYP1A2,5.067960225,4.88258225,5.24936325,OCNT-2317688,0.44592045339942216,0.11168574682970638,0.27622087532792583,0.19597832117097103,False,False,False,False,False,308.34099999999995,3.0410200000000005,79.9,23,3,0.11764705882352941,0.5932203389830508,O=C(Nc1ccccc1)c1cccc(-c2ncn[nH]2)c1,-1,0.36678100000000047
ADEDIGFEFPYZAG-UHFFFAOYSA-N,CYP1A2,4.94583745,4.775738,5.158119,OCNT-2309471,0.24392461702786428,0.2311936305810171,0.14900268405908781,0.22965599136995227,False,False,False,False,False,375.4760000000003,3.950300000000003,72.7,28,4,0.36363636363636365,0.48484848484848486,O=C(Cc1cnn(Cc2ccccc2)c1)Nc1ncc(C2CCCCC2)cn1,0,0.3823810000000005
ADNYRZXSYMJZJC-UHFFFAOYSA-N,CYP1A2,3.668926313,3.108256,4.16415475,OCNT-2312222,1.5062302796722735,0.15161364144574954,1.011001842672274,0.20011843107755903,False,False,True,False,False,294.358,3.2992000000000017,56.74,22,4,0.35294117647058826,0.46774193548387094,c1ccc(C2CCc3nnc(-c4ccon4)n3C2)cc1,0,1.0558987499999999
ADUWAMYJGJMQFP-UHFFFAOYSA-N,CYP1A2,3.816379915,3.21409225,4.20772225,OCNT-2310993,0.9990175317349131,0.1556187946250038,0.6193371555265436,0.2771009110015592,False,False,False,False,False,353.38200000000023,2.407800000000001,93.38,26,4,0.3333333333333333,0.4675324675324675,O=C(Cc1noc2ccccc12)Nc1cncnc1N1CCCC1,0,0.9936299999999996
AECHNCUKRVJPMR-UHFFFAOYSA-N,CYP1A2,7.359232032,7.2673395,7.45216075,OCNT-2317954,1.9185856252975595,0.2146865407872953,1.8266930932975591,0.21650251334115422,True,False,True,False,False,328.39700000000005,2.175,80.04,23,3,0.1875,0.5441176470588235,O=C(Nc1nccs1)c1cccc(Cn2ccnc2)c1,0,0.18482124999999971
AFUVPNDCVKAFMM-UHFFFAOYSA-N,CYP1A2,5.570652172,5.44352225,5.68766575,OCNT-2310288,0.07412869725609701,0.08986479682016882,0.0813185699036671,0.20731362518473795,False,True,False,True,False,367.25700000000006,3.9529000000000014,62.22,23,3,0.125,0.36363636363636365,O=C(Cc1ccccc1)NCc1nc2ccccc2s1,0,0.24414349999999985
AGJMLSFEVNTSJB-UHFFFAOYSA-N,CYP1A2,5.085894413,4.88565475,5.26485,OCNT-2311427,0.14011808159141947,0.17824988595390323,0.08401641918975851,0.20928363560192,False,True,False,True,False,299.296,3.5614000000000026,39.94,21,2,0.42857142857142855,0.2753623188405797,c1ccc(-c2c[nH]nn2)cc1,0,0.37919525000000043
AGOYKHUKFFLSAC-UHFFFAOYSA-N,CYP1A2,3.886159193,3.40144025,4.32677575,OCNT-2316769,0.6222090615384064,0.21855164481391892,0.26929521033948317,0.3427322412587183,False,False,False,False,False,362.4890000000002,4.055820000000003,41.57000000000001,26,3,0.6666666666666666,0.5294117647058824,O=C(NCCc1ccccc1)N1CCCC(C2CCCCO2)C1,1,0.9253355000000005
AHOUBRCZNHFOSL-YOEHRIQHSA-N,CYP1A2,5.14513125,5.00457475,5.263734,OCNT-1911800,0.14037207978381197,0.16459668938606725,0.074075908223252,0.16764500532966,False,True,False,True,False,329.3710000000001,3.326500000000002,39.72,24,4,0.3684210526315789,0.2698412698412698,c1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,1,0.2591592500000006
AHQNKQQOLTVRAI-UHFFFAOYSA-N,CYP1A2,4.210613742,3.7704455,5.0201005,OCNT-2315133,0.6460554325420536,0.29446955442358697,0.06551866001469743,0.18580476560310014,False,False,False,True,False,298.43399999999997,3.277000000000002,33.95,22,3,0.5555555555555556,0.3787878787878788,c1cncc(C2CCCN2Cc2cn[nH]c2)c1,1,1.2496549999999997
AIDXPYZJTIDUSC-UHFFFAOYSA-N,CYP1A2,3.668555707,3.14165625,4.1889845,OCNT-2311602,1.2094483193720096,0.19897157761565243,0.6890195263720093,0.21504654149168553,False,False,False,False,False,348.40600000000006,3.4598200000000023,72.12,26,4,0.3,0.3787878787878788,O=C(c1ccc(-c2nnco2)cc1)N1CCC(c2ccncc2)CC1,1,1.04732825
