isoform,offset,s,strae
CYP1A2,-2.0,0.2,3.732068527400544
CYP1A2,-2.0,0.25,3.7254581426680207
CYP1A2,-2.0,0.3,3.718923341754535
CYP1A2,-2.0,0.35,3.7124734799726182
CYP1A2,-2.0,0.4,3.706093529544881
CYP1A2,-2.0,0.45,3.699776275774286
CYP1A2,-2.0,0.5,3.693551457629988
CYP1A2,-2.0,0.55,3.687429149460939
CYP1A2,-2.0,0.6,3.681425906348079
CYP1A2,-2.0,0.65,3.675493911184641
CYP1A2,-2.0,0.7,3.669705609804666
CYP1A2,-2.0,0.75,3.6640811163806895
CYP1A2,-2.0,0.8,3.6587159338844546
CYP1A2,-2.0,0.85,3.6535410657690734
CYP1A2,-2.0,0.9,3.648601224330212
CYP1A2,-2.0,0.95,3.643928635610043
CYP1A2,-2.0,1.0,3.6394811025551954
CYP1A2,-2.0,1.05,3.6352067442322
CYP1A2,-2.0,1.1,3.631184651666278
CYP1A2,-2.0,1.15,3.627392952088137
CYP1A2,-2.0,1.2,3.623804601053291
CYP1A2,-2.0,1.25,3.6205076207698665
CYP1A2,-2.0,1.3,3.6175902052308406
CYP1A2,-2.0,1.35,3.615006945622803
CYP1A2,-2.0,1.4,3.612839408920733
CYP1A2,-2.0,1.45,3.6110608635273698
CYP1A2,-2.0,1.5,3.60964687809848
CYP1A2,-2.0,1.55,3.6085818663926212
CYP1A2,-2.0,1.6,3.6078894883556023
CYP1A2,-2.0,1.65,3.607603538379546
CYP1A2,-2.0,1.7,3.607706993347495
CYP1A2,-2.0,1.75,3.608200775247556
CYP1A2,-2.0,1.8,3.609075563301187
CYP1A2,-2.0,1.85,3.6102658870232145
CYP1A2,-2.0,1.9,3.6117854427394445
CYP1A2,-2.0,1.95,3.613686227348252
CYP1A2,-2.0,2.0,3.616110554282615
CYP1A2,-2.0,2.05,3.6190454419213154
CYP1A2,-2.0,2.1,3.6224692563187064
CYP1A2,-2.0,2.15,3.626235648377725
CYP1A2,-2.0,2.2,3.630494515736074
CYP1A2,-2.0,2.25,3.6353426210237982
CYP1A2,-2.0,2.3,3.640788890191202
CYP1A2,-2.0,2.35,3.646837875025099
CYP1A2,-2.0,2.4,3.653521173217855
CYP1A2,-2.0,2.45,3.660825711032758
CYP1A2,-2.0,2.5,3.668769492169028
CYP1A2,-2.0,2.55,3.677332894321319
CYP1A2,-2.0,2.6,3.686580671593988
CYP1A2,-2.0,2.65,3.696430275628472
CYP1A2,-2.0,2.7,3.7069163156701093
CYP1A2,-2.0,2.75,3.7180683548052706
CYP1A2,-2.0,2.8,3.729967792509874
CYP1A2,-2.0,2.85,3.7424532325256123
CYP1A2,-2.0,2.9,3.755563281700415
CYP1A2,-2.0,2.95,3.7693543183572626
CYP1A2,-2.0,3.0,3.7839008939346606
CYP1A2,-1.95,0.2,3.6410503823772813
CYP1A2,-1.95,0.25,3.6343871653981603
CYP1A2,-1.95,0.3,3.6277685968986235
CYP1A2,-1.95,0.35,3.6212385292226688
CYP1A2,-1.95,0.4,3.614820246759967
CYP1A2,-1.95,0.45,3.6085037444169825
CYP1A2,-1.95,0.5,3.6022751166605316
CYP1A2,-1.95,0.55,3.596120230939867
CYP1A2,-1.95,0.6,3.590056407760004
CYP1A2,-1.95,0.65,3.584112936600903
CYP1A2,-1.95,0.7,3.5782938426919926
CYP1A2,-1.95,0.75,3.572657526892859
CYP1A2,-1.95,0.8,3.5672384458555664
CYP1A2,-1.95,0.85,3.5620015347051948
CYP1A2,-1.95,0.9,3.5569960746945486
CYP1A2,-1.95,0.95,3.5522010211633446
CYP1A2,-1.95,1.0,3.5476619236182407
CYP1A2,-1.95,1.05,3.5433019289883436
CYP1A2,-1.95,1.1,3.539162143268523
CYP1A2,-1.95,1.15,3.535324191055186
CYP1A2,-1.95,1.2,3.5317191755899624
CYP1A2,-1.95,1.25,3.5283687051807315
CYP1A2,-1.95,1.3,3.5253292070208935
CYP1A2,-1.95,1.35,3.522669738524794
CYP1A2,-1.95,1.4,3.520351439819532
CYP1A2,-1.95,1.45,3.5186049891280153
CYP1A2,-1.95,1.5,3.517219730401749
CYP1A2,-1.95,1.55,3.516250482192004
CYP1A2,-1.95,1.6,3.5156943759044026
CYP1A2,-1.95,1.65,3.515434270267427
CYP1A2,-1.95,1.7,3.515602872073052
CYP1A2,-1.95,1.75,3.5162537008216326
CYP1A2,-1.95,1.8,3.517237544122694
CYP1A2,-1.95,1.85,3.518565546053886
CYP1A2,-1.95,1.9,3.5202542385720155
CYP1A2,-1.95,1.95,3.522407493208261
CYP1A2,-1.95,2.0,3.525126048605859
CYP1A2,-1.95,2.05,3.528347941439729
CYP1A2,-1.95,2.1,3.5319315343160116
CYP1A2,-1.95,2.15,3.536046345009827
CYP1A2,-1.95,2.2,3.540715258145852
