isoform,decile,pic50_low,pic50_high,n,mean_signed_error,training_mean_pic50
CYP1A2,0,1.90557896,3.571617155,142,1.8780654175771434,4.955410326754249
CYP1A2,1,3.580218852,4.273069245,141,0.773069298956578,4.955410326754249
CYP1A2,2,4.288918308,4.781566355,141,0.25925763308991295,4.955410326754249
CYP1A2,3,4.788514433,4.98344575,141,0.0360067767677227,4.955410326754249
CYP1A2,4,4.983901268,5.13316963,141,-0.09135490055666681,4.955410326754249
CYP1A2,5,5.13349855,5.27642778,141,-0.19430564091949595,4.955410326754249
CYP1A2,6,5.276943913,5.458028618,141,-0.33789278125156513,4.955410326754249
CYP1A2,7,5.458361225,5.680396747,141,-0.41181951817184226,4.955410326754249
CYP1A2,8,5.681076177,5.986175903,141,-0.6257348958074374,4.955410326754249
CYP1A2,9,5.990223753,7.948524865,142,-1.3074102249911033,4.955410326754249
CYP2C9,0,2.097982888,3.673003337,129,1.0854970426036268,4.580737920147859
CYP2C9,1,3.679634403,3.993991235,128,0.5374616122967426,4.580737920147859
CYP2C9,2,3.994174403,4.263361048,129,0.3678388751362287,4.580737920147859
CYP2C9,3,4.26358712,4.462325437,128,0.13346380639721375,4.580737920147859
CYP2C9,4,4.462939343,4.621326012,129,0.026976996752854757,4.580737920147859
CYP2C9,5,4.621773723,4.766145335,128,-0.08204168434088914,4.580737920147859
CYP2C9,6,4.767168082,4.967071435,128,-0.1972913924298916,4.580737920147859
CYP2C9,7,4.967296763,5.187326452,129,-0.3465732921332735,4.580737920147859
CYP2C9,8,5.190890963,5.524754178,128,-0.5354420623793434,4.580737920147859
CYP2C9,9,5.525399845,7.47301149,129,-0.9845959725115868,4.580737920147859
CYP2D6,0,1.946780292,4.134224525,150,1.7034383601459382,4.784202026339584
CYP2D6,1,4.136853678,4.364339587,149,0.41492201141193313,4.784202026339584
CYP2D6,2,4.366310592,4.482440838,149,0.26301790422532206,4.784202026339584
CYP2D6,3,4.482635808,4.589633337,149,0.21658934049819603,4.784202026339584
CYP2D6,4,4.589815827,4.726028418,150,0.06359354860857853,4.784202026339584
CYP2D6,5,4.727728935,4.92398762,149,-0.03595419306663651,4.784202026339584
CYP2D6,6,4.92653146,5.152435898,149,-0.25678633045142274,4.784202026339584
CYP2D6,7,5.157251315,5.41617366,149,-0.40690112533335243,4.784202026339584
CYP2D6,8,5.416734522,5.803041605,149,-0.6821202518116929,4.784202026339584
CYP2D6,9,5.80726313,7.534508882,150,-1.3678859933198235,4.784202026339584
CYP3A4,0,1.909049648,2.277124133,234,1.1078067618954517,4.096054449714775
CYP3A4,1,2.27816596,3.036258822,233,0.8270077054370125,4.096054449714775
CYP3A4,2,3.03787798,3.638123242,234,0.3639093756418416,4.096054449714775
CYP3A4,3,3.63856798,3.98228713,233,0.18471326709765662,4.096054449714775
CYP3A4,4,3.98440303,4.266410545,234,-0.05226983175944008,4.096054449714775
CYP3A4,5,4.266635078,4.538610545,233,-0.13791104904731488,4.096054449714775
CYP3A4,6,4.538755025,4.784348923,233,-0.3445360973673515,4.096054449714775
CYP3A4,7,4.784948885,5.014968643,234,-0.43174432701917426,4.096054449714775
CYP3A4,8,5.01656615,5.375375893,233,-0.5321833409495046,4.096054449714775
CYP3A4,9,5.375990985,7.186665953,234,-0.9461499019821094,4.096054449714775
