isoform,s,strae,r2
CYP1A2,0.2,0.9065119727746865,0.10956114193094058
CYP1A2,0.21,0.9026812344409509,0.11421132764867281
CYP1A2,0.22,0.8989408018592938,0.11878256464542247
CYP1A2,0.23,0.8952748174283817,0.12327485292118967
CYP1A2,0.24,0.8916868001208459,0.12768819247597418
CYP1A2,0.25,0.8881508463189572,0.13202258330977634
CYP1A2,0.26,0.8846660271439112,0.13627802542259582
CYP1A2,0.27,0.8812640981549221,0.14045451881443294
CYP1A2,0.28,0.8779341527649096,0.14455206348528726
CYP1A2,0.29,0.8746778258415971,0.14857065943515924
CYP1A2,0.3,0.8715125366718236,0.15251030666404863
CYP1A2,0.31,0.8684290037727075,0.15637100517195535
CYP1A2,0.32,0.86542661163767,0.1601527549588797
CYP1A2,0.33,0.8624877346425899,0.16385555602482127
CYP1A2,0.34,0.8596147879199476,0.1674794083697806
CYP1A2,0.35,0.8568425116531949,0.17102431199375734
CYP1A2,0.36,0.8541442404216751,0.1744902668967514
CYP1A2,0.37,0.8515392333622296,0.1778772730787631
CYP1A2,0.38,0.8490253137252902,0.18118533053979202
CYP1A2,0.39,0.8465991433210671,0.18441443927983847
CYP1A2,0.4,0.8442567763117326,0.18756459929890257
CYP1A2,0.41,0.8419876100090273,0.19063581059698387
CYP1A2,0.42,0.8397987330229291,0.19362807317408282
CYP1A2,0.43,0.8376937943770131,0.1965413870301992
CYP1A2,0.44,0.8356757835293853,0.19937575216533288
CYP1A2,0.45,0.8337519617291397,0.2021311685794841
CYP1A2,0.46,0.8319281177439919,0.20480763627265286
CYP1A2,0.47,0.830191718373884,0.20740515524483916
CYP1A2,0.48,0.8285363823182847,0.20992372549604266
CYP1A2,0.49,0.8269839447119046,0.2123633470262637
CYP1A2,0.5,0.8255286413728057,0.21472401983550238
CYP1A2,0.51,0.8241618358406768,0.21700574392375827
CYP1A2,0.52,0.8228999929737776,0.2192085192910318
CYP1A2,0.53,0.821724757508031,0.22133234593732265
CYP1A2,0.54,0.8206489728414598,0.22337722386263115
CYP1A2,0.55,0.8196825281647484,0.22534315306695685
CYP1A2,0.56,0.8188178677091317,0.2272301335503002
CYP1A2,0.57,0.8180250699537335,0.22903816531266086
CYP1A2,0.58,0.8173133294931993,0.23076724835403906
CYP1A2,0.59,0.81669484411236,0.2324173826744349
CYP1A2,0.6,0.8161741321635526,0.23398856827384806
CYP1A2,0.61,0.8157441070928086,0.23548080515227854
CYP1A2,0.62,0.8153957534731099,0.23689409330972655
