submission,isoform,pred_mean,pred_sd,pred_min,pred_max,train_mean,train_sd,ratio,board_strae
04b,CYP1A2,5.031375994533333,0.8458790314227371,2.6542218,7.0035725,4.95541032675425,1.0304762090703399,0.8208622615226217,0.7114
10c,CYP1A2,4.996920236666666,0.8616229801850099,2.3559554,7.2416296,4.95541032675425,1.0304762090703399,0.8361405849071823,0.6954
NB10,CYP1A2,4.980002498981409,0.5383754027377136,3.3332783075288948,6.101602231178106,4.95541032675425,1.0304762090703399,0.5224530154106297,0.785
NB12,CYP1A2,4.958618819235901,0.5559690383398473,3.1377835127596936,6.127509711804034,4.95541032675425,1.0304762090703399,0.5395263213707995,0.7633
NB13-calib,CYP1A2,4.992106119995558,0.4575969365697225,3.5895234978520163,6.184242532060785,4.95541032675425,1.0304762090703399,0.44406356259554086,0.8197
NB16,CYP1A2,4.996920236666666,0.8616229801850099,2.3559554,7.2416296,4.95541032675425,1.0304762090703399,0.8361405849071823,0.6954
NB19,CYP1A2,4.996920236666666,0.8616229801850099,2.3559554,7.2416296,4.95541032675425,1.0304762090703399,0.8361405849071823,0.6954
04b,CYP2C9,5.0263715064,0.7609713092472717,2.8113878,7.1273556,4.58073792014786,0.7822945488735998,0.9727426969074108,0.5408
10c,CYP2C9,5.0080732549333336,0.7784046837213967,2.8401475,7.2207384,4.58073792014786,0.7822945488735998,0.9950276207883539,0.5489
NB10,CYP2C9,5.0080732549333336,0.7784046837213967,2.8401475,7.2207384,4.58073792014786,0.7822945488735998,0.9950276207883539,0.5489
NB12,CYP2C9,4.847256652718835,0.6389526313677796,3.00323763431,6.4765708761067335,4.58073792014786,0.7822945488735998,0.8167673318033296,0.5375
NB13-calib,CYP2C9,5.203240993970077,0.6236084650229453,3.403505281040294,6.793427953075252,4.58073792014786,0.7822945488735998,0.7971530236544005,0.6036
NB16,CYP2C9,4.834472049657195,0.6242423321962112,3.095902051827908,6.608920841411962,4.58073792014786,0.7822945488735998,0.797963290291409,0.577
NB19,CYP2C9,4.847256652718835,0.6389526313677796,3.00323763431,6.4765708761067335,4.58073792014786,0.7822945488735998,0.8167673318033296,0.5375
04b,CYP2D6,4.515282187866667,0.6371583477523073,2.8956535,6.394082,4.784202026339584,0.9160961500266338,0.6955147096009333,1.1903
10c,CYP2D6,4.508663379333333,0.6417099119732901,2.9972453,6.407267,4.784202026339584,0.9160961500266338,0.7004831446509556,1.1673
NB10,CYP2D6,4.71289444791864,0.42806329975475993,3.2637140563528533,6.011181699573342,4.784202026339584,0.9160961500266338,0.4672689648813771,1.4603
NB12,CYP2D6,4.616503386989389,0.36527147993964304,3.7623423531773694,5.857058862090867,4.784202026339584,0.9160961500266338,0.3987261380031162,1.4092
NB13-calib,CYP2D6,4.567509628365203,0.3149921115454993,3.8256093345497857,5.499465255515646,4.784202026339584,0.9160961500266338,0.34384175889871543,1.357
NB16,CYP2D6,3.155762171801848,0.5573734907694543,1.842981497587876,4.804842710988769,4.784202026339584,0.9160961500266338,0.608422479183271,0.8299
NB19,CYP2D6,3.155762171801848,0.5573734907694543,1.842981497587876,4.804842710988769,4.784202026339584,0.9160961500266338,0.608422479183271,0.8299
04b,CYP3A4,4.923169954133334,1.0125196089345823,1.2988629,7.3715897,4.096054449714775,1.0932193183824241,0.9261815922103821,0.4291
10c,CYP3A4,4.927795218666666,1.019663022259362,1.2710428,7.3202815,4.096054449714775,1.0932193183824241,0.9327158833673929,0.4434
NB10,CYP3A4,4.741453110216953,0.9345931008946986,1.7178900129424717,6.7593391832909555,4.096054449714775,1.0932193183824241,0.8548999136582804,0.5253
NB12,CYP3A4,4.6176908121358995,0.8486946351787285,1.936220918292154,6.334666573899875,4.096054449714775,1.0932193183824241,0.7763260499590281,0.6095
NB13-calib,CYP3A4,5.340963102669929,0.5004093678631114,3.546376924383037,6.515098597953834,4.096054449714775,1.0932193183824241,0.4577392289440506,0.7443
NB16,CYP3A4,4.927795218666666,1.019663022259362,1.2710428,7.3202815,4.096054449714775,1.0932193183824241,0.9327158833673929,0.4434
NB19,CYP3A4,4.927795218666666,1.019663022259362,1.2710428,7.3202815,4.096054449714775,1.0932193183824241,0.9327158833673929,0.4434
