inchikey,isoform,max_response,n_replicates_eff
AABYLPRACHMDSN-DDKMDXNESA-N,CYP1A2,-34.45,1
AABYLPRACHMDSN-DDKMDXNESA-N,CYP2C9,-83.36,1
AABYLPRACHMDSN-DDKMDXNESA-N,CYP2D6,-84.31,1
AABYLPRACHMDSN-DDKMDXNESA-N,CYP3A4,-73.6518,1
AABYLPRACHMDSN-PVLDIMPDSA-N,CYP1A2,-57.23,1
AABYLPRACHMDSN-PVLDIMPDSA-N,CYP2C9,-80.74,1
AABYLPRACHMDSN-PVLDIMPDSA-N,CYP2D6,-83.77,1
AABYLPRACHMDSN-PVLDIMPDSA-N,CYP3A4,-61.3482,1
AACUVVMEFJMWSX-VIZOYTHASA-N,CYP1A2,-65.709,1
AACUVVMEFJMWSX-VIZOYTHASA-N,CYP2C9,-23.5312,1
AACUVVMEFJMWSX-VIZOYTHASA-N,CYP2D6,-6.5133,1
AACUVVMEFJMWSX-VIZOYTHASA-N,CYP3A4,-11.9247,1
AADCDMQTJNYOSS-LBPRGKRZSA-N,CYP1A2,-92.06,1
AADCDMQTJNYOSS-LBPRGKRZSA-N,CYP2C9,0.6635,1
AADCDMQTJNYOSS-LBPRGKRZSA-N,CYP2D6,-88.17,1
AADCDMQTJNYOSS-LBPRGKRZSA-N,CYP3A4,-27.6253,1
AAEXTICMMYDGTO-UHFFFAOYSA-N,CYP1A2,-87.7102,1
AAEXTICMMYDGTO-UHFFFAOYSA-N,CYP2C9,-55.5879,1
AAEXTICMMYDGTO-UHFFFAOYSA-N,CYP2D6,-5.9489,1
AAEXTICMMYDGTO-UHFFFAOYSA-N,CYP3A4,-89.4713,1
AAEYGEZFRUBYFH-UHFFFAOYSA-N,CYP1A2,-101.543,1
AAEYGEZFRUBYFH-UHFFFAOYSA-N,CYP2C9,-66.6312,1
AAEYGEZFRUBYFH-UHFFFAOYSA-N,CYP2D6,-73.7848,1
AAEYGEZFRUBYFH-UHFFFAOYSA-N,CYP3A4,-54.9995,1
AAFNEINEQRQMTF-YKWZRPGSSA-N,CYP1A2,-3.34335,2
AAFNEINEQRQMTF-YKWZRPGSSA-N,CYP2C9,5.975,2
AAFNEINEQRQMTF-YKWZRPGSSA-N,CYP2D6,-0.021199999999999997,2
AAFNEINEQRQMTF-YKWZRPGSSA-N,CYP3A4,-3.3919499999999996,2
AAGIFVFWIBEXDH-UHFFFAOYSA-N,CYP1A2,-2.907,1
AAGIFVFWIBEXDH-UHFFFAOYSA-N,CYP2C9,-4.411,1
AAGIFVFWIBEXDH-UHFFFAOYSA-N,CYP2D6,-2.239,1
AAGIFVFWIBEXDH-UHFFFAOYSA-N,CYP3A4,-87.0473,1
AAGKECVCOPVRLG-UHFFFAOYSA-N,CYP1A2,9.7874,1
AAGKECVCOPVRLG-UHFFFAOYSA-N,CYP2C9,-7.5786,1
AAGKECVCOPVRLG-UHFFFAOYSA-N,CYP2D6,-21.0154,1
AAGKECVCOPVRLG-UHFFFAOYSA-N,CYP3A4,6.722,1
AAHBVAOSMBHHMR-MYUUFBJNSA-N,CYP1A2,-98.5136,1
AAHBVAOSMBHHMR-MYUUFBJNSA-N,CYP2C9,-44.0971,1
AAHBVAOSMBHHMR-MYUUFBJNSA-N,CYP2D6,-57.7713,1
AAHBVAOSMBHHMR-MYUUFBJNSA-N,CYP3A4,-100.153,1
AAHLQODCOIMLFS-KMUPWBBRSA-N,CYP1A2,-9.679,1
AAHLQODCOIMLFS-KMUPWBBRSA-N,CYP2C9,7.18,1
AAHLQODCOIMLFS-KMUPWBBRSA-N,CYP2D6,-3.976,1
AAHLQODCOIMLFS-KMUPWBBRSA-N,CYP3A4,2.2958,1
AAHQMHNZGAFCBV-UHFFFAOYSA-N,CYP1A2,-29.6738,1
AAHQMHNZGAFCBV-UHFFFAOYSA-N,CYP2C9,-51.0232,1
AAHQMHNZGAFCBV-UHFFFAOYSA-N,CYP2D6,-6.6847,1
AAHQMHNZGAFCBV-UHFFFAOYSA-N,CYP3A4,-27.2266,1
AAJQTWWVKREOQP-UHFFFAOYSA-N,CYP1A2,-111.2,1
AAJQTWWVKREOQP-UHFFFAOYSA-N,CYP2C9,4.804,1
AAJQTWWVKREOQP-UHFFFAOYSA-N,CYP2D6,41.05,1
AAJQTWWVKREOQP-UHFFFAOYSA-N,CYP3A4,-10.9364,1
AAKHBJRGDGUPSN-YDALLXLXSA-N,CYP1A2,-92.3581,1
AAKHBJRGDGUPSN-YDALLXLXSA-N,CYP2C9,-57.7475,1
AAKHBJRGDGUPSN-YDALLXLXSA-N,CYP2D6,-46.598,1
AAKHBJRGDGUPSN-YDALLXLXSA-N,CYP3A4,-30.6388,1
AAKRJPQYQXMDIG-UHFFFAOYSA-N,CYP1A2,-79.36,1
AAKRJPQYQXMDIG-UHFFFAOYSA-N,CYP2C9,-39.02,1
AAKRJPQYQXMDIG-UHFFFAOYSA-N,CYP2D6,-8.432,1
AAKRJPQYQXMDIG-UHFFFAOYSA-N,CYP3A4,42.0371,1
AAKSTVXHRNNNGZ-UHFFFAOYSA-N,CYP1A2,-76.8805,1
AAKSTVXHRNNNGZ-UHFFFAOYSA-N,CYP2C9,18.9049,1
AAKSTVXHRNNNGZ-UHFFFAOYSA-N,CYP2D6,12.3084,1
AAKSTVXHRNNNGZ-UHFFFAOYSA-N,CYP3A4,-2.7061,1
AANKDJLVHZQCFG-CSJJXXCMSA-N,CYP1A2,-14.63,1
AANKDJLVHZQCFG-CSJJXXCMSA-N,CYP2C9,9.348,1
AANKDJLVHZQCFG-CSJJXXCMSA-N,CYP2D6,-94.71,1
AANKDJLVHZQCFG-CSJJXXCMSA-N,CYP3A4,-13.433,1
AANNAPQFFOIMQA-UHFFFAOYSA-N,CYP1A2,-60.509,1
AANNAPQFFOIMQA-UHFFFAOYSA-N,CYP2C9,-5.4754,1
AANNAPQFFOIMQA-UHFFFAOYSA-N,CYP2D6,49.4991,1
AANNAPQFFOIMQA-UHFFFAOYSA-N,CYP3A4,8.0938,1
AANZMQGEJIZNKQ-UHFFFAOYSA-N,CYP1A2,0.7743,1
AANZMQGEJIZNKQ-UHFFFAOYSA-N,CYP2C9,-83.2324,1
AANZMQGEJIZNKQ-UHFFFAOYSA-N,CYP2D6,4.9058,1
AANZMQGEJIZNKQ-UHFFFAOYSA-N,CYP3A4,-67.4453,1
AAORACFZMYMFCG-UHFFFAOYSA-N,CYP1A2,-86.82,1
AAORACFZMYMFCG-UHFFFAOYSA-N,CYP2C9,-13.82,1
AAORACFZMYMFCG-UHFFFAOYSA-N,CYP2D6,-78.82,1
AAORACFZMYMFCG-UHFFFAOYSA-N,CYP3A4,-74.0707,1
AAPVOVKOHNCXJA-SECBINFHSA-N,CYP1A2,-5.359,1
AAPVOVKOHNCXJA-SECBINFHSA-N,CYP2C9,16.49,1
AAPVOVKOHNCXJA-SECBINFHSA-N,CYP2D6,-9.453,1
AAPVOVKOHNCXJA-SECBINFHSA-N,CYP3A4,-10.9973,1
AAQWJUXEPNGNRP-UHFFFAOYSA-N,CYP1A2,15.3785,1
AAQWJUXEPNGNRP-UHFFFAOYSA-N,CYP2C9,-17.4838,1
AAQWJUXEPNGNRP-UHFFFAOYSA-N,CYP2D6,35.6798,1
AAQWJUXEPNGNRP-UHFFFAOYSA-N,CYP3A4,10.8043,1
AAUCBLGUBWYLGP-UHFFFAOYSA-N,CYP1A2,-13.4016,1
AAUCBLGUBWYLGP-UHFFFAOYSA-N,CYP2C9,-67.7143,1
AAUCBLGUBWYLGP-UHFFFAOYSA-N,CYP2D6,7.6917,1
AAUCBLGUBWYLGP-UHFFFAOYSA-N,CYP3A4,-97.5955,1
AAUCERIZRHJGAI-UHFFFAOYSA-N,CYP1A2,3.0977,1
AAUCERIZRHJGAI-UHFFFAOYSA-N,CYP2C9,-8.612,1
AAUCERIZRHJGAI-UHFFFAOYSA-N,CYP2D6,-16.0962,1
AAUCERIZRHJGAI-UHFFFAOYSA-N,CYP3A4,-16.759,1
AAYWZUWKFAOYGC-KGENOOAVSA-N,CYP1A2,-68.4219,1
AAYWZUWKFAOYGC-KGENOOAVSA-N,CYP2C9,-56.2322,1
AAYWZUWKFAOYGC-KGENOOAVSA-N,CYP2D6,-58.4805,1
AAYWZUWKFAOYGC-KGENOOAVSA-N,CYP3A4,-53.6324,1
ABBAHMOUCAIMOQ-UHFFFAOYSA-N,CYP1A2,-14.34,1
ABBAHMOUCAIMOQ-UHFFFAOYSA-N,CYP2C9,6.187,1
ABBAHMOUCAIMOQ-UHFFFAOYSA-N,CYP2D6,1.311,1
ABBAHMOUCAIMOQ-UHFFFAOYSA-N,CYP3A4,-4.4515,1
ABCGTKCFHJUEHF-UHFFFAOYSA-N,CYP1A2,-34.3276,1
ABCGTKCFHJUEHF-UHFFFAOYSA-N,CYP2C9,-25.224,1
ABCGTKCFHJUEHF-UHFFFAOYSA-N,CYP2D6,-89.0583,1
ABCGTKCFHJUEHF-UHFFFAOYSA-N,CYP3A4,3.1957,1
ABCXJIGKWRYVEV-ZBKNUEDVSA-N,CYP1A2,-68.8666,1
ABCXJIGKWRYVEV-ZBKNUEDVSA-N,CYP2C9,-117.813,1
ABCXJIGKWRYVEV-ZBKNUEDVSA-N,CYP2D6,-39.5157,1
ABCXJIGKWRYVEV-ZBKNUEDVSA-N,CYP3A4,-81.3706,1
ABDCNXRDSSCYKW-UHFFFAOYSA-N,CYP1A2,-5.4893,1
ABDCNXRDSSCYKW-UHFFFAOYSA-N,CYP2C9,-31.8025,1
ABDCNXRDSSCYKW-UHFFFAOYSA-N,CYP2D6,14.7981,1
ABDCNXRDSSCYKW-UHFFFAOYSA-N,CYP3A4,-33.1945,1
ABHJUZQJWKCQDG-UHFFFAOYSA-N,CYP1A2,-64.03,1
ABHJUZQJWKCQDG-UHFFFAOYSA-N,CYP2C9,-33.9,1
ABHJUZQJWKCQDG-UHFFFAOYSA-N,CYP2D6,-19.81,1
ABHJUZQJWKCQDG-UHFFFAOYSA-N,CYP3A4,-73.859,1
ABHTWRAHNNWKAR-UHFFFAOYSA-N,CYP1A2,-25.6874,1
ABHTWRAHNNWKAR-UHFFFAOYSA-N,CYP2C9,-15.1893,1
ABHTWRAHNNWKAR-UHFFFAOYSA-N,CYP2D6,-19.7134,1
