arm,seed,Endpoint,ST-RAE,MAE,R2,Spearman_R,Kendall_Tau
aid,233227757,CYP1A2_pIC50_direct_inhibition,0.6995451556132803,0.6171756944950325,0.3375454756453036,0.5643107013491804,0.40840308043155027
aid,233227757,CYP2C9_pIC50_direct_inhibition,0.6988357045854262,0.5243913038554622,0.3804741152060442,0.5821709782329305,0.4198663372014659
aid,233227757,CYP2D6_pIC50_direct_inhibition,0.890180611535857,0.5706180596945085,0.19731255915217563,0.4447439440684636,0.30806720358275097
aid,233227757,CYP3A4_pIC50_direct_inhibition,0.4844166167927473,0.5317933883741622,0.6210122469221118,0.7878547515777329,0.5915165712586741
aid,233227757,MA,0.6932445221318277,0.5609946116047914,0.3840860992314088,0.5947700938070768,0.4319632981186103
aid,2684470948,CYP1A2_pIC50_direct_inhibition,0.7256065416118673,0.6197035937814585,0.3500606094910203,0.5680401059076301,0.4116892821611961
aid,2684470948,CYP2C9_pIC50_direct_inhibition,0.6037060277663553,0.488732388666803,0.42640149200598354,0.628203109325096,0.45736078184777956
aid,2684470948,CYP2D6_pIC50_direct_inhibition,0.9373376623913574,0.5922425488532679,0.18552192386916855,0.45520923856451706,0.3160621526340772
aid,2684470948,CYP3A4_pIC50_direct_inhibition,0.48389555493150743,0.5074024032774644,0.6437816296743641,0.8039077329074913,0.6095624097612015
aid,2684470948,MA,0.6876364466752718,0.5520202336447485,0.40144141376013415,0.6138400466761836,0.4486686566010636
aid,4091952314,CYP1A2_pIC50_direct_inhibition,0.7665887286848319,0.6464477408364622,0.30909861868145583,0.535780274318305,0.38415034813025606
aid,4091952314,CYP2C9_pIC50_direct_inhibition,0.7477828333869905,0.5257179599032424,0.3931953985416593,0.624266500859411,0.4469928623634846
aid,4091952314,CYP2D6_pIC50_direct_inhibition,0.9175154737786175,0.5837382185506508,0.1825671303972096,0.4103039649301406,0.28011852155619105
aid,4091952314,CYP3A4_pIC50_direct_inhibition,0.5827673595613517,0.5608757325395534,0.579322381942282,0.7926902821600337,0.5955615764500399
aid,4091952314,MA,0.7536635988529479,0.5791949129574772,0.36604588239065167,0.5907602555669725,0.42670582712499294
baseline,233227757,CYP1A2_pIC50_direct_inhibition,0.7943797543304838,0.6764530133771985,0.24576673165552265,0.49794094095330177,0.35236334530607705
baseline,233227757,CYP2C9_pIC50_direct_inhibition,0.7000456897061654,0.5308794451116364,0.3589229192535617,0.5946725114797932,0.4206998323959533
baseline,233227757,CYP2D6_pIC50_direct_inhibition,0.8983340048367363,0.5768592153107661,0.14725734216291853,0.41950013347288073,0.2892397684676602
baseline,233227757,CYP3A4_pIC50_direct_inhibition,0.5535900639637115,0.5690228946003933,0.5720232904483592,0.7637771633356369,0.56779826484046
baseline,233227757,MA,0.7365873782092742,0.5883036420999985,0.3309925708800905,0.5689726873104031,0.4075253027525376
baseline,2684470948,CYP1A2_pIC50_direct_inhibition,0.7883875412504711,0.6590054097361588,0.2948648621590517,0.5275029724617273,0.3713799188489253
baseline,2684470948,CYP2C9_pIC50_direct_inhibition,0.7113010720512997,0.52776904450625,0.36090086579988867,0.5834375096996,0.4111687371604242
baseline,2684470948,CYP2D6_pIC50_direct_inhibition,0.9580366078313584,0.5985335031988949,0.16496204844362736,0.4170427188170808,0.2829618630421196
baseline,2684470948,CYP3A4_pIC50_direct_inhibition,0.49103534655860465,0.5297021102416467,0.6053608924698222,0.7945810954766308,0.5973362177353275
baseline,2684470948,MA,0.7371901419229334,0.5787525169207376,0.3565221672180975,0.5806410741137598,0.4157116841966991
baseline,4091952314,CYP1A2_pIC50_direct_inhibition,0.8158698069483468,0.6635253306473717,0.27057852693638046,0.5167364613494265,0.36574097172438585
baseline,4091952314,CYP2C9_pIC50_direct_inhibition,0.731189831895177,0.5358816954687046,0.3374840534165438,0.5519617612315888,0.3912865828285169
baseline,4091952314,CYP2D6_pIC50_direct_inhibition,1.023453668786002,0.6314573033714915,0.06297326970426406,0.3803004694743411,0.26019652190461956
baseline,4091952314,CYP3A4_pIC50_direct_inhibition,0.5223382322944639,0.5389039160223177,0.5973721052563747,0.7804556814951489,0.5835257699807911
baseline,4091952314,MA,0.7732128849809974,0.5924420613774715,0.31710198882839075,0.5573635933876263,0.40018746160957835
