repeat,fold,arm,seed,wall_min,last_epoch,min_per_epoch
0,0,aid,2684470948,36.055,10,3.278
0,0,baseline,2684470948,5.472,8,0.608
0,1,aid,4091952314,32.311,8,3.59
0,1,baseline,4091952314,5.511,7,0.689
0,2,aid,233227757,32.024,8,3.558
0,2,baseline,233227757,5.494,7,0.687
0,3,aid,3276785861,35.778,9,3.578
0,3,baseline,3276785861,6.141,8,0.682
0,4,aid,3644269654,31.993,8,3.555
0,4,baseline,3644269654,6.051,8,0.672
1,0,aid,1206282609,32.18,8,3.576
1,0,baseline,1206282609,5.506,7,0.688
1,1,aid,3543069911,32.393,8,3.599
1,1,baseline,3543069911,6.118,8,0.68
1,2,aid,3479688010,32.095,8,3.566
1,2,baseline,3479688010,13.927,20,0.663
1,3,aid,877132087,28.447,7,3.556
1,3,baseline,877132087,13.892,20,0.662
1,4,aid,1244265337,46.071,12,3.544
1,4,baseline,1244265337,5.461,7,0.683
2,0,aid,2740186692,38.8,10,3.527
2,0,baseline,2740186692,11.282,16,0.664
2,1,aid,3884972972,35.612,9,3.561
2,1,baseline,3884972972,5.457,7,0.682
2,2,aid,829139639,31.97,8,3.552
2,2,baseline,829139639,5.481,7,0.685
2,3,aid,2545567356,28.347,7,3.543
2,3,baseline,2545567356,6.152,8,0.684
2,4,aid,2718398101,39.149,10,3.559
2,4,baseline,2718398101,8.769,12,0.675
3,0,aid,176092387,39.141,10,3.558
3,0,baseline,176092387,10.769,15,0.673
3,1,aid,3528048386,32.105,8,3.567
3,1,baseline,3528048386,4.839,6,0.691
3,2,aid,569531098,30.286,8,3.365
3,2,baseline,569531098,8.116,11,0.676
3,3,aid,1337295874,28.33,8,3.148
3,3,baseline,1337295874,5.471,8,0.608
3,4,aid,612016888,31.792,9,3.179
3,4,baseline,612016888,12.917,20,0.615
4,0,aid,232150720,35.858,9,3.586
4,0,baseline,232150720,5.575,7,0.697
4,1,aid,2324106676,39.343,10,3.577
4,1,baseline,2324106676,6.16,8,0.684
4,2,aid,1658700540,35.941,9,3.594
4,2,baseline,1658700540,6.201,8,0.689
4,3,aid,609942288,32.309,8,3.59
4,3,baseline,609942288,5.547,7,0.693
4,4,aid,3405943863,32.285,8,3.587
4,4,baseline,3405943863,6.138,8,0.682
