repeat,fold,n_train_portion,CYP1A2_low,CYP1A2_high,CYP2C9_low,CYP2C9_high,CYP2D6_low,CYP2D6_high,CYP3A4_low,CYP3A4_high
0,0,20383,-13.205548,116.29271999999997,-184.32712,121.18191999999999,-29.330312,100.34751999999996,-74.892104,108.12647999999996
0,1,20383,-13.20364,116.28960000000001,-184.3066,121.18060000000001,-29.329159999999998,100.33960000000002,-75.04456,108.11940000000003
0,2,20383,-13.203163,116.24217999999998,-184.30147,121.18027000000001,-29.328872,100.33761999999997,-74.869124,108.11762999999999
0,3,20383,-13.204594,116.29115999999999,-184.31686,121.18126000000001,-29.329736,100.34355999999998,-75.055516,108.12294
0,4,20383,-13.189882,116.29037999999998,-184.31173,121.18092999999999,-29.329448,100.34157999999995,-75.050038,108.12116999999995
1,0,20383,-13.204594,116.29115999999999,-184.31686,121.18126000000001,-29.329736,100.34355999999998,-74.882912,108.12294
1,1,20383,-13.203799,116.28986000000002,-184.30831,121.18071,-29.329255999999997,100.34026000000004,-74.875252,108.11999000000003
1,2,20383,-13.190452,116.29168,-184.32028,121.18148000000001,-29.329928,100.34488000000002,-75.059168,108.12412000000002
1,3,20383,-13.204276,116.24735999999996,-184.31344,121.18104,-29.329544,100.34223999999996,-75.051864,108.12175999999997
1,4,20383,-13.203481,116.28934,-184.30489,121.18049,-29.329064,100.33894000000001,-75.042734,108.11881000000001
2,0,20383,-13.204435,116.24809999999998,-184.31515000000002,121.18115,-29.329639999999998,100.34289999999997,-75.05369,108.12234999999998
2,1,20383,-13.190566,116.29194000000001,-184.32199,121.18159000000001,-29.330023999999998,100.34554000000003,-75.060994,108.12471000000004
2,2,20383,-13.203481,116.28934,-184.30489,121.18049,-29.329064,100.33894000000001,-74.87218800000001,108.11881000000001
2,3,20383,-13.203958,116.29011999999997,-184.31002,121.18082,-29.329352,100.34091999999993,-75.04821199999999,108.12057999999995
2,4,20383,-13.204117,116.29037999999998,-184.31173,121.18092999999999,-29.329448,100.34157999999995,-74.878316,108.12116999999995
3,0,20383,-13.20364,116.24440000000003,-184.3066,121.18060000000001,-29.329159999999998,100.33960000000002,-75.04456,108.11940000000003
3,1,20383,-13.204594,116.29115999999999,-184.31686,121.18126000000001,-29.329736,100.34355999999998,-74.542508,108.12294
3,2,20383,-13.190224,116.29115999999999,-184.31686,121.18126000000001,-29.329736,100.34355999999998,-75.055516,108.12294
3,3,20383,-13.203481,116.28934,-184.30489,121.18049,-29.329064,100.33894000000001,-75.042734,108.11881000000001
3,4,20383,-13.204753,116.29142,-184.31857,121.18137,-29.329832,100.34422,-75.05734199999999,108.12353
4,0,20383,-13.204435,116.2909,-184.31515000000002,121.18115,-29.329639999999998,100.34289999999997,-75.05369,108.12234999999998
4,1,20383,-13.204753,116.29142,-184.31857,121.18137,-29.329832,100.34422,-74.884444,108.12353
4,2,20383,-13.203481,116.24366,-184.30489,121.18049,-29.329064,100.33894000000001,-75.042734,108.11881000000001
4,3,20383,-13.204753,116.29142,-184.31857,121.18137,-29.329832,100.34422,-74.884444,108.12353
4,4,20383,-13.189540000000001,116.28960000000001,-184.3066,121.18060000000001,-29.329159999999998,100.33960000000002,-75.04456,108.11940000000003
