isoform,arm,error_corr_vs_baseline_mean,error_corr_vs_baseline_min,error_corr_vs_baseline_max,baseline_seed_vs_seed_floor,below_floor,below_nb24_pool_band
CYP1A2,deadzone,0.9438851001574934,0.9036768614598942,0.971486548107115,0.9223535604713792,False,False
CYP1A2,deadzone_aid,0.9227819541790954,0.8960164329901404,0.949810758455017,0.9223535604713792,False,False
CYP1A2,mae_only,0.9170448255418399,0.8960471811640772,0.9399350960751041,0.9223535604713792,True,False
CYP2C9,deadzone,0.9480556720104211,0.9342505979484769,0.9646094141077767,0.9316409220478682,False,False
CYP2C9,deadzone_aid,0.9234008176874706,0.9109003845656862,0.9451596051882702,0.9316409220478682,True,False
CYP2C9,mae_only,0.9316865818378948,0.9266885629305393,0.9393468433765974,0.9316409220478682,False,False
CYP2D6,deadzone,0.9493674483929229,0.9180236009621455,0.9790503515802786,0.9266556288764924,False,False
CYP2D6,deadzone_aid,0.9372499718957356,0.911636852106824,0.9710136571131744,0.9266556288764924,False,False
CYP2D6,mae_only,0.9325800652127983,0.903204994526435,0.9535652973598547,0.9266556288764924,False,False
CYP3A4,deadzone,0.8985780324466649,0.8829076013899579,0.9221828164123537,0.8698531067186313,False,False
CYP3A4,deadzone_aid,0.8582042094290238,0.8347685914294435,0.8735650219728688,0.8698531067186313,True,False
CYP3A4,mae_only,0.8899442701630417,0.8731649143442799,0.9006307593153918,0.8698531067186313,False,False
