canonical_smiles,CYP1A2_pIC50_direct_inhibition,CYP2C9_pIC50_direct_inhibition,CYP2D6_pIC50_direct_inhibition,CYP3A4_pIC50_direct_inhibition,CYP1A2_AID1851_max_inhibition,CYP2C9_AID1851_max_inhibition,CYP2D6_AID1851_max_inhibition,CYP3A4_AID1851_max_inhibition,chemprop_split
Cc1ncc(CO)c(C=O)c1O,,,,2.9620927999999997,,,,,train
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,,3.2269215,,,15.8455,4.792,35.63285,29.281599999999997,train
CCOC(=O)N1CSCC1C(=O)O,,,,1.57957378,,,,,train
O=C(O)c1cccnc1,,,,1.398245088,3.39,10.71,0.6502,2.0644,train
NCc1ccc(S(N)(=O)=O)cc1,,,,2.4034838800000005,4.417,16.8,-0.4165,9.1015,train
CC(C)NCC(O)COc1cccc2ccccc12,5.68250125,3.84599325,4.795599,,,,,,train
CNC(C)Cc1ccccc1OC,,,4.5979305,,,,,,train
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,,,5.3548325,,20.99,3.963,81.1,70.3008,train
NCCc1c[nH]c2ccc(O)cc12,5.14111975,,,,92.46,28.944,19.61,33.2113,train
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,,4.69328768,,,,,,,val
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,,,4.941186,,15.325,17.2695,91.795,70.6249,train
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,,,5.243851,,,,,,train
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,,4.069613,,3.94739075,21.43,-26.89,6.7475,-54.854600000000005,train
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,,4.64507875,5.07220175,5.43543075,,,,,train
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,5.2874675,,6.051533,,113.4,4.294,94.05,24.7879,train
CC(C)NCC(O)c1ccc(O)c(O)c1,,,,3.4793095,,,,,val
COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,,4.82135594,4.580512,,,,,,train
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,,,4.68899975,,18.655,-9.3235,72.28999999999999,-75.015344,train
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,,4.835962,4.4282415,,,,,,train
CN1CCN(C2=c3ccccc3=Nc3ccc(Cl)cc3N2)CC1,3.6919531199999995,,,4.2056725,,,,,val
Cc1cc2c(s1)=Nc1ccccc1NC=2N1CCN(C)CC1,3.17378075,,,3.774569,,,,,train
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,,,4.82288025,,10.015,-1.1000000000000014,70.995,16.3885,train
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,,,4.86590525,,,,,,val
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,5.11274974,,6.094635,,,,,,train
CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,,,4.79740825,,,,,,train
NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,,,6.4964305,4.93156456,,,,,val
CNCC(O)c1ccc(O)cc1,,,,3.15561762,,,,,train
C[C@H](N)[C@H](O)c1cccc(O)c1,,,,3.48471092,,,,,train
COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,,,4.92113575,,75.55,-3.734,85.18,40.3871,train
CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5.2970825,,5.54818552,4.7479685,108.7,-12.719,85.69,59.5167,train
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,5.42112556,,5.51644575,,102.65,-2.446,91.395,16.69115,train
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,5.18383152,,5.634382,,,,,,train
CN(C)CCCN1c2ccccc2Sc2ccccc21,,,5.85613,,89.32,-10.685,90.57,9.2448,train
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,5.407097,,5.97585,,113.6,-9.39,93.605,52.1431,train
CC(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,4.9318589799999994,,5.54252775,,71.11,25.93,91.47,8.6485,train
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,,,5.35991675,,43.239999999999995,7.1195,43.989999999999995,-75.015344,train
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,,,5.51558925,3.7820876999999995,,,,,val
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5.287896,4.505379,5.69502894,,107.15,15.585,88.125,57.3553,train
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,,,5.3839673,,11.03,-60.44,80.1,36.3056,train
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.156047,4.57236475,5.74346075,4.40064175,98.095,-1.7720000000000002,92.275,39.25015,train
O=c1ccc2ccc(OCCCCN3CCN(c4cccc5sccc45)CC3)cc2[nH]1,,,4.46033625,,,,,,train
O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,,,5.06465656,,10.97,-4.588,64.55,10.1855,val
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,,,5.14202475,,39.17,8.463,67.35,33.979,val
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,,4.260933420000001,,,44.35,82.03,15.88,35.3716,train
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,,4.69270775,5.83491875,5.15840525,,,,,val
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,3.25483875,3.597518,,,,,,,train
C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,,,4.67356975,,,,,,train
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,2.79621216,,,,17.69,-8.12,0.3465,19.3198,train
O=C(O)CCCc1ccccc1,,,,2.28456568,,,,,train
COc1ccc2cc(C(=O)N3CCn4cncc4C3)n(C)c2c1,5.7230345,,5.629624,,,,,,val
Cn1cc(C(=O)N2CCc3n[nH]cc3C2)c2ccccc21,5.78074925,,,,,,,,val
COc1ccc(-c2cc(C(=O)N3CCCC(C#N)C3)[nH]n2)cc1,,,,4.08653975,,,,,train
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,5.65351275,,6.209247,,,,,,val
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,5.15387525,,,,94.73,0.213,-3.723,81.6458,train
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,,,,3.54251625,,,,,train
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,,4.71262276,6.20911625,4.9453445,,,,,train
CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1,5.57148138,,4.57435475,,,,,,val
