descriptor,nan_count,nan_rate
MINssPbH2,4905,1.0
MAXsssdAs,4905,1.0
MAXsSeH,4905,1.0
MAXdSe,4905,1.0
MAXssSe,4905,1.0
MAXaaSe,4905,1.0
MAXdssSe,4905,1.0
MAXddssSe,4905,1.0
MAXsSnH3,4905,1.0
MAXssSnH2,4905,1.0
MAXsssSnH,4905,1.0
MAXssssSn,4905,1.0
MAXsPbH3,4905,1.0
MAXssPbH2,4905,1.0
MAXsLi,4905,1.0
MAXssssPb,4905,1.0
MINsLi,4905,1.0
MINssBe,4905,1.0
MINssssBe,4905,1.0
MINssBH,4905,1.0
MINsssB,4905,1.0
MINssssB,4905,1.0
MINddC,4905,1.0
MAXsssssAs,4905,1.0
MAXsssAs,4905,1.0
MINssNH2,4905,1.0
MAXssAsH,4905,1.0
MAXssssBe,4905,1.0
MAXssBH,4905,1.0
MAXsssB,4905,1.0
MAXssssB,4905,1.0
MAXddC,4905,1.0
MAXsNH3,4905,1.0
MAXssNH2,4905,1.0
MAXsssNH,4905,1.0
MAXsSiH3,4905,1.0
MAXssSiH2,4905,1.0
MAXsssSiH,4905,1.0
MAXssssSi,4905,1.0
MAXsPH2,4905,1.0
MAXssPH,4905,1.0
MAXsssP,4905,1.0
MAXsssssP,4905,1.0
MAXsGeH3,4905,1.0
MAXssGeH2,4905,1.0
MAXsssGeH,4905,1.0
MAXssssGe,4905,1.0
MAXsAsH2,4905,1.0
MINsNH3,4905,1.0
MAXsssPbH,4905,1.0
MINssssGe,4905,1.0
MINssSe,4905,1.0
MINssGeH2,4905,1.0
MINsssGeH,4905,1.0
MINsAsH2,4905,1.0
MINssAsH,4905,1.0
MINsssAs,4905,1.0
MINsssdAs,4905,1.0
MINsssssAs,4905,1.0
MINsSeH,4905,1.0
MINdSe,4905,1.0
MINaaSe,4905,1.0
MINsssssP,4905,1.0
MINdssSe,4905,1.0
MINddssSe,4905,1.0
MINsSnH3,4905,1.0
MINssSnH2,4905,1.0
MINsssSnH,4905,1.0
MINssssSn,4905,1.0
MINsPbH3,4905,1.0
MINssssPb,4905,1.0
MINsssPbH,4905,1.0
MINsGeH3,4905,1.0
MAXssBe,4905,1.0
MINsSiH3,4905,1.0
MINsPH2,4905,1.0
MINsssNH,4905,1.0
MINsssP,4905,1.0
MINssPH,4905,1.0
MINssSiH2,4905,1.0
MINsssSiH,4905,1.0
MINssssSi,4905,1.0
MINdS,4904,0.999796126401631
MAXdS,4904,0.999796126401631
MINsSH,4903,0.999592252803262
MAXsSH,4903,0.999592252803262
MAXdsssP,4902,0.999388379204893
MAXdssS,4902,0.999388379204893
MINdsssP,4902,0.999388379204893
MINdssS,4902,0.999388379204893
MAXssssN,4900,0.9989806320081549
MINssssN,4900,0.9989806320081549
MINsI,4898,0.9985728848114169
MAXsI,4898,0.9985728848114169
MAXdNH,4897,0.9983690112130479
MINdNH,4897,0.9983690112130479
MAXtCH,4894,0.9977573904179409
MINtCH,4894,0.9977573904179409
MDEN-11,4892,0.9973496432212029
